"","season","team_name","division","conference","record","win_perc","team_id","coach_id"
"1","1964","Springfield","D-II","-","0-2-0","0.000","673",1
"2","1965","Springfield","D-II","-","2-3-0","0.400","673",1
"3","1966","Springfield","D-II","-","3-3-0","0.500","673",1
"4","1967","Springfield","D-II","-","6-3-0","0.667","673",1
"5","1968","Carthage","","-","0-1-0","0.000","121",2
"6","1968","Springfield","D-II","-","9-0-0","1.000","673",1
"7","1968","Ohio Northern","D-III","-","4-0-0","1.000","517",3
"8","1968","Southern Ill.","","-","5-1-0","0.833","659",4
"9","1969","Luther","D-III","-","1-1-0","0.500","372",6
"10","1969","Springfield","D-II","-","9-0-0","1.000","673",1
"11","1969","Ohio Northern","D-III","-","11-0-0","1.000","517",3
"12","1969","American Int'l","D-II","-","3-0-0","1.000","22",5
"13","1969","Southern Ill.","","-","3-2-0","0.600","659",4
"14","1970","Luther","D-III","-","1-1-0","0.500","372",6
"15","1970","Carthage","","-","1-0-0","1.000","121",2
"16","1970","Springfield","D-II","-","9-0-0","1.000","673",1
"17","1970","Ohio Northern","D-III","-","5-2-0","0.714","517",3
"18","1970","American Int'l","D-II","-","5-1-0","0.833","22",5
"19","1970","Southern Ill.","","-","4-2-0","0.667","659",4
"20","1971","Luther","D-III","-","1-1-0","0.500","372",6
"21","1971","Springfield","D-II","-","8-5-0","0.615","673",1
"22","1971","Ohio Northern","D-III","-","8-0-0","1.000","517",3
"23","1971","American Int'l","D-II","-","2-3-0","0.400","22",5
"24","1971","Southern Ill.","","-","6-3-0","0.667","659",4
"25","1971","Baldwin Wallace","D-III","-","1-1-0","0.500","46",7
"26","1971","South Dakota St.","","-","1-2-0","0.333","649",8
"27","1972","Luther","D-III","-","1-1-0","0.500","372",6
"28","1972","Carthage","","-","3-5-0","0.375","121",2
"29","1972","Springfield","D-II","-","6-4-0","0.600","673",1
"30","1972","Ohio Northern","D-III","-","6-2-0","0.750","517",3
"31","1972","Adelphi","","-","7-2-0","0.778","3",9
"32","1972","American Int'l","D-II","-","0-5-0","0.000","22",5
"33","1972","Southern Ill.","","-","1-8-0","0.111","659",4
"34","1972","Baldwin Wallace","D-III","-","1-1-0","0.500","46",7
"35","1972","South Dakota St.","","-","8-2-0","0.800","649",10
"36","1973","Luther","D-III","-","1-1-0","0.500","372",6
"37","1973","Carthage","","-","5-0-0","1.000","121",2
"38","1973","Springfield","D-II","-","8-3-0","0.727","673",1
"39","1973","Ohio Northern","D-III","-","9-1-0","0.900","517",3
"40","1973","Adelphi","","-","6-1-0","0.857","3",9
"41","1973","American Int'l","D-II","-","2-6-0","0.250","22",5
