"","head_coach","division","coach_id"
"1","A.D. James","D-I",1
"2","AJ Daugherty","D-I",2
"3","Aaron Robinson","D-I",3
"4","Abby Arceneaux","D-II",4
"5","Abby Hurley-Martin","D-III",5
"6","Abigail Farler",NA,6
"7","Adam Kirkpatrick","D-II",7
"8","Addy Malatesta","D-III",8
"9","Adrian Gregory","D-I",9
"10","Adrian Ochoa","D-II",10
"11","Adrian Pilkington","D-II",11
"12","Adriana Durso","",12
"13","Adriane Baird","D-III",13
"14","Adrianna Baggetta","D-III",14
"15","Adrienne Cali","D-III",15
"16","Adrienne Clark","D-I",16
"17","Adrienne Davis","D-III",17
"18","Aileen Morales","D-I",18
"19","Aimee DeVos","D-I",19
"20","Aimee Lee","D-III",20
"21","Aisha Sueda","D-II",21
"22","Aja Scheuber","D-II",22
"23","Ajaye Pope","D-I",23
"24","Al Aimola","D-III",24
"25","Al Dirschberger","D-I",25
"26","Al Estoesta","D-II",26
"27","Al Fecso","D-III",27
"28","Al Sciangula","D-III",28
"29","Al Thomas","D-II",29
"30","Alan Bayse","D-III",30
"31","Alan Colglazier","D-II",31
"32","Alan Dunefsky","D-III",32
"33","Alan Loucks","D-III",33
"34","Alan Thompson","D-III",34
"35","Albana Krasniqi","D-III",35
"36","Alex Allaman","D-III",36
"37","Alex Campione","D-III",37
"38","Alex Gomez","D-II",38
"39","Alex Hupp","D-I",39
"40","Alex Lagesse","D-III",40
"41","Alex Oliver","D-II",41
"42","Alex Thomas Jr.","D-I",42
"43","Alexa McClaughry","D-III",43
"44","Alexis Durando","D-II",44
"45","Alexis Lynn","D-III",45
"46","Ali Brian","D-I",46
"47","Ali Ferrari","D-II",47
"48","Ali Hess","D-III",48
"49","Ali Higgs","D-I",49
"50","Ali Kriegel","D-III",50
"51","Ali Maloof","D-I",51
"52","Ali McCargo","D-I",52
"53","Ali Meacham","D-II",53
"54","Alice Struzinsky","D-III",54
"55","Alicia Abbott","D-I",55
"56","Alicia O'Brien","D-III",56
"57","Alicia Reid","D-II",57
"58","Alicia du'Monceaux","D-III",58
"59","Alisa Goler","D-I",59
"60","Alisa Tasler","D-I",60
"61","Alison Haehnel","D-III",61
"62","Alison Mitchell","D-II",62
"63","Alison Ritter","D-III",63
"64","Alison Sellers-Cook","",64
"65","Alison Van Scyoc","D-II",65
"66","Alissa Edwards","D-II",66
"67","Alleen Hawkins","D-II",67
"68","Allie Taylor","D-III",68
"69","Allison Jones","D-III",69
"70","Allison Meadows","D-III",70
"71","Allison Nihei","D-II",71
"72","Allison Wigand","D-III",72
"73","Ally Moore","D-III",73
"74","Alvy Early","D-II",74
"75","Aly Boytz","D-II",75
