"","head_coach","division","coach_id"
"1","Abby Hurley-Martin","D-III",6
"2","Addy Malatesta","D-III",9
"3","Adriane Baird","D-III",14
"4","Adrianna Baggetta","D-III",15
"5","Adrienne Cali","D-III",16
"6","Adrienne Davis","D-III",18
"7","Aimee Lee","D-III",21
"8","Al Aimola","D-III",25
"9","Al Fecso","D-III",28
"10","Al Sampson","D-III",29
"11","Al Sciangula","D-III",30
"12","Alan Bayse","D-III",32
"13","Alan Dunefsky","D-III",34
"14","Alan Loucks","D-III",35
"15","Alan Thompson","D-III",36
"16","Albana Krasniqi","D-III",37
"17","Alex Allaman","D-III",38
"18","Alex Campione","D-III",39
"19","Alex Lagesse","D-III",42
"20","Alexa McClaughry","D-III",45
"21","Alexis Lynn","D-III",47
"22","Ali Hess","D-III",50
"23","Ali Kriegel","D-III",52
"24","Alice Struzinsky","D-III",56
"25","Alicia O'Brien","D-III",58
"26","Alicia du'Monceaux","D-III",60
"27","Alison Haehnel","D-III",63
"28","Alison Ritter","D-III",65
"29","Allie Taylor","D-III",71
"30","Allison Jones","D-III",72
"31","Allison Meadows","D-III",73
"32","Allison Wigand","D-III",75
"33","Ally Moore","D-III",76
"34","Alyssa Krause","D-III",80
"35","Alyssa Robison","D-III",82
"36","Alyssa Williamson","D-III",86
"37","Amana Meczywor","D-III",87
"38","Amanda Bourgoin","D-III",88
"39","Amanda Davis","D-III",90
"40","Amanda DeMoine","D-III",91
"41","Amanda Fazzari","D-III",94
"42","Amanda Gutowski","D-III",97
"43","Amanda Locke","D-III",100
"44","Amanda McLean","D-III",101
"45","Amanda Nordberg","D-III",102
"46","Amanda Novak","D-III",103
"47","Amanda Peterson","D-III",104
"48","Amber Conner","D-III",111
"49","Amber Dohlman","D-III",113
"50","Amber George","D-III",114
"51","Amber Grahlman","D-III",115
"52","Amber Maisonet","D-III",118
"53","Amber Nichols","D-III",119
"54","Amber Radomski","D-III",120
"55","Amber Warners","D-III",122
"56","Amy ""Ace"" Dolan","D-III",123
"57","Amy Carlson","D-III",126
"58","Amy Erickson","D-III",131
"59","Amy Gavran","D-III",133
"60","Amy Gillmore","D-III",134
"61","Amy Gradecki","D-III",135
"62","Amy Jones","D-III",142
"63","Amy Meyer","D-III",147
"64","Amy Sasin","D-III",148
"65","Amy Schafer","D-III",149
"66","Amy Smith","D-III",151
"67","Amy Weaver","D-III",154
"68","Amy Zombeck","D-III",156
"69","Ana Litton","D-III",157
"70","Andie Gutmann","D-III",159
"71","Andie Varsho","D-III",160
"72","Andrea Bombace","D-III",161
"73","Andrea Ennis","D-III",164
"74","Andrea Nagy","D-III",169
"75","Andrea Vangoss","D-III",170
"76","Andy Berryman","D-III",175
"77","Andy DeBenedictis","D-III",176
