"","team_id","player_id","rank","player","avg"
"1",632,22297,1,"Torrian Wright","0.566"
"2",388,22545,2,"Morgan Zerkle","0.506"
"3",400,5114,3,"Quianna Diaz-patterson","0.504"
"4",110,1394,4,"Allexis Bennett","0.492"
"5",655,11373,5,"Katie Lacour","0.478"
"6",9,718,6,"Caitlin Attfield","0.473"
"7",650,13915,7,"Yvon Minogue","0.470"
"8",254,5412,8,"Ivie Drake","0.462"
"9",352,21358,9,"Alexis Watanabe","0.460"
"10",294,2621,10,"Kacie Burnett","0.459"
"11",771,12761,10,"Sammy Marshall","0.459"
"12",97,20773,10,"Samantha Vandiver","0.459"
"13",418,17396,13,"Sierra Romero","0.454"
"14",290,4676,14,"Al'asia Davis","0.449"
"15",381,2011,15,"Elena Bowman","0.448"
"16",172,13247,16,"Katie Mceachern","0.447"
"17",414,12764,16,"Tiyona Marshall","0.447"
"18",107,9932,18,"Jazmyn Jackson","0.446"
"19",388,4032,19,"Emileigh Cooper","0.445"
"20",77,2140,20,"Marissa Bravo","0.444"
"21",521,4760,20,"Shelby Davis","0.444"
"22",671,5807,22,"Lexie Elkins","0.443"
"23",312,1731,23,"Megan Blank","0.442"
"24",794,14014,23,"Hailey Mohrfeld","0.442"
"25",116,1491,23,"Jessica Berzins","0.442"
"26",115,14691,26,"Ericka Nesbitt","0.441"
"27",603,2615,27,"Erin Burner","0.439"
"28",674,1886,27,"Kayla Bonstrom","0.439"
"29",630,12467,27,"Jessica Madrid","0.439"
"30",96,14318,27,"Brenna Moss","0.439"
"31",37,3023,31,"Emily Carosone","0.438"
"32",231,20028,32,"Stephanie Texeira","0.437"
"33",625,5384,32,"Megan Dowdy","0.437"
"34",648,15374,34,"Alaynie Page","0.436"
"35",8,13136,34,"Haylie Mccleney","0.436"
"36",148,13452,36,"Erica Mcnew","0.435"
"37",630,9647,36,"Jessie Hufstetler","0.435"
"38",732,5136,36,"Kate Dickman","0.435"
"39",77,9267,36,"Lacey Hofstedt","0.435"
"40",683,7812,40,"Bria Green","0.434"
"41",235,19446,40,"Kelsey Stewart","0.434"
"42",294,6890,42,"Vicky Galasso","0.433"
"43",28,6721,42,"Amber Freeman","0.433"
"44",148,22194,44,"Cynthia Woodard","0.432"
"45",2,8789,44,"Peyton Hedrick","0.432"
"46",388,7845,46,"Kaelynn Greene","0.431"
"47",402,15954,47,"Erika Piancastelli","0.430"
"48",317,6323,48,"Erica Field","0.429"
"49",86,4488,48,"Alexis Curtiss","0.429"
"50",513,21626,48,"Karley Wester","0.429"
"51",257,5867,51,"Sydni Emanuel","0.428"
"52",10411,16741,52,"Hayley Reinfeld","0.427"
"53",529,11960,53,"Jenna Lilley","0.426"
"54",311,7519,54,"Brittany Gomez","0.425"
"55",365,11465,55,"Bailey Landry","0.424"
"56",493,7006,56,"Cheyenne Garcia","0.423"
"57",87,11162,56,"Alex Kotter","0.423"
"58",8,20575,56,"Demi Turner","0.423"
"59",772,6683,56,"Larissa Franklin","0.423"
"60",454,20605,60,"Jessica Twaddle","0.422"
"61",62,2755,61,"Lisa Cadogan","0.421"
"62",493,14188,61,"Logan Moreland","0.421"
"63",632,8257,63,"Amber Hallman","0.419"
"64",699,7141,63,"Thomasina Garza","0.419"
"65",107,21058,63,"Britt Vonk","0.419"
"66",630,4212,63,"Michelle Cox","0.419"
"67",169,5163,67,"Liz Dike","0.418"
"68",457,21792,67,"Taylor Wike","0.418"
"69",782,6606,67,"Brittany Fortner","0.418"
"70",61,18481,67,"Calesha Shelley","0.418"
"71",626,1186,71,"Lorena Bauer","0.415"
"72",365,1330,71,"Bianka Bell","0.415"
"73",508,10865,71,"Kellye Kincannon","0.415"
"74",609,14786,71,"Alex Nickel","0.415"
"75",37,9557,71,"Tiffany Howard","0.415"
"76",626,10459,76,"Kayla Jordan","0.414"
"77",731,3513,77,"Sarah Chow","0.413"
"78",522,15719,78,"Shelby Pendley","0.412"
"79",463,11045,78,"Mj Knighten","0.412"
"80",756,145,80,"Ali Aguilar","0.411"
"81",466,19752,80,"Megan Sweet","0.411"
"82",14,3743,80,"Maggie Cocks","0.411"
"83",539,11032,80,"Lexi Knief","0.411"
"84",518,11825,84,"Erika Leonard","0.410"
"85",513,11089,84,"Emilee Koerner","0.410"
"86",363,937,86,"Megan Baltzell","0.409"
"87",522,13804,86,"Erin Miller","0.409"
"88",513,8650,86,"Katey Haus","0.409"
"89",51,8662,86,"Ari Hawkins","0.409"
"90",94,2555,90,"Madison Bundy","0.408"
"91",10411,18117,90,"Aly Schneider","0.408"
"92",702,20983,90,"Nina Villanueva","0.408"
"93",735,16566,93,"Kaitlyn Ranieri","0.407"
"94",503,7710,93,"Kayti Grable","0.407"
"95",9,21970,93,"Sara beth Williamson","0.407"
"96",711,2765,93,"Holiday Cahill","0.407"
"97",463,19511,93,"Kiki Stokes","0.407"
"98",257,5864,93,"Cortni Emanuel","0.407"
"99",459,7200,93,"Allison Geiner","0.407"
"100",317,14747,100,"Taylor Newton","0.406"
"101",97,17269,100,"Courtney Rodriguez","0.406"
