"","team_id","player_id","rank","player","sb"
"1",388,22545,1,"Morgan Zerkle",47
"2",521,4760,2,"Shelby Davis",44
"3",257,5864,3,"Cortni Emanuel",43
"4",128,14918,3,"Kahley Novak",43
"5",28600,5854,5,"Brittany Elmore",41
"6",419,1608,6,"Precious Birdsong",39
"7",149,3499,6,"Bri Chiusano",39
"8",294,2621,8,"Kacie Burnett",37
"9",314,19727,8,"Canessa Swanson",37
"10",434,6866,8,"Taylor Gadbois",37
"11",498,17124,11,"Rochelle Roberts",36
"12",529,19824,12,"Janie Takeda",34
"13",430,14767,12,"Loryn Nichols",34
"14",2711,22026,14,"Kelly Wilson",33
"15",8,13136,15,"Haylie Mccleney",32
"16",596,17352,15,"Kelli Rohan",32
"17",498,14600,15,"Miyuki Navarrete",32
"18",14,13265,18,"Vicky Mcfarland",31
"19",311,7519,18,"Brittany Gomez",31
"20",229,12078,18,"Emily Lochten",31
"21",406,17556,18,"Meghan Rud",31
"22",314,14683,18,"Victoria Nelson",31
"23",678,19987,18,"Jessie Tenbroeck",31
"24",61,18481,24,"Calesha Shelley",30
"25",796,20733,24,"Maria Van abel",30
"26",352,22458,24,"Nicole Yozzo",30
"27",386,5472,24,"Maureen Duddy",30
"28",72,10572,24,"Kelly Kapp",30
"29",817,3200,29,"Miranda Castiglione",29
"30",596,13232,29,"Emily Mcdonough",29
"31",433,4204,29,"Elantra Cox",29
"32",2707,15479,29,"Brooke Parker",29
"33",51,2983,29,"Lindsey Cargill",29
"34",7,149,29,"Laura Aguilar",29
"35",513,18677,29,"Jenna Simon",29
"36",559,2606,36,"Ashley Burkhardt",28
"37",725,13185,36,"Kasey Mccravey",28
"38",101,7446,36,"Taylor Glover",28
"39",434,4249,36,"Emily Crane",28
"40",509,16429,36,"Sabrina Rabin",28
"41",178,7181,36,"Nicole Gazzola",28
"42",430,22081,36,"Kayla Winkfield",28
"43",388,7845,43,"Kaelynn Greene",27
"44",87,7981,43,"Sarah Gronowski",27
"45",2699,14312,45,"Ali Mosier",26
"46",771,12761,45,"Sammy Marshall",26
"47",513,21626,45,"Karley Wester",26
"48",331,16520,45,"Dani Ramos",26
"49",249,12007,45,"Megan Linn",26
"50",1014,5574,45,"Taylor Dupree",26
"51",439,9125,45,"Emma Hill",26
"52",83,6206,45,"Amanda Fazio",26
"53",716,1431,45,"Katie Benton",26
"54",235,19446,54,"Kelsey Stewart",25
"55",77,9267,54,"Lacey Hofstedt",25
"56",651,22323,54,"Kristen Wyckoff",25
"57",1004,21667,54,"Briana Whisenhunt",25
"58",363,937,58,"Megan Baltzell",24
"59",96,14318,58,"Brenna Moss",24
"60",355,22522,58,"Tori Zavodny",24
"61",365,516,58,"A,j Andrews",24
"62",402,11512,58,"Lauren Langner",24
"63",355,11623,58,"Blair Lawrence",24
"64",418,11634,64,"Sierra Lawrence",23
"65",43,2648,64,"Laurel Burroughs",23
"66",68,3948,64,"Moriah Connolly",23
"67",68,22412,64,"Brittany Younan",23
"68",388,4525,64,"Elicia D'orazio",23
"69",235,13651,69,"Kirsti Merritt",22
"70",62,8403,69,"Sydney Harbaugh",22
"71",257,5867,69,"Sydni Emanuel",22
"72",254,3544,69,"Ashley Christy",22
"73",386,20749,69,"Kyrsten Van natta",22
"74",709,11792,69,"Jessica Lemieux",22
"75",796,13656,69,"Marissa Mersch",22
"76",631,6399,69,"Ellie Fisher",22
"77",244,14392,69,"Ambree Muller",22
"78",67,14445,69,"Annie Murphy",22
"79",1320,13399,69,"Jill Mclean",22
"80",275,4901,69,"Andrea Del conte",22
"81",498,4218,69,"Sidney Coy",22
"82",559,9673,69,"Maya Hughes",22
"83",418,17396,83,"Sierra Romero",21
"84",626,10459,83,"Kayla Jordan",21
"85",110,1394,83,"Allexis Bennett",21
"86",48,12966,83,"Amanda Matsumodo",21
"87",366,4337,83,"Anna Cross",21
"88",406,13859,83,"Taylor Miller",21
"89",249,5349,83,"Samantha Dos santos",21
"90",184,703,83,"Alex Astorga",21
"91",67,4010,83,"Megan Cooley",21
"92",129,20301,83,"Lacy Tolfree",21
"93",249,2165,83,"Bradleigh Breland",21
"94",251,10560,83,"Theresa Kane",21
"95",493,7006,95,"Cheyenne Garcia",20
"96",514,8576,95,"Sarah Hartley",20
"97",391,281,95,"Tori Alexander",20
"98",393,7533,95,"Vanessa Gomez",20
"99",609,6761,95,"Lindsay Friedman",20
"100",115,10436,95,"Stephanie Jones",20
"101",402,5434,95,"Hailey Drew",20
"102",388,2142,95,"Shaelynn Braxton",20
"103",29,19648,95,"Chelsea Suitos",20
"104",514,14441,95,"Morgan Muron",20
"105",28755,9632,95,"Kelsey Huff",20
"106",432,14007,95,"Omeshia Moffett",20
"107",228,6190,95,"Whitney Farris",20
