"","team_id","player_id","rank","player","avg"
"1",218,20254,1,"Kerrigan Dura","0.556"
"2",351,7101,2,"Sammy Bost","0.551"
"3",1450,9648,3,"Erica Burney","0.540"
"4",809,18290,4,"Sydney Despres","0.519"
"5",303,4041,5,"Annemarie Bartow","0.513"
"6",745,34378,6,"Cassetty Howerin","0.504"
"7",22626,27766,6,"Emily Gorecki","0.504"
"8",69,60963,8,"Caroline Rice","0.500"
"9",30041,25725,8,"Kierston Garner","0.500"
"10",88,22769,10,"Chrissy Ferraro","0.496"
"11",452,3104,11,"Brittany Bait","0.493"
"12",684,71675,12,"Delaney Sylvester","0.492"
"13",8688,80795,12,"Cassie Young","0.492"
"14",755,48654,14,"Hannah Mehrle","0.487"
"15",451,31734,15,"Rachel Heizer","0.486"
"16",1451,43172,16,"Kailey Liverman","0.485"
"17",1400,80516,17,"Taylor Yancey","0.481"
"18",1461,33897,17,"Savannah Hooper","0.481"
"19",221,11532,19,"Nikki Caruso","0.480"
"20",259,68684,19,"Shilah Snead","0.480"
"21",567,11273,21,"Aj Carrasco","0.479"
"22",637,7679,21,"Kimberly Brady","0.479"
"23",1111,48053,23,"Bryn Mckie","0.476"
"24",597,62534,24,"Robyn Rohr","0.473"
"25",622,19436,24,"Kim Dorsey","0.473"
"26",779,30827,24,"Emma Hart","0.473"
"27",27892,1640,24,"Meagan Anderson","0.473"
"28",715,23365,28,"Emily Fleischman","0.472"
"29",11036,20176,29,"Morgan Dunn","0.471"
"30",42,76469,30,"Elaine Walker","0.470"
"31",1340,47171,30,"Mallory Mcclafferty","0.470"
"32",1255,760,32,"Avery Alberghini","0.469"
"33",24317,60820,33,"Jess Reynolds","0.467"
"34",22626,68868,34,"Kristen Solari","0.466"
"35",684,59050,35,"Jill Pulek","0.465"
"36",789,51987,35,"Mackenzie Murphy","0.465"
"37",278,50207,37,"Mikaela Mitsch","0.464"
"38",382,9063,37,"Desiree Buboi","0.464"
"39",8687,65770,39,"Patti Sciglimpaglia","0.463"
"40",30044,31627,40,"Jenna Heffner","0.462"
"41",44,43463,41,"Jessica Long","0.460"
"42",12973,71179,41,"Kayla Sullenberger","0.460"
"43",2694,40812,43,"Megan Lalioff","0.459"
"44",30064,53330,43,"Shelby Noel","0.459"
"45",182,32321,45,"Sarah Herold","0.458"
"46",531,23338,45,"Maddie Flasco","0.458"
"47",573,34817,45,"Christine Hume","0.458"
"48",12399,4744,45,"Jessica Behr","0.458"
"49",396,48202,49,"Jessica Mcmahan","0.457"
"50",1255,74904,49,"Amanda Vallante","0.457"
"51",30029,31341,49,"Kelly Hayes","0.457"
"52",760,13819,52,"Ashtyn Coleman","0.456"
"53",808,52031,52,"Nina Murphy-cook","0.456"
"54",160,16401,54,"Stefanie D'anna","0.454"
"55",581,38548,54,"Kayla Kibling","0.454"
"56",642,17641,54,"Dani Degregory","0.454"
"57",263,73415,57,"Sarah Tompkins","0.453"
"58",531,61309,57,"Molly Riggs","0.453"
"59",139,67624,59,"Scoop Simon","0.450"
"60",750,15145,59,"Erica Countryman","0.450"
"61",809,16694,59,"Taylor Daniels","0.450"
"62",484,48598,62,"Kendall Meehan","0.449"
"63",1450,72333,62,"Amber Tepen","0.449"
"64",14795,46183,62,"Kaylee Martinez","0.449"
"65",618,65246,65,"Maggie Schley","0.446"
"66",722,67133,66,"Hayden Short","0.445"
"67",2751,61822,66,"Rachel Roberts","0.445"
"68",203,32785,68,"Carli Hill","0.444"
"69",211,75269,68,"Emma Varrato","0.444"
"70",622,67677,68,"Molly Simpson","0.444"
"71",21830,68190,68,"Abby Smith","0.444"
"72",679,61455,72,"Gavriella Risman-jones","0.443"
"73",1203,8685,72,"Leah Brown","0.443"
"74",442,69723,74,"Lia Stamile","0.442"
"75",530,74033,74,"Tori Trovato","0.442"
"76",547,28780,74,"Jennifer Groat","0.442"
"77",570,11936,74,"Stephanie Caudle","0.442"
"78",1179,54570,74,"Melanie Oord","0.442"
"79",123,2811,79,"Jessica Babcock","0.441"
"80",1066,1597,79,"Jordan Anderson","0.441"
"81",12884,13470,79,"Carolyn Clites","0.441"
"82",759,71180,82,"Katelyn Sullens","0.439"
"83",531,55089,83,"Rachael Owens","0.438"
"84",750,23905,84,"Mara Forsyth","0.437"
"85",382,12341,85,"Sophia Chapelone","0.436"
"86",1099,39233,85,"Emily Kline","0.436"
"87",218,43155,87,"Lexi Litwiller","0.435"
"88",118,41527,88,"Anna Lauko","0.434"
"89",622,39502,88,"Paige Knussman","0.434"
"90",777,2529,88,"Maddy Atkocaitis","0.434"
"91",1111,64175,88,"Tiffany Samsoe","0.434"
"92",146,40966,92,"Summer Lancette","0.432"
"93",372,9759,92,"Ashley Burrows","0.432"
"94",442,33240,92,"Noel Hodgins","0.432"
"95",685,52835,92,"Amanda Neveroski","0.432"
"96",221,47081,96,"Wynne Mccann","0.431"
"97",775,41594,96,"Gabby Lavinio","0.431"
"98",12399,12888,96,"Becki Christoffers","0.431"
"99",25719,38013,96,"Clarissa Keller","0.431"
"100",150,53772,100,"Allie O'brien","0.430"
"101",779,77711,100,"Kelly Welch","0.430"
"102",1340,14932,100,"Lindsey Corriss","0.430"
