"","team_id","player_id","rank","player","so"
"1",601,69890,1,"Lindsey Thayer",416
"2",217,22131,2,"Brittany File",343
"3",30094,33176,3,"Jamie Hrobak",273
"4",398,44168,4,"Alexandra Marshall",271
"5",16,51902,5,"Sammi O'Connor",239
"6",755,55690,6,"Annie Pitkin",238
"7",973,33054,7,"Kassie Howard",229
"8",11538,40825,8,"Madison Leonard",226
"9",215,37215,9,"Jill Kilcoyne",203
"10",161,29219,10,"Abigail Haraldson",200
"11",42,29817,11,"Vanessa Hartzell",195
"12",21,68263,12,"Morgan Stratton",190
"13",372,7576,13,"Samantha Bratland",183
"14",778,70359,14,"Katie Thornton",177
"15",330,15062,14,"Mariah Crisp",177
"16",8687,63411,14,"Patti Sciglimpaglia",177
"17",14718,74618,17,"Mellissa Webb",174
"18",59,74832,18,"Cassie Weiss",172
"19",805,10088,19,"Julia Camardo",170
"20",443,51650,20,"Josie Novak",168
"21",25719,9140,21,"Kate Burge",167
"22",30040,53177,21,"Sara Packard",167
"23",177,3159,23,"Emma Baldwin",166
"24",121,31238,24,"Katie Herron",164
"25",44,66043,24,"Mary Beth Smith",164
"26",259,33906,26,"Beth Ann Hyland",163
"27",1451,60293,27,"Jazmyn Rohrer",161
"28",344,75068,28,"Jessi Werner",160
"29",266,30307,29,"Hannah Heacox",157
"30",38,1601,29,"Sam Anderson",157
"31",221,77247,29,"Sydney Worek",157
"32",411,1007,32,"Courtney Allen",156
"33",30044,60942,33,"Jess Rozick",154
"34",787,55886,34,"Allison Podmajersky",153
"35",401,69987,35,"Annie Thomas",152
"36",438,31877,35,"Liz Hippen",152
"37",114,25371,37,"Anna Gernant",151
"38",597,22769,38,"Krista Flugstad",150
"39",486,57024,39,"Rachel Quackenbush",148
"40",300,51433,40,"Jenna Noland",145
"41",622,7980,41,"Annah Brittingham",142
"42",225,61009,41,"Courtney Rudd",142
"43",374,20629,43,"Connor English",140
"44",808,18655,44,"Clare Doolin",138
"45",126,52506,44,"Karly Olson",138
"46",580,72154,44,"Sierra Valentine",138
"47",565,75633,47,"Candace Whittemore",136
"48",166,29370,47,"Haley Harmon",136
"49",641,22357,49,"Riley Fisher",132
"50",286,35752,50,"Sydney Jones",131
"51",382,21698,51,"Alycia Feeney",130
"52",78,5092,51,"Jaime Berger",130
"53",783,62795,53,"Alexis Schengrund",129
"54",452,62595,53,"Allie Scalli",129
"55",30037,59795,53,"Justine Robles",129
"56",597,41324,53,"Megan Lindenfelser",129
"57",122,75035,57,"Annie Wennerberg",128
"58",588,63449,57,"Brittany Scott",128
"59",549,59880,59,"Liz Rodarte",126
"60",511,35399,59,"Rachel Johnson",126
"61",276,69443,59,"Sara Tauriello",126
"62",24317,77533,62,"Kaera Wyse",125
"63",570,11502,62,"Stephanie Caudle",125
"64",1468,13789,64,"Cindy Connoly",124
"65",715,74920,65,"Kaci Wellik",123
"66",517,41233,66,"Kirsten Lightel",122
"67",1094,66518,66,"Madison Sorensen",122
"68",28593,29348,66,"Taylor Harkins",122
"69",618,48400,69,"Chrisi Mizera",119
"70",123,77037,69,"Kayla Wood",119
"71",300,44111,69,"Mackenzie Marquis",119
"72",733,48629,72,"Abby Monroe",118
"73",22626,14327,72,"Jennifer Corona",118
"74",745,38672,74,"Kandis Kresinske",117
"75",623,53790,74,"Nicole Parry",117
"76",30064,20528,76,"Samantha Emert",116
"77",1115,27596,76,"Sydney Griffin",116
"78",372,76813,78,"Amanda Witzlib",115
"79",326,19579,78,"Erin DuRoss",115
"80",11036,7296,78,"Lindsay Brace",115
"81",656,52831,78,"Shannon Orton",115
"82",662,26585,82,"Samantha Goode",114
"83",612,5379,83,"Ashley Betzold",113
"84",258,58287,84,"Aileen Reilly",112
"85",426,17434,84,"Cassidy DeNoon",112
"86",9500,58340,84,"Fallon Reinold",112
"87",76,45398,84,"Kelly McCarthy",112
"88",279,7614,84,"Meghan Bravo",112
"89",335,75338,89,"Austen Whibley",111
"90",1111,1504,89,"Brianna Anderson",111
"91",179,67487,89,"Jamie Stefani",111
"92",953,31200,89,"Tori Herrera",111
"93",803,77262,89,"Tori Workman",111
"94",443,10619,94,"Amanda Carisone",110
"95",341,37140,95,"Katherine Kibbe",109
"96",2751,58229,96,"Marissa Reichard",108
"97",1064,26306,97,"Heidi Gomez",107
"98",2694,53890,97,"Olivia Paszek",107
"99",966,76398,99,"Erin Wilson",105
"100",14795,57800,99,"Laura Rau",105
