"","team_id","player_id","rank","player","k_bb"
"1",229,8393,1,"Kylee Hanson","6.8"
"2",235,15053,2,"Aleshia Ocasio","5.4"
"3",529,10986,3,"Megan Kleist","5.2"
"4",248,21027,4,"Marina Vitalich","5.0"
"5",28755,16562,5,"Riley Randolph","4.9"
"6",671,19436,6,"Alex Stewart","4.4"
"7",428,7975,7,"Sara Groenewegen","4.4"
"8",169,5688,8,"Sydnee Eck","4.3"
"9",277,9196,9,"Brittany Hitchcock","4.3"
"10",317,7611,10,"Megan Good","4.3"
"11",202,17752,11,"Alex Sallberg","4.0"
"12",670,17614,12,"Randi Rupp","3.8"
"13",562,9023,13,"Casey Herzog","3.8"
"14",175,3171,14,"Manda Cash","3.8"
"15",367,1283,15,"Maryssa Becker","3.8"
"16",107,15171,16,"Nisa Ontiveros","3.6"
"17",522,15509,17,"Paige Parker","3.4"
"18",540,17933,18,"Alexis Sargent","3.4"
"19",361,19050,19,"Erynn Sobieski","3.4"
"20",646,2336,20,"Devin Brown","3.4"
"21",235,7702,21,"Delanie Gourley","3.4"
"22",234,2647,22,"Jessica Burroughs","3.4"
"23",83,6206,23,"Amanda Fazio","3.3"
"24",771,9875,24,"Emily Ira","3.3"
"25",719,21390,25,"Emily Watson","3.3"
"26",659,10352,26,"Brianna Jones","3.2"
"27",694,14322,27,"Matty Moss","3.2"
"28",334,14954,29,"Kelsey Nunley","3.2"
"29",219,6518,29,"Morgan Florey","3.2"
"30",563,14275,30,"Abby Morrow","3.2"
"31",402,20999,31,"Emily Vincent","3.1"
"32",257,21842,32,"Chelsea Wilkinson","3.1"
"33",220,15403,33,"Destinee Pallotto","3.1"
"34",236,7348,34,"Rachel Gillen","3.1"
"35",51,19339,35,"Heather Stearns","3.1"
"36",529,8666,36,"Cheridan Hawkins","3.1"
"37",1157,20949,37,"Logan Viers","3.0"
"38",466,9896,38,"Mckenna Isenberg","2.9"
"39",317,6581,39,"Jailyn Ford","2.9"
"40",694,6863,40,"Erin Gabriel","2.9"
"41",90,9811,41,"Sierra Hyland","2.9"
"42",5,18321,42,"Erin Seiler","2.9"
"43",742,20615,43,"Maggie Tyler","2.8"
"44",692,11928,44,"Danielle Liberatore","2.8"
"45",610,14321,45,"Katie Moss","2.8"
"46",472,5310,46,"Karysta Donisthorpe","2.7"
"47",528,14679,47,"Meehra Nelson","2.7"
"48",8,15261,48,"Alexis Osorio","2.7"
"49",202,6539,49,"Hayley Flynn","2.7"
"50",328,6591,50,"Andie Formby","2.7"
"51",813,10145,51,"Terra Jerpbak","2.6"
"52",158,22306,52,"Tonia Wu","2.6"
"53",77,2532,53,"Mckenna Bull","2.6"
"54",625,8395,54,"Mollie Hanson","2.6"
"55",189,14732,55,"Nicole Newman","2.5"
"56",646,20938,56,"Destin Vicknair","2.5"
"57",334,16304,57,"Meagan Prince","2.5"
"58",386,15045,58,"Jayne Oberdorf","2.5"
"59",388,5216,59,"Jordan Dixon","2.5"
"60",14,20899,60,"Celeste Verdolivo","2.4"
"61",97,7501,61,"Sydney Golden","2.4"
"62",493,18369,62,"Jacquelyn Sertic","2.4"
"63",513,16851,63,"Allie Rhodes","2.4"
"64",235,1059,64,"Kelly Barnhill","2.4"
"65",606,20892,65,"Ashley Ventura","2.4"
"66",28600,22431,66,"Kelly Young","2.4"
"67",315,7354,67,"Whitney Gillespie","2.4"
"68",418,1513,68,"Megan Betsa","2.4"
"69",559,6211,69,"Lilly Fecho","2.4"
"70",331,11381,70,"Ronnie Ladines","2.4"
"71",725,16109,71,"Renee Poirier","2.3"
"72",503,6750,73,"Alex Frenz","2.3"
"73",346,12326,73,"Ciara Luna","2.3"
"74",244,1479,74,"Lindsey Bert","2.3"
"75",1014,12805,75,"Sam Martin","2.3"
"76",180,3767,76,"Kiersten Coffman","2.3"
"77",393,8043,77,"Adrienne Guerra","2.3"
"78",169,21752,78,"Micaela Whitney","2.3"
"79",229,22000,79,"Amanda Wilson","2.3"
"80",627,17682,80,"Megan Sabbatini","2.3"
"81",769,18622,81,"Taylor Sigmon","2.3"
"82",285,5595,82,"Gennifer Durham","2.3"
"83",416,22486,83,"Kristina Zalewski","2.2"
"84",28,10794,84,"Kelsey Kessler","2.2"
"85",483,11468,85,"Megan Landry","2.2"
"86",1157,18625,86,"Morgan Sikes","2.2"
"87",626,17387,87,"Erica Romero","2.2"
"88",352,19101,88,"Emily Sorem","2.2"
"89",504,17467,89,"Chelsea Ross","2.2"
"90",606,3650,90,"Maddison Clarke","2.2"
"91",695,10734,91,"Brooke Kennedy","2.2"
"92",693,6603,92,"Jordan Fortel","2.2"
"93",796,19418,93,"Kirsten Stevens","2.2"
"94",651,14955,94,"Erica Nunn","2.2"
"95",234,10895,95,"Meghan King","2.2"
"96",129,11018,96,"Rachel Knapp","2.2"
"97",365,21210,97,"Allie Walljasper","2.2"
"98",275,7982,98,"Morgan Groom","2.2"
"99",196,17035,99,"Lydia Ritchie","2.1"
"100",731,10293,100,"Noelle Johnson","2.1"
