"","team_id","player_id","rank","player","xbh"
"1",1111,35202,1,"Kate Jolliff rosado",30
"2",44,41532,2,"Jessica Long",29
"3",259,65483,3,"Morgan Smith",28
"4",382,43581,3,"Alicia Marino",28
"5",673,18877,3,"Kristen Drobiak",28
"6",684,56416,3,"Jill Pulek",28
"7",1062,54158,3,"Jayme Perez",28
"8",1179,22398,3,"Cheyenne Fletcher",28
"9",44,571,9,"Kaitlyn Aherron",27
"10",745,32849,9,"Cassetty Howerin",27
"11",750,22857,9,"Mara Forsyth",27
"12",789,15522,9,"Lexi Curt",27
"13",17094,45999,9,"Heather Mclean",27
"14",17094,75093,14,"Lindsey Wiggins",26
"15",20220,65685,14,"Emily Snow",26
"16",42,73047,16,"Elaine Walker",25
"17",300,5067,16,"Sam Berghoff",25
"18",372,67741,16,"Anna Strien",25
"19",382,8666,16,"Desiree Buboi",25
"20",443,44495,16,"Janae Matos",25
"21",805,37557,16,"Mallory Klotz",25
"22",1099,34518,16,"Megan Jenkerson",25
"23",2798,22881,16,"Gillian Fortier",25
"24",28593,40173,16,"Savannah Lee",25
"25",30064,50951,16,"Shelby Noel",25
"26",18,69635,26,"Liz Thompson",24
"27",296,28157,26,"Holly Haberkorn",24
"28",615,10749,26,"Emily Carr",24
"29",815,60592,26,"Carleigh Ruleman",24
"30",1254,27877,26,"Becky Guinto",24
"31",11036,64433,26,"Alexa Silk",24
"32",24317,26007,26,"Mekenzi Golden",24
"33",30044,30226,26,"Jenna Heffner",24
"34",451,30328,34,"Rachel Heizer",23
"35",531,45514,34,"Bailey Mcelwain",23
"36",564,53468,34,"Harper Patsko",23
"37",622,54998,34,"Annie Pietanza",23
"38",642,22901,34,"Lauren Fortunato",23
"39",745,58374,34,"Kiersten Richardson",23
"40",789,49661,34,"Mackenzie Murphy",23
"41",1111,61317,34,"Tiffany Samsoe",23
"42",1305,43453,34,"Meagan Maratita",23
"43",1400,26371,34,"Kaymee Gooden",23
"44",12973,68011,34,"Kayla Sullenberger",23
"45",14795,44121,34,"Kaylee Martinez",23
"46",22626,26529,34,"Emily Gorecki",23
"47",30165,33620,34,"Courtney Hyland",23
"48",88,61938,48,"Lindsay Savar",22
"49",88,1173,48,"Marissa Alpaugh",22
"50",105,40799,48,"Olivia Leyva",22
"51",117,73294,48,"Bailey Walter",22
"52",121,53931,48,"Darian Pelsor",22
"53",160,3169,48,"Melissa Balkema",22
"54",364,39551,48,"Megan Larson",22
"55",372,67383,48,"Natalie Stockman",22
"56",382,17832,48,"Dolores Diemicke",22
"57",401,72173,48,"Roxanne Vento",22
"58",411,14905,48,"Erin Cressman",22
"59",542,54016,48,"Makenzie Pennell",22
"60",597,25064,48,"Jenna George",22
"61",781,569,48,"Marialena Ahern",22
"62",787,27385,48,"Christine Griffith",22
"63",789,36976,48,"Jessica Kim",22
"64",1112,11042,48,"Makayla Carver",22
"65",1254,62488,48,"Jackie Schneider",22
"66",2694,6065,48,"Savannah Blevins",22
"67",132,77210,67,"Jessika Young",21
"68",150,35317,67,"Haley Jones",21
"69",225,67719,67,"Cheyenne Strickland",21
"70",263,60600,67,"Hayley Rumley",21
"71",296,26879,67,"Courtney Grasz",21
"72",382,29482,67,"Aarin Hartenstein",21
"73",452,40261,67,"Logan Lehman",21
"74",538,8977,67,"Alexa Bupp",21
"75",597,48264,67,"Amber Montero",21
"76",622,13381,67,"Leanne Collins",21
"77",745,30448,67,"Blake Henderson",21
"78",798,46757,67,"Abby Menting",21
"79",966,5560,67,"Jackie Bilotti",21
"80",973,48550,67,"Sarah Moore",21
"81",987,45507,67,"Josie Mcelroy",21
"82",2694,68780,67,"Alexis Tarver",21
"83",12399,4523,67,"Jessica Behr",21
"84",28593,15194,67,"Haley Crumpton",21
"85",28749,2920,67,"Shelby Bailey",21
"86",30114,31716,67,"Isabel Hoch",21
"87",88,17852,87,"Amber Dietrich",20
"88",168,63495,87,"Mikayla Shade",20
"89",200,60884,87,"Kristyn Ryan",20
"90",286,57849,87,"Hayley Reitsma",20
"91",303,3862,87,"Annemarie Bartow",20
"92",382,11803,87,"Sophia Chapelone",20
"93",542,63946,87,"Vada blue Sherrill",20
"94",595,1840,87,"Emilie Antony",20
"95",755,46477,87,"Hannah Mehrle",20
"96",759,9312,87,"Abby Burroughs",20
"97",798,5179,87,"Erika Berry",20
"98",805,48690,87,"Haley Morelli",20
"99",809,17469,87,"Sydney Despres",20
"100",815,43682,87,"Joanna Marmo",20
"101",973,13424,87,"Marie Collop",20
"102",1062,40747,87,"Linzie Lewis",20
"103",1111,51882,87,"Becca Oldham",20
"104",1203,8302,87,"Leah Brown",20
"105",2798,74085,87,"Deysia Wehder",20
"106",21830,31686,87,"Hannah Hoban",20
"107",22626,19313,87,"Brenna Duperry",20
"108",23121,54240,87,"Brittany Perkins",20
"109",30035,37133,87,"Liz King",20
"110",30037,23054,87,"Kaylee Fox",20
"111",30037,29503,87,"Makenna Hartline",20
"112",30037,2732,87,"Carly Bachna",20
"113",30047,62166,87,"Hunter Schantz",20
"114",30114,41038,87,"Breanna Lineman",20
