"","team_id","player_id","rank","player","k_7"
"1",235,1059,1,"Kelly Barnhill","13.0"
"2",418,1513,2,"Megan Betsa","12.2"
"3",8,15261,3,"Alexis Osorio","11.5"
"4",428,7975,4,"Sara Groenewegen","10.1"
"5",235,7702,5,"Delanie Gourley","10.1"
"6",719,21390,6,"Emily Watson"," 9.9"
"7",234,2647,7,"Jessica Burroughs"," 9.6"
"8",175,3171,8,"Manda Cash"," 8.9"
"9",660,9857,9,"Emily Ingles"," 8.8"
"10",522,15509,10,"Paige Parker"," 8.7"
"11",149,8072,11,"Ashley Guillette"," 8.7"
"12",311,21510,12,"Brianna Weilbacher"," 8.6"
"13",670,17614,13,"Randi Rupp"," 8.6"
"14",519,19468,14,"Danielle Stiene"," 8.6"
"15",529,913,15,"Maggie Balint"," 8.4"
"16",340,17081,16,"Marlo Roadcap"," 8.4"
"17",393,8043,17,"Adrienne Guerra"," 8.4"
"18",692,11928,18,"Danielle Liberatore"," 8.3"
"19",771,9875,19,"Emily Ira"," 8.2"
"20",493,18369,20,"Jacquelyn Sertic"," 8.1"
"21",231,17713,21,"Shannon Saile"," 8.1"
"22",129,11018,22,"Rachel Knapp"," 8.0"
"23",219,6518,23,"Morgan Florey"," 8.0"
"24",28600,10462,24,"Mandy Jordan"," 7.9"
"25",164,11143,25,"Katie Koshes"," 7.9"
"26",381,21925,26,"Nicole Williams"," 7.8"
"27",317,7611,27,"Megan Good"," 7.8"
"28",697,18939,28,"Lexi Smith"," 7.7"
"29",504,19194,29,"Jaclyn Spencer"," 7.6"
"30",522,12192,30,"Mariah Lopez"," 7.5"
"31",102,20019,31,"Taylor Tessier"," 7.5"
"32",688,17382,32,"Alexa Romero"," 7.5"
"33",77,2532,33,"Mckenna Bull"," 7.5"
"34",646,2336,34,"Devin Brown"," 7.5"
"35",302,8799,35,"Elaine Heflin"," 7.5"
"36",365,9430,36,"Carley Hoover"," 7.4"
"37",8,12051,37,"Sydney Littlejohn"," 7.4"
"38",90,9811,38,"Sierra Hyland"," 7.3"
"39",388,5216,39,"Jordan Dixon"," 7.3"
"40",110,7044,40,"Rachel Garcia"," 7.3"
"41",563,9639,41,"Kayla Huffman"," 7.3"
"42",14927,11710,42,"Brooklin Lee"," 7.3"
"43",201,22100,43,"Jessica Wireman"," 7.2"
"44",90,3333,44,"Lindsey Chalmers"," 7.1"
"45",248,21027,45,"Marina Vitalich"," 7.1"
"46",482,1487,46,"Sierra Bertrand"," 7.1"
"47",416,16465,47,"Bridgette Rainey"," 7.0"
"48",10411,18579,48,"Lexi Shubert"," 7.0"
"49",244,1479,49,"Lindsey Bert"," 7.0"
"50",315,21615,50,"Taylor West"," 7.0"
"51",310,6054,51,"Alana Evans"," 6.9"
"52",1104,14928,52,"Taylor Nowlin"," 6.9"
"53",694,14322,53,"Matty Moss"," 6.9"
"54",306,20402,54,"Tara Trainer"," 6.9"
"55",466,9896,55,"Mckenna Isenberg"," 6.9"
"56",439,16996,56,"Amanda Riley"," 6.8"
"57",51,17248,57,"Gia Rodoni"," 6.8"
"58",355,3178,58,"Chase Cassady"," 6.7"
"59",590,3001,59,"Jamie Carlson"," 6.7"
"60",671,19436,60,"Alex Stewart"," 6.7"
"61",77,8854,62,"Arissa Henderson"," 6.7"
"62",699,6832,62,"Jasmine Fulmore"," 6.7"
"63",529,10986,63,"Megan Kleist"," 6.6"
"64",458,22110,64,"Haley Wiseman"," 6.6"
"65",176,22574,65,"Missy Zoch"," 6.6"
"66",47,21996,66,"Carolyn Wilmes"," 6.6"
"67",649,4839,67,"Abby Deane"," 6.6"
"68",610,14321,68,"Katie Moss"," 6.5"
"69",441,9413,69,"Michaela Hood"," 6.5"
"70",28600,20104,70,"Mccarley Thomas"," 6.5"
"71",1157,4497,71,"Alley Cutting"," 6.5"
"72",416,22486,72,"Kristina Zalewski"," 6.5"
"73",694,656,73,"Caylan Arnold"," 6.4"
"74",630,12001,74,"Katelyn Linford"," 6.4"
"75",483,10237,75,"Jackie Johnson"," 6.3"
"76",331,11381,76,"Ronnie Ladines"," 6.3"
"77",334,16304,77,"Meagan Prince"," 6.2"
"78",51,18342,78,"Kelsee Selman"," 6.2"
"79",703,22272,79,"Erica Wright"," 6.2"
"80",26172,3113,80,"Liz Carter"," 6.1"
"81",528,4150,81,"Taylor Cotton"," 6.1"
"82",699,17292,82,"Lauren Rodriguez"," 6.1"
"83",253,16477,83,"Dixie Raley"," 6.1"
"84",697,18573,84,"Samantha Show"," 6.1"
"85",149,16456,85,"Taylor Rahach"," 6.0"
"86",739,11624,86,"Brette Lawrence"," 6.0"
"87",518,9762,87,"Shelby Hursh"," 6.0"
"88",96,5546,88,"Kamalani Dung"," 6.0"
"89",366,6918,89,"Preslee Gallaway"," 6.0"
"90",1068,13980,90,"Kiandra Mitchum"," 6.0"
"91",732,5320,91,"Katie Donovan"," 6.0"
"92",446,1301,92,"Amy Begg"," 5.9"
"93",198,6117,93,"Lindsey Fadnek"," 5.9"
"94",202,15625,94,"Mollie Paulick"," 5.9"
"95",632,13237,95,"Amanda Mcdowell"," 5.9"
"96",27,12144,96,"Kenzie Longanecker"," 5.8"
"97",522,12253,97,"Paige Lowary"," 5.8"
"98",2,14937,98,"Hannah Null"," 5.8"
"99",277,9196,99,"Brittany Hitchcock"," 5.8"
"100",28755,16562,100,"Riley Randolph"," 5.8"
