"","team_id","player_id","rank","player","hr"
"1",522,360,1,"Jocelyn Alo",30
"2",472,9485,2,"Kelsey Horton",25
"3",1092,16254,3,"Katie Prebble",23
"4",202,14465,4,"Paige Murphy",22
"5",402,15954,4,"Erika Piancastelli",22
"6",234,21319,6,"Jessie Warren",21
"7",257,5118,6,"Alyssa Dicarlo",21
"8",700,8589,8,"Jessica Hartwell",20
"9",428,11978,8,"Kendyl Lindaman",20
"10",518,16029,8,"Lilli Piper",20
"11",1356,3249,11,"Madison Cathcart",19
"12",603,16354,11,"Krystal Puga",19
"13",706,907,11,"Bailee Baldwin",19
"14",115,13148,11,"Rachel Mccollum",19
"15",430,4664,11,"Mia Davidson",19
"16",29,15418,11,"Alyssa Palomino",19
"17",600,2740,11,"Madison Cabell",19
"18",254,5412,18,"Ivie Drake",18
"19",102,2297,18,"Suzy Brookshire",18
"20",694,7870,18,"Meghan Gregg",18
"21",317,20302,18,"Morgan Tolle",18
"22",29,8460,18,"Jessie Harper",18
"23",115,13201,18,"Lizabeth Mccurry",18
"24",334,3440,18,"Abbey Cheek",18
"25",331,19178,25,"Holly Speers",17
"26",400,4226,25,"Jena Cozza",17
"27",509,11910,25,"Rachel Lewis",17
"28",61,9952,25,"Ryan Jackson",17
"29",529,19711,25,"Gwen Svekis",17
"30",202,3614,25,"Hannah Clark",17
"31",191,5177,31,"Kristi Dimeo",16
"32",101,9489,31,"Savannah Horvath",16
"33",10411,1242,31,"Karla Beasley",16
"34",459,18557,31,"Marisa Sholtes",16
"35",406,19909,31,"Caroline Taylor",16
"36",317,277,31,"Odicci Alexander",16
"37",283,349,31,"Brittany Allocca",16
"38",609,22109,31,"Sadie Wise",16
"39",236,16596,31,"Paige Rauch",16
"40",529,17847,31,"Dj Sanders",16
"41",466,8376,41,"Erika Hansen",15
"42",650,17338,41,"Jessica Rogers",15
"43",545,22543,41,"Giorgiana Zeremenko",15
"44",257,13894,41,"Justice Milz",15
"45",711,19489,41,"Nicole Stockinger",15
"46",43,11944,41,"Danielle Liermann",15
"47",149,4833,41,"Courtney Dean",15
"48",521,14078,41,"Madi sue Montgomery",15
"49",402,3253,41,"Morgan Catron",15
"50",756,5013,41,"Julia Deponte",15
"51",522,15718,41,"Nicole Pendley",15
"52",600,14905,41,"Hayley Norton",15
"53",229,12078,53,"Emily Lochten",14
"54",317,7660,53,"Kate Gordon",14
"55",1157,768,53,"Patricia Awald",14
"56",48,6972,53,"Jade Gandara",14
"57",277,8794,53,"Callee Heen",14
"58",485,12183,53,"Kylee Lopez",14
"59",603,2002,53,"Gretchen Bowie",14
"60",235,5088,53,"Nicole Dewitt",14
"61",709,4467,53,"Bailey Curry",14
"62",47,9277,53,"Janae Hogg",14
"63",697,20943,53,"Tori Vidales",14
"64",419,4489,53,"Lexi Cushing",14
"65",51,13297,53,"Goose Mcglaun",14
"66",115,18865,53,"Caroline Smith",14
"67",236,10329,53,"Skylar Johnston",14
"68",96,13332,53,"Savannah Mchellon",14
"69",202,12066,53,"Destinee Lizzmore",14
"70",648,20772,53,"Alyssa Vanderveer",14
"71",514,10412,71,"Madison Jones",13
"72",8,8848,71,"Bailey Hemphill",13
"73",191,17619,71,"Linda Rush",13
"74",509,14680,71,"Morgan Nelson",13
"75",283,15994,71,"Brielle Pietrafesa",13
"76",1104,7577,71,"Dominique Gonzalez",13
"77",518,13151,71,"Shelby Mccombs",13
"78",236,18448,71,"Madi Shaw",13
"79",83,11168,71,"Meghan Kovac",13
"80",370,22116,71,"Delanie Wisz",13
"81",101,19420,71,"Megan Stevens",13
"82",459,7540,71,"Jordan Gontram",13
"83",196,2650,71,"Meredith Burroughs",13
"84",711,13748,84,"Brook Miko",12
"85",110,10451,84,"Aaliyah Jordan",12
"86",249,3917,84,"Jenna Cone",12
"87",434,17794,84,"Amanda Sanchez",12
"88",72,575,84,"Allison Apke",12
"89",201,13954,84,"Haley Mitchell",12
"90",234,18512,84,"Sydney Sherrill",12
"91",463,5751,84,"Tristen Edwards",12
"92",522,17397,84,"Sydney Romero",12
"93",47,11353,84,"Maddy Labrador",12
"94",311,21934,84,"Sami Williams",12
"95",28,7289,84,"Danielle Gibson",12
"96",99,17526,84,"Taylor Rowland",12
"97",234,7657,84,"Carsyn Gordon",12
"98",758,21022,84,"Ashlyn Visser",12
"99",670,12443,84,"Hailey Mackay",12
"100",29,14381,84,"Dejah Mulipola",12
"101",31,13255,84,"Hannah Mcewen",12
"102",655,7299,84,"Mahalia Gibson",12
"103",756,20093,84,"Kirstyn Thomas",12
"104",519,4787,84,"Alex Day",12
"105",702,22291,84,"Reagan Wright",12
"106",244,1924,84,"Annarose Borrelli",12
"107",370,2316,84,"Alicia Brown",12
"108",48,10588,84,"Mallory Kasinger",12
"109",518,3611,84,"Emily Clark",12
"110",528,2105,84,"Hope Brandner",12
"111",43,12990,84,"Carly Mattson",12
