"","team_id","player_id","rank","player","slg"
"1",331,19178,1,"Holly Speers","1.033"
"2",400,4226,2,"Jena Cozza","0.978"
"3",522,360,3,"Jocelyn Alo","0.977"
"4",1092,16254,4,"Katie Prebble","0.963"
"5",1356,3249,5,"Madison Cathcart","0.954"
"6",472,9485,6,"Kelsey Horton","0.911"
"7",202,14465,7,"Paige Murphy","0.903"
"8",402,15954,8,"Erika Piancastelli","0.899"
"9",700,8589,9,"Jessica Hartwell","0.897"
"10",518,16029,10,"Lilli Piper","0.876"
"11",254,5412,11,"Ivie Drake","0.862"
"12",257,5118,12,"Alyssa Dicarlo","0.850"
"13",191,5177,13,"Kristi Dimeo","0.845"
"14",603,16354,14,"Krystal Puga","0.842"
"15",234,21319,15,"Jessie Warren","0.836"
"16",428,11978,16,"Kendyl Lindaman","0.832"
"17",102,2297,17,"Suzy Brookshire","0.828"
"18",706,907,18,"Bailee Baldwin","0.822"
"19",115,13148,19,"Rachel Mccollum","0.808"
"20",158,20489,20,"Taylor Troutt","0.797"
"21",101,9489,21,"Savannah Horvath","0.781"
"22",667,14467,22,"Sarah Murphy","0.765"
"23",466,8376,23,"Erika Hansen","0.762"
"24",694,7870,24,"Meghan Gregg","0.761"
"25",514,10412,24,"Madison Jones","0.761"
"26",650,17338,26,"Jessica Rogers","0.759"
"27",632,10364,27,"Cortni Jones","0.757"
"28",430,4664,27,"Mia Davidson","0.757"
"29",317,20302,29,"Morgan Tolle","0.755"
"30",509,11910,30,"Rachel Lewis","0.754"
"31",235,12208,31,"Amanda Lorenz","0.753"
"32",317,7660,32,"Kate Gordon","0.750"
"33",10411,1242,32,"Karla Beasley","0.750"
"34",29,15418,32,"Alyssa Palomino","0.750"
"35",711,13748,35,"Brook Miko","0.746"
"36",229,12078,36,"Emily Lochten","0.743"
"37",48,6972,37,"Jade Gandara","0.741"
"38",61,9952,38,"Ryan Jackson","0.734"
"39",459,18557,39,"Marisa Sholtes","0.730"
"40",1157,768,40,"Patricia Awald","0.727"
"41",191,17619,40,"Linda Rush","0.727"
"42",165,1978,40,"Nia Bowe","0.727"
"43",80,22056,43,"Meghan Wimmer","0.724"
"44",8,8848,43,"Bailey Hemphill","0.724"
"45",485,12183,45,"Kylee Lopez","0.723"
"46",711,18240,46,"Kendyl Scott","0.722"
"47",110,10451,47,"Aaliyah Jordan","0.719"
"48",660,18030,48,"Zoe Schafer","0.717"
"49",201,13954,48,"Haley Mitchell","0.717"
"50",149,4833,48,"Courtney Dean","0.717"
"51",416,6546,51,"Lea Foerster","0.715"
"52",508,10358,52,"Cayla Jones","0.714"
"53",545,22543,52,"Giorgiana Zeremenko","0.714"
"54",249,3917,54,"Jenna Cone","0.712"
"55",29,8460,55,"Jessie Harper","0.711"
"56",388,8470,56,"Aly Harrell","0.708"
"57",665,19706,56,"Kiara Suttles","0.708"
"58",603,2002,56,"Gretchen Bowie","0.708"
"59",77,19642,59,"Libby Sugg","0.707"
"60",406,19909,60,"Caroline Taylor","0.706"
"61",277,8794,61,"Callee Heen","0.704"
"62",334,3440,62,"Abbey Cheek","0.701"
"63",609,22109,63,"Sadie Wise","0.700"
"64",600,2740,63,"Madison Cabell","0.700"
"65",72,575,65,"Allison Apke","0.699"
"66",639,4124,66,"Madysen Cossack","0.696"
"67",317,277,67,"Odicci Alexander","0.695"
"68",283,349,68,"Brittany Allocca","0.691"
"69",257,13894,68,"Justice Milz","0.691"
"70",587,8243,70,"Rebecca Hall","0.687"
"71",704,3670,71,"Courtney Clayton","0.686"
"72",43,11944,71,"Danielle Liermann","0.686"
"73",236,16596,73,"Paige Rauch","0.685"
"74",472,2699,73,"Nikki Butler","0.685"
"75",158,7694,73,"Madison Gott","0.685"
"76",115,13201,76,"Lizabeth Mccurry","0.684"
"77",518,13151,77,"Shelby Mccombs","0.683"
"78",534,11397,78,"Sydney Lahners","0.682"
"79",1104,7577,78,"Dominique Gonzalez","0.682"
"80",683,16457,80,"Melissa Rahrich","0.679"
"81",509,14680,81,"Morgan Nelson","0.677"
"82",234,18512,82,"Sydney Sherrill","0.676"
"83",115,18865,82,"Caroline Smith","0.676"
"84",110,14791,84,"Bubba Nickles","0.674"
"85",283,15994,84,"Brielle Pietrafesa","0.674"
"86",66,556,86,"Madison Anthony","0.672"
"87",434,17794,87,"Amanda Sanchez","0.671"
"88",711,19489,87,"Nicole Stockinger","0.671"
"89",419,4489,89,"Lexi Cushing","0.669"
"90",464,15606,90,"Kelly Pattison","0.667"
"91",521,14078,90,"Madi sue Montgomery","0.667"
"92",129,20650,92,"Erika Underwood","0.664"
"93",66,3305,93,"Rebekah Cervantes","0.663"
"94",47,11353,94,"Maddy Labrador","0.661"
"95",529,19711,95,"Gwen Svekis","0.659"
"96",96,6944,96,"Hayleigh Galvan","0.657"
"97",489,5260,97,"Ava Dolan","0.656"
"98",257,6210,98,"Alysen Febrey","0.654"
"99",311,21934,99,"Sami Williams","0.653"
"100",235,5088,100,"Nicole Dewitt","0.652"
"101",180,19384,100,"Anna Steinmetz","0.652"
"102",756,5013,100,"Julia Deponte","0.652"
