"","team_id","player_id","rank","player","opp_avg"
"1",676,42651,1,"Ashley Kriesel",0.12
"2",521,21848,2,"Carrie Eberle",0.14
"3",1320,30122,2,"Jenna Greene",0.14
"4",483,53853,4,"Jordan Moon",0.143
"5",51,66098,5,"Gia Rodoni",0.144
"6",257,2789,6,"Mary wilson Avant",0.147
"7",716,38919,7,"Leanna Johnson",0.148
"8",110,23556,8,"Megan Faraimo",0.151
"9",1395,84696,9,"Jordan Withrow",0.154
"10",703,22305,10,"Miranda Elish",0.155
"11",255,55915,11,"Blake Neleman",0.156
"12",528,49873,12,"Mariah Mazon",0.157
"13",202,59650,13,"Mollie Paulick",0.16
"14",418,4752,14,"Meghan Beaubien",0.163
"15",742,65992,15,"Keely Rochard",0.164
"16",497,78442,16,"Hope Trautwein",0.165
"17",529,85611,17,"Brooke Yanez",0.166
"18",414,80591,17,"Courtney Vierstra",0.166
"19",235,46918,19,"Natalie Lugo",0.167
"20",29,19094,20,"Alyssa Denham",0.168
"21",661,45031,21,"Jennifer Leonhardt",0.169
"22",1092,60457,22,"Brooke Perry",0.171
"23",465,8505,23,"Jenny Bressler",0.172
"24",671,22474,24,"Summer Ellyson",0.173
"25",29,46369,25,"Mariah Lopez",0.174
"26",128,83191,26,"Alea White",0.175
"27",700,22019,26,"Erin Edmoundson",0.175
"28",306,29273,28,"Emily Goodin",0.176
"29",71,29566,28,"Payton Gottshall",0.176
"30",418,75134,30,"Alex Storako",0.178
"31",164,57935,30,"Marybeth Olson",0.178
"32",651,15764,32,"Georgina Corrick",0.181
"33",626,3493,32,"Maggie Balint",0.181
"34",671,41622,32,"Megan Kleist",0.181
"35",316,6163,35,"Alyssa Bilodeau",0.183
"36",112,81689,35,"Robyn Wampler",0.183
"37",630,31299,37,"Shannon Haddad",0.185
"38",428,24513,38,"Amber Fiser",0.186
"39",513,35705,39,"Alexis Holloway",0.188
"40",87,65040,39,"Karli Ricketts",0.188
"41",719,18795,41,"Chenise Delce",0.19
"42",312,20515,42,"Allison Doocy",0.191
"43",1092,47227,43,"Andrea Lyon",0.192
"44",153,53245,43,"Bailey Misken",0.192
"45",96,20301,45,"Hailey Dolcini",0.195
"46",490,56096,46,"Sydney Nester",0.196
"47",404,22349,47,"Chyanne Ellett",0.197
"48",709,37037,47,"Erin Hunt",0.197
"49",678,76882,49,"Chloe Temples",0.198
"50",316,83480,50,"Skylar Whitty",0.199
"51",231,55152,51,"Allison Muraskin",0.2
"52",522,67934,52,"Shannon Saile",0.201
"53",68,21009,53,"Ali Dubois",0.202
"54",28,52402,53,"Cielo Meza",0.202
"55",28600,29951,53,"Megan Gray",0.202
"56",363,3047,53,"Sydney Backstrom",0.202
"57",772,672,57,"Kelsey Aikey",0.203
"58",756,61496,58,"Gabbie Plain",0.204
"59",460,59462,59,"Rylee Pate",0.205
"60",301,71560,59,"Sydney Sickels",0.205
"61",251,19891,61,"London Diller",0.206
"62",193,73990,62,"Peyton St george",0.209
"63",87,29863,63,"Alyssa Graves",0.211
"64",579,80117,63,"Dana Vatakis",0.211
"65",649,28553,63,"Grace Glanzer",0.211
"66",47,39216,66,"Deborah Jones",0.212
"67",299,18246,66,"Morgan Day",0.212
"68",99,83257,68,"Kellie White",0.213
"69",739,63757,68,"Paige Rauch",0.213
"70",508,36458,70,"Jensen Howell",0.215
"71",693,36653,71,"Celie Hudson",0.216
"72",367,65967,71,"Taylor Roby",0.216
"73",1356,72912,73,"Shi Smith",0.218
"74",67,1771,73,"Susannah Anderson",0.218
"75",66,8783,75,"Kelsey Broadus",0.219
"76",439,37630,76,"Alyssa Irons",0.22
"77",26172,46116,76,"Jenika Lombrana",0.22
"78",31,75157,78,"Autumn Storms",0.221
"79",108,40941,78,"Katie Kibby",0.221
"80",169,52839,78,"Kiele Miller",0.221
"81",128,48080,81,"Gianna Mancha",0.222
"82",796,52037,81,"Kaitlyn Menz",0.222
"83",441,35938,81,"Michaela Hood",0.222
"84",28755,44327,81,"Sarah Lawton",0.222
"85",627,33707,85,"Delaney Heller",0.223
"86",694,79039,86,"Callie Turner",0.224
"87",731,78125,86,"Kapri Toone",0.224
"88",732,68449,86,"Sydney Sandez",0.224
"89",9,85069,89,"Amy Woodham",0.226
"90",28755,52222,89,"Marissa Mesiemore",0.226
"91",253,26964,91,"Aaliyah Garcia",0.227
"92",509,83924,92,"Danielle Williams",0.229
"93",30135,80782,92,"Kerisa Viramontes",0.229
"94",312,70868,92,"Lauren Shaw",0.229
"95",459,70035,92,"Morgan Scott",0.229
"96",539,59338,96,"Bailey Parshall",0.23
"97",518,10002,96,"Payton Buresch",0.23
"98",147,10792,96,"Valerie Cagle",0.23
"99",406,10631,99,"Amber Byrd",0.231
"100",115,3810,99,"Georgeanna Barefoot",0.231
"101",466,26108,99,"Kendall Fritz",0.231
"102",27,46197,99,"Kenzie Longanecker",0.231
"103",659,32377,99,"Sarah Harness",0.231
