"","team_id","player_id","rank","player","ip"
"1",2814,31870,1,"Raegen Hamm",106.3
"2",30180,54134,2,"Andrea Morales",95
"3",689,53144,3,"Corynn Miner",94.2
"4",24639,34494,4,"Emily Hess",93.1
"5",30045,10393,5,"Abbey Busby",91
"6",636,43225,6,"Mckenzie Lacount",88.1
"7",628,53216,7,"Natalie Minteer",87.1
"8",12810,86013,8,"Gail Young",87
"9",1085,22357,9,"Katelyn Ellard",86
"10",9011,13082,10,"Hailey Chapman",83
"11",696,12510,11,"Saidi Castillo",82.2
"12",11276,14394,12,"Caroline Cockrell",81.2
"13",1072,36315,13,"Hannah Houge",79
"14",9011,56087,14,"Michaelanne Nelson",78.1
"15",30052,72859,15,"Kylee Smith",78
"16",1012,4103,16,"Deanna Barrera",76.2
"17",93,57315,17,"Kendra O'cull",76.1
"18",230,80386,17,"Tina Velazquez",76.1
"19",30092,28519,19,"Kyra Gipson",76
"20",20794,38140,20,"Allyson Jameston",75.1
"21",98,30214,21,"Abby Greer",73.1
"22",208,21571,22,"Kensley Durrance",72.1
"23",9754,16478,23,"Braelyne Crenshaw",71.1
"24",30220,2756,23,"Paige Austin",71.1
"25",24639,25484,23,"Savannah Foster",71.1
"26",584,71144,26,"Ali Shenefield",71
"27",181,10272,26,"Olivia Burns",71
"28",9013,35027,28,"Kaili Hinds",69.2
"29",233,4623,28,"Kristen Beacham",69.2
"30",30177,25710,28,"Taylor Franco",69.2
"31",436,77839,31,"Andee Tiffee",68.2
"32",49,39063,31,"Sarah Johnson",68.2
"33",584,85346,33,"Ashley Worrell",68.1
"34",30088,68161,33,"Marissa Salinas",68.1
"35",1376,81180,33,"Sydney Wader",68.1
"36",632,24170,36,"Alisyn Ferrell",68
"37",49,32798,37,"Jordanna Hartley",67.3
"38",30054,80410,38,"Anna Veltien",67.2
"39",11416,49724,38,"Shea Mauser",67.2
"40",593,60553,40,"Morgan Perry",67
"41",996,35036,41,"Bethany Hines",66.3
"42",701,79125,42,"Bailey Turner",66.2
"43",9680,37859,42,"Jayla Jackson",66.2
"44",30179,16334,42,"Kali Crandall",66.2
"45",30181,23554,45,"Mckenna Falwell",66.1
"46",230,44274,46,"Jordan Lawlis",66
"47",1448,40044,47,"Anna Kasner",65.1
"48",159,15574,47,"Hannah rose Corbin",65.1
"49",2697,29204,49,"Leah Gonzalez",64.2
"50",1123,8558,49,"Mallory Brewer",64.2
"51",1012,42128,51,"Tia Kohl",64.1
"52",1334,12166,52,"Reagan Carter",64
"53",1167,80859,53,"Ashley Vinson",63.2
"54",1023,12231,54,"Christine Carver",63.1
"55",1346,38732,54,"Staci Johns",63.1
"56",383,81858,56,"Mackenzie Ward",63
"57",1257,17504,56,"Selice Daley",63
"58",9012,2647,58,"Abby Atkin",62.3
"59",30123,3505,59,"Hannah rose Balke",62.2
"60",30202,46221,59,"Katie Long",62.2
"61",8577,29137,61,"Belinda Gonzalez",62.1
"62",2697,1367,61,"Valerie Alvarado",62.1
"63",643,71580,63,"Camie Shumaker",62
"64",30180,34963,63,"M'kayla Hillman",62
"65",507,72962,63,"Rachel Smith",62
"66",510,25746,66,"Shayna Frank",61.2
"67",1071,65258,66,"Sydney Righi",61.2
"68",30051,36848,68,"Emma Hughes",61.1
"69",11740,28255,68,"Grace Gilbert",61.1
"70",1390,80243,68,"Jodie Vaughn",61.1
"71",2696,78331,71,"Malia Torres",61
"72",1015,66932,71,"Mckenna Rose",61
"73",395,11000,73,"Alyssa Callans",60.2
"74",1462,64205,73,"Aubrey Reep",60.2
"75",608,54793,73,"Madi Mott",60.2
"76",30153,18117,73,"Parker Davis",60.2
"77",1071,20153,77,"Kerrigan Dixon",60.1
"78",1328,75249,77,"Lexie Storrer",60.1
"79",1446,49810,77,"Maddie Mayer",60.1
"80",130,60624,77,"Paige Petefish",60.1
"81",30055,27530,81,"Cassie Gasper",59.2
"82",30177,82579,82,"Jordan Wehr",59
"83",1289,52933,83,"Madison Miller",58.3
"84",1238,51338,84,"Mychael Mcmilan",58.2
"85",791,54545,85,"Anastasia Morrison",58.1
"86",1009,65471,85,"Corrina Rivas",58.1
"87",354,17832,85,"Katie David",58.1
"88",92,83677,88,"Ashley Wies",57.3
"89",1013,4476,89,"Danielle Bauer",57.2
"90",11403,66710,89,"Jennifer Romero",57.2
"91",9013,79565,89,"Kelly Uthe",57.2
"92",1167,28947,89,"Liz Gollin",57.2
"93",39,59319,93,"Kelsey Parks",57.1
"94",1009,47244,93,"Kylee Lynch",57.1
"95",30093,28730,95,"Alanna Goble",56.1
"96",2696,44227,95,"Ashley Laver",56.1
"97",309,82135,95,"Hallie Waters",56.1
"98",1098,81884,95,"Tori Ward",56.1
"99",13028,60236,99,"Kayla Pepper",56
"100",30119,46245,100,"Sydney Long",55.3
