"","team_id","player_id","rank","player","k_bb"
"1",110,22677,1,"Megan Faraimo","10.6"
"2",299,17592,2,"Morgan Day"," 6.5"
"3",8,24529,3,"Montana Fouts"," 5.9"
"4",96,19537,4,"Hailey Dolcini"," 5.8"
"5",620,1722,5,"Kierstin Anderson-glass"," 5.6"
"6",418,72125,6,"Alex Storako"," 5.6"
"7",457,58647,7,"Brittany Pickett"," 5.6"
"8",756,59045,8,"Gabbie Plain"," 5.4"
"9",317,943,9,"Odicci Alexander"," 5.4"
"10",249,41966,10,"Sierra Lange"," 5.3"
"11",8,39424,11,"Lexi Kilfoyl"," 5.0"
"12",671,21646,12,"Summer Ellyson"," 5.0"
"13",37,44821,13,"Shelby Lowe"," 4.9"
"14",522,38037,14,"Giselle Juarez"," 4.9"
"15",497,75305,15,"Hope Trautwein"," 4.9"
"16",391,14978,16,"Courtney Coppersmith"," 4.8"
"17",454,76991,17,"Jenna Veber"," 4.7"
"18",651,15206,18,"Georgina Corrick"," 4.6"
"19",414,77364,19,"Courtney Vierstra"," 4.2"
"20",771,11267,20,"Abby Carlin"," 4.2"
"21",147,10412,21,"Valerie Cagle"," 4.2"
"22",694,63730,22,"Ashley Rogers"," 4.1"
"23",529,82203,23,"Brooke Yanez"," 4.1"
"24",742,63357,24,"Keely Rochard"," 4.0"
"25",193,71032,25,"Peyton St george"," 4.0"
"26",234,65656,26,"Kathryn Sandercock"," 4.0"
"27",31,30128,27,"Mary Haff"," 3.9"
"28",600,46750,28,"Rachel Marsden"," 3.9"
"29",683,6680,29,"Dawn Bodrug"," 3.8"
"30",418,4580,30,"Meghan Beaubien"," 3.8"
"31",2699,44946,31,"Lexi Lucas"," 3.7"
"32",30136,79727,32,"Amanda Weyh"," 3.7"
"33",654,64052,33,"Rachel Rook"," 3.6"
"34",521,47724,34,"Kelly Maxwell"," 3.6"
"35",428,57455,35,"Autumn Pease"," 3.6"
"36",71,28437,36,"Payton Gottshall"," 3.6"
"37",739,61209,37,"Paige Rauch"," 3.6"
"38",370,77585,38,"Marina Vitalich"," 3.5"
"39",514,10838,39,"Sydney Campbell"," 3.5"
"40",683,60719,40,"Melissa Rahrich"," 3.5"
"41",110,26088,41,"Rachel Garcia"," 3.5"
"42",236,2614,42,"Madie Aughinbaugh"," 3.5"
"43",659,31134,43,"Sarah Harness"," 3.4"
"44",285,53762,44,"Kelly Nelson"," 3.4"
"45",316,5939,45,"Alyssa Bilodeau"," 3.4"
"46",670,39667,46,"Meagan King"," 3.4"
"47",301,68688,47,"Sydney Sickels"," 3.4"
"48",433,19017,48,"Savannah Diederich"," 3.4"
"49",234,2316,49,"Caylan Arnold"," 3.3"
"50",306,28161,50,"Emily Goodin"," 3.3"
"51",504,56307,51,"Kailyn Packard"," 3.3"
"52",87,62439,52,"Karli Ricketts"," 3.2"
"53",509,80565,53,"Danielle Williams"," 3.1"
"54",414,59805,54,"Brianna Pratt"," 3.1"
"55",312,19746,55,"Allison Doocy"," 3.0"
"56",77,51322,56,"Autumn Moffat-korth"," 3.0"
"57",671,41678,58,"Kandra Lamb"," 3.0"
"58",528,47884,58,"Mariah Mazon"," 3.0"
"59",310,82823,59,"Kara Zazzaro"," 3.0"
"60",716,37407,60,"Leanna Johnson"," 3.0"
"61",439,36158,61,"Alyssa Irons"," 3.0"
"62",454,36576,62,"Hannah James"," 2.9"
"63",14,30657,63,"Wendi Hammond"," 2.9"
"64",249,79083,64,"Faith Weber"," 2.9"
"65",175,9489,65,"Addy Bullis"," 2.9"
"66",508,18070,66,"Emma callie Delafield"," 2.9"
"67",792,78851,67,"Madyson Watson"," 2.9"
"68",1356,70001,68,"Shi Smith"," 2.9"
"69",1004,4607,69,"Kayla Beaver"," 2.8"
"70",352,54545,70,"Gabriella Nori"," 2.8"
"71",2707,34945,71,"Mia Hoveland"," 2.8"
"72",655,83127,72,"Heather Zumo"," 2.8"
"73",459,67241,73,"Morgan Scott"," 2.8"
"74",600,77231,74,"Grace Vesco"," 2.8"
"75",674,76965,75,"Alana Vawter"," 2.7"
"76",416,50612,76,"Ashley Miller"," 2.7"
"77",695,29379,77,"Alexis Groet"," 2.6"
"78",402,73501,78,"Whitney Tate"," 2.6"
"79",68,20221,79,"Ali Dubois"," 2.6"
"80",6,13880,80,"Esperanza Coe"," 2.6"
"81",290,11477,81,"Kianna Carr"," 2.6"
"82",796,67066,82,"Maddie Schwartz"," 2.6"
"83",670,52812,83,"Jessica Mullins"," 2.6"
"84",51,63458,84,"Gia Rodoni"," 2.6"
"85",699,62013,85,"Naomi Reyes"," 2.5"
"86",355,39764,86,"Emily Kirby"," 2.5"
"87",692,9221,87,"Haeli Bryson"," 2.5"
"88",676,80289,88,"Kassidy Wilbur"," 2.5"
"89",626,3377,89,"Maggie Balint"," 2.5"
"90",28755,42572,90,"Sarah Lawton"," 2.5"
"91",487,26328,91,"Megan Garst"," 2.5"
"92",29,7434,92,"Hanah Bowen"," 2.5"
"93",108,8837,93,"Kenedi Brown"," 2.5"
"94",625,3851,95,"Emily Barnett"," 2.5"
"95",649,40190,95,"Tori Kniesche"," 2.5"
"96",430,80809,96,"Annie Willis"," 2.4"
"97",331,42689,97,"Jessica Lebeau"," 2.4"
"98",766,28328,98,"Morgan Goree"," 2.4"
"99",315,63632,99,"Nicole Rodriguez"," 2.4"
"100",1004,37342,100,"Jordan Johnson"," 2.4"
