"","team_id","player_id","rank","player","rc"
"1",522,360,1,"Jocelyn Alo","114.82"
"2",522,10121,2,"Tiare Jennings","103.36"
"3",334,11172,3,"Kayla Kowalik"," 88.18"
"4",311,21933,4,"Sami Williams"," 84.99"
"5",504,2551,5,"Sammey Bunch"," 84.24"
"6",522,8378,6,"Kinzie Hansen"," 78.29"
"7",697,11717,7,"Haley Lee"," 78.14"
"8",414,4432,8,"Allie Cummins"," 76.67"
"9",302,21493,9,"Kayla Wedl"," 69.24"
"10",31,2637,10,"Braxton Burnside"," 68.59"
"11",756,10998,11,"Baylee Klingler"," 67.12"
"12",77,10136,12,"Rylee Jensen"," 66.87"
"13",8,8847,13,"Bailey Hemphill"," 66.50"
"14",521,6209,14,"Alysen Febrey"," 66.10"
"15",709,4986,15,"Dayna Denner"," 65.69"
"16",191,17618,16,"Linda Rush"," 65.52"
"17",355,1620,17,"Amber Bishop"," 64.61"
"18",29,14380,18,"Dejah Mulipola"," 64.00"
"19",249,3916,19,"Jenna Cone"," 63.24"
"20",147,2760,20,"Valerie Cagle"," 62.95"
"21",522,3815,21,"Jayda Coleman"," 62.78"
"22",77,22520,22,"Violet Zavodnik"," 61.20"
"23",472,6108,23,"Matalasi Faapito"," 60.92"
"24",430,11778,24,"Ulufa Leilua"," 59.79"
"25",28,8164,25,"Maddi Hackbarth"," 59.48"
"26",739,16595,26,"Paige Rauch"," 58.96"
"27",235,5678,27,"Charla Echols"," 58.79"
"28",503,10665,28,"Katie Keller"," 58.73"
"29",414,19147,29,"Karli Spaid"," 58.33"
"30",671,2444,30,"Ciara Bryan"," 58.24"
"31",782,13379,31,"Sydney Mckinney"," 58.12"
"32",522,12399,32,"Grace Lyons"," 56.73"
"33",86,166,33,"Anna Aguon"," 56.07"
"34",458,20786,34,"Bailey Vannoy"," 55.56"
"35",311,16522,35,"Mikayla Ramos"," 54.95"
"36",434,21994,36,"Brooke Wilmes"," 54.79"
"37",772,3117,37,"Paige Carter"," 54.12"
"38",600,17680,38,"Mekenzie Saban"," 54.09"
"39",521,2670,39,"Hayley Busby"," 53.90"
"40",441,13312,40,"Maygen Mcgrath"," 53.85"
"41",317,7659,41,"Kate Gordon"," 53.77"
"42",670,20766,42,"Sara Vanderford"," 52.79"
"43",649,3061,43,"Jocelyn Carrillo"," 52.70"
"44",559,1284,44,"Rachel Becker"," 52.69"
"45",676,7702,45,"Shaylon Govan"," 52.24"
"46",782,1025,46,"Addison Barnard"," 52.00"
"47",649,8264,47,"Cylie Halvorson"," 51.92"
"48",648,1815,48,"Mackenzie Boesel"," 51.33"
"49",219,7699,49,"Eryn Gould"," 50.94"
"50",257,6368,50,"Lacey Fincher"," 50.72"
"51",529,4382,51,"Haley Cruse"," 50.71"
"52",299,11826,52,"Mack Leonard"," 50.20"
"53",513,19746,53,"Abby Sweet"," 50.00"
"54",31,7288,53,"Danielle Gibson"," 50.00"
"55",697,9023,55,"Makinzy Herzog"," 49.97"
"56",782,15803,56,"Madison Perrigan"," 49.77"
"57",317,10494,57,"Sara Jubas"," 49.50"
"58",191,5176,58,"Kristi Dimeo"," 49.49"
"59",703,10071,59,"Janae Jefferson"," 49.46"
"60",110,15753,60,"Briana Perez"," 49.37"
"61",769,9716,61,"Bailey Huneycutt"," 49.14"
"62",334,3753,62,"Erin Coffel"," 49.07"
"63",355,1622,63,"Autumn Bishop"," 49.03"
"64",430,4663,64,"Mia Davidson"," 48.86"
"65",521,14567,65,"Kiley Naomi"," 48.75"
"66",667,21696,66,"Josey White"," 48.60"
"67",328,22338,67,"Morgyn Wynne"," 48.59"
"68",434,14121,68,"Hatti Moore"," 48.57"
"69",782,9002,69,"Neleigh Herring"," 48.46"
"70",459,12983,70,"Makenna Matthijs"," 48.44"
"71",255,768,71,"Patricia Awald"," 48.42"
"72",29,15392,72,"Sharlize Palacios"," 48.34"
"73",606,18,73,"Caela Abadie"," 48.29"
"74",193,4702,74,"Deja Davis"," 47.91"
"75",47,8905,75,"Faith Hensley"," 47.83"
"76",97,21748,76,"Kelsie Whitmore"," 47.60"
"77",175,5763,77,"Abby Ehrenborg"," 47.54"
"78",71,13175,78,"Madi Mccoy"," 47.33"
"79",202,13849,79,"Sammi Miller"," 47.21"
"80",716,9469,80,"Kelly Horne"," 46.88"
"81",514,10411,81,"Madison Jones"," 46.83"
"82",30095,9651,82,"Hannah Hughbanks"," 46.75"
"83",563,6407,83,"Sydney Fisher"," 46.55"
"84",703,16858,84,"Shannon Rhodes"," 46.42"
"85",528,8309,85,"Frankie Hammoude"," 46.37"
"86",8,20378,86,"Kaylee Tow"," 46.29"
"87",29,8459,87,"Jessie Harper"," 46.18"
"88",334,34,88,"Renee Abernathy"," 46.17"
"89",490,17068,89,"Angie Rizzi"," 46.16"
"90",756,6510,89,"Morganne Flores"," 46.16"
"91",1157,5129,91,"Brea Dickey"," 46.10"
"92",434,11402,92,"Jenna Laird"," 46.06"
"93",579,9091,93,"Natalie Higgins"," 46.01"
"94",694,13872,94,"Kiki Milloy"," 45.94"
"95",667,2325,95,"Brooke Brown"," 45.91"
"96",367,17215,96,"Taylor Roby"," 45.38"
"97",147,3631,96,"Mckenzie Clark"," 45.38"
"98",774,19771,98,"Mackenzie Swinehart"," 45.15"
"99",756,1164,99,"Sis Bates"," 44.86"
"100",667,18496,100,"Kalena Shepherd"," 44.78"
