"","team_id","player_id","rank","player","k_7"
"1",790,59727,1,"Liz Pautz","11.9"
"2",74,9927,2,"Katie Burawski","11.4"
"3",1438,1497,3,"Makenzie Amend","11.2"
"4",1170,63330,4,"Lauren Rakes","11.1"
"5",3,34596,5,"Lindsey Hibbs","11.0"
"6",13028,49732,6,"Laken Maxwell","10.6"
"7",30202,39312,7,"Kayleigh Jones","10.3"
"8",1098,8426,8,"Holly Brehm","10.2"
"9",95,43949,9,"Brooke Larsen","10.0"
"10",383,81816,10,"Mackenzie Ward","10.0"
"11",30220,2753,11,"Paige Austin"," 9.8"
"12",1266,1735,12,"Meghan Anderson"," 9.7"
"13",197,86276,13,"Katie Zaun"," 9.7"
"14",1348,18907,14,"Carissa Della vecchia"," 9.7"
"15",427,20143,15,"Lauren Dixon"," 9.3"
"16",309,72810,16,"Kenzee Smith"," 9.0"
"17",1057,5906,17,"Kristina Bettis"," 9.0"
"18",130,44368,18,"Kyleigh Lay"," 8.9"
"19",2814,28476,19,"Jaycee Ginter"," 8.9"
"20",30180,54110,20,"Andrea Morales"," 8.8"
"21",510,25733,21,"Shayna Frank"," 8.7"
"22",734,64963,22,"Samantha Richards"," 8.7"
"23",643,1700,23,"Kelsi Anderson"," 8.7"
"24",30058,12936,24,"Bre'zhay Chambers"," 8.6"
"25",533,27054,25,"Gisselle Garcia"," 8.6"
"26",1072,37543,26,"Kaley Ingle"," 8.5"
"27",1438,59517,27,"Annie Paterson"," 8.4"
"28",30221,54926,28,"Ellie Muilenburg"," 8.4"
"29",591,19224,29,"Emily Depew"," 8.4"
"30",280,67633,30,"Joni Russell"," 8.3"
"31",1245,41102,31,"Hannah Killough"," 8.2"
"32",13302,62220,32,"Megan Powell"," 8.2"
"33",2746,31870,33,"Grace Hammer"," 8.2"
"34",11276,61015,34,"Lakyn Phillips"," 8.2"
"35",1126,64440,35,"Ashley Remington"," 8.1"
"36",30177,79625,36,"Maxine Valdez"," 8.1"
"37",30063,67802,37,"Morgan Ryan"," 8.1"
"38",30028,28817,38,"Tatum Goff"," 8.1"
"39",1079,19048,39,"Megan Demler"," 8.0"
"40",206,44751,40,"Brook Leger"," 8.0"
"41",636,48597,41,"Syhia Marks"," 8.0"
"42",1176,26180,42,"Emma Frost"," 7.9"
"43",984,26827,43,"Taylor Galyean"," 7.9"
"44",1274,7354,44,"Sidney Booth"," 7.9"
"45",767,80995,45,"Heidi Vortherms"," 7.8"
"46",8965,32629,46,"Taia Harris"," 7.8"
"47",1376,81839,47,"Sydney Ward"," 7.7"
"48",30202,85922,48,"Aspen Younce"," 7.7"
"49",159,15565,49,"Hannah rose Corbin"," 7.7"
"50",1328,56245,50,"Anna Newcomer"," 7.7"
"51",41,22385,51,"Amber Elliott"," 7.6"
"52",1334,44446,52,"Mckenna Leamon"," 7.6"
"53",436,69082,53,"Annie Scaramuzzi"," 7.5"
"54",262,4752,54,"Hannah Beatus"," 7.5"
"55",1371,81642,55,"Amberlyn Walsworth"," 7.4"
"56",9013,63207,56,"Sydney Rader"," 7.4"
"57",1462,39805,57,"Sydney Kale"," 7.3"
"58",65,73561,58,"Callie Sowers"," 7.2"
"59",12830,68759,59,"Emily Sappington"," 7.2"
"60",507,19714,60,"Breck Dickey"," 7.2"
"61",11416,49702,61,"Shea Mauser"," 7.0"
"62",598,39664,62,"Trinity Junker"," 7.0"
"63",30051,79093,63,"Carly Turner"," 7.0"
"64",11740,76100,64,"Kelsey Sweatt"," 7.0"
"65",1314,32668,65,"Hannah Harrison"," 7.0"
"66",30058,77398,66,"Shaniya Thomas"," 6.9"
"67",1343,45192,67,"Chloe Leverington"," 6.9"
"68",30138,62932,68,"Ellie Quaethem"," 6.9"
"69",9011,22157,69,"Savanah Egger"," 6.8"
"70",1013,4473,70,"Danielle Bauer"," 6.8"
"71",30193,22099,71,"Maddie Edwards"," 6.8"
"72",9630,57480,72,"Abigail O'shields"," 6.8"
"73",9630,36682,73,"Hannah Hudson"," 6.8"
"74",1174,83290,74,"Haley White"," 6.7"
"75",30090,72677,75,"Darrian Smith"," 6.7"
"76",568,32449,76,"Kylie Harpman"," 6.7"
"77",658,60571,77,"Jessica Perucki"," 6.6"
"78",1376,61695,78,"Kiana Pogroszewski"," 6.6"
"79",1460,31009,79,"Kylee Gunkle"," 6.6"
"80",9081,57940,80,"Bryanna Olson"," 6.5"
"81",658,49103,81,"Jazmyn Martinez"," 6.5"
"82",95,57775,82,"Katelyn Oldwin"," 6.5"
"83",3,25165,83,"Claire Fon"," 6.5"
"84",1403,23919,84,"Claire Feldkamp"," 6.5"
"85",70,9737,85,"Evelyn Buehlman"," 6.4"
"86",1222,11107,86,"Kennedy Cameron"," 6.4"
"87",9754,16469,87,"Braelyne Crenshaw"," 6.4"
"88",413,56961,88,"Sarah Norton"," 6.4"
"89",30050,46215,89,"Payton Long"," 6.4"
"90",537,71155,90,"Kinsley Sheppard"," 6.4"
"91",11403,31779,91,"Alexis Hamilton"," 6.3"
"92",638,3510,92,"Alicia Ball"," 6.3"
"93",9004,28305,93,"Mikayla Gilgert"," 6.3"
"94",216,458,94,"Avery Adkins"," 6.3"
"95",584,85303,95,"Ashley Worrell"," 6.3"
"96",1170,4959,96,"Morgan Beeler"," 6.3"
"97",30191,19363,97,"Paityn Desormeaux"," 6.3"
"98",947,9764,98,"Bailey Buffington"," 6.3"
"99",30198,16207,99,"Savannah Coyle"," 6.3"
"100",593,34645,100,"Haile Hicks"," 6.2"
