"","team_id","player_id","rank","player","slg"
"1",420,61067,1,"Noelle Ruschil","1.108"
"2",321,61853,2,"Rylea Sandel","1.009"
"3",24317,16582,3,"Jordan Day","1.000"
"4",622,42845,4,"Abby Mace","0.993"
"5",139,29888,5,"Kaitlyn Hasty","0.976"
"6",8911,44242,6,"Lexi Martin","0.925"
"7",27892,64107,7,"Lyndsey Shaw","0.908"
"8",21,71692,8,"Haley Ullrich","0.895"
"9",22626,24316,9,"Kaelani Gamble","0.884"
"10",215,13835,10,"Olivia Conti","0.868"
"11",218,54062,11,"Raelyn Payne","0.860"
"12",58,57034,12,"Carly Quint","0.843"
"13",727,62302,13,"Karson Saunders","0.840"
"14",30111,36335,13,"Lauren Kay","0.840"
"15",30044,64606,15,"Arizona Shreck","0.838"
"16",496,1946,16,"Alyssa Aragon","0.833"
"17",1297,45980,17,"Erin Mcgrath","0.830"
"18",30040,29095,17,"Jordan Hansen","0.830"
"19",2798,25146,19,"Ivy Geloso","0.829"
"20",601,37765,20,"Allie Klonowski","0.828"
"21",1036,56308,21,"Jess Pozezinski","0.827"
"22",567,1007,22,"Collette Allen","0.824"
"23",966,66340,23,"Megan Sooy","0.823"
"24",11036,53396,24,"Arianna Papas","0.819"
"25",1050,33141,25,"Kalin Hubble","0.816"
"26",467,60555,26,"Daelyn Ross","0.811"
"27",382,41137,27,"Giovanna Liggett","0.806"
"28",23260,71337,27,"Jessica Tucker","0.806"
"29",30064,25802,27,"Abbey Ginter","0.806"
"30",344,37663,30,"Josie Klein","0.798"
"31",22626,56791,31,"Jill Pulek","0.793"
"32",745,65194,32,"Julia Sinnett","0.791"
"33",496,43409,33,"Alyssa Malicki","0.789"
"34",793,44507,33,"Megan Maruna","0.789"
"35",75,76354,35,"Sarah Wimer","0.786"
"36",789,37459,36,"Mara Kipnis","0.785"
"37",200,44885,37,"Brooke Matyasovsky","0.782"
"38",30044,19317,38,"Susan Duncan","0.778"
"39",973,23787,39,"Morgan Frye","0.776"
"40",595,66665,40,"Gabby Spencer","0.773"
"41",1112,57704,41,"Caitlyn Ray","0.771"
"42",1062,15466,42,"Tauryn Cummings","0.769"
"43",722,17713,43,"Mariah Dewey","0.768"
"44",2810,64963,44,"Jaelyn Simmons","0.756"
"45",642,75299,45,"Megan White","0.750"
"46",28749,77285,45,"Stella Wulker","0.750"
"47",750,41320,47,"Ella Link","0.748"
"48",686,45366,48,"Olivia Mcclammy","0.747"
"49",139,56629,49,"Sarah Proctor","0.738"
"50",2798,67535,49,"Jess Stettinger","0.738"
"51",530,47058,51,"Zoe Mennig","0.737"
"52",589,39698,51,"Jackie Lara","0.737"
"53",296,21537,53,"Megan Fast","0.735"
"54",585,39529,53,"Nicole Lang","0.735"
"55",263,64968,55,"Kassie Simmons","0.733"
"56",20,36954,56,"Reilly Kerr","0.730"
"57",160,55344,56,"Becky Pieroni","0.730"
"58",168,9659,56,"Lizzy Byers","0.730"
"59",1133,18648,59,"Kenzie Dore","0.729"
"60",973,34215,60,"Anna Jackson","0.727"
"61",151,75630,61,"Chloe Wilcox","0.723"
"62",582,14691,61,"Emily Cox","0.723"
"63",30072,29752,63,"Ashleigh Hartwig","0.722"
"64",211,15047,64,"Kadyn Crisswell","0.720"
"65",23260,72594,64,"Bella Velez","0.720"
"66",1332,76335,66,"Theresa Wilsterman","0.719"
"67",23260,43801,66,"Grayce Marcum","0.719"
"68",16142,57892,68,"Kaitlin Redling","0.718"
"69",1064,283,69,"Aurora Adams","0.717"
"70",30035,36733,69,"Liz Kemp","0.717"
"71",565,4085,71,"Rilee Baughan","0.716"
"72",42,57731,72,"Lexi Rayborn","0.714"
"73",30047,48391,73,"Paige Mokychic","0.713"
"74",264,12432,74,"Samantha Chu","0.712"
"75",22626,28144,74,"Meaghan Gurska","0.712"
"76",622,76399,76,"Lindsey Windsor","0.711"
"77",1036,71859,77,"Claudia Utz","0.710"
"78",276,44011,78,"Abby Marquis","0.708"
"79",549,73259,79,"Devin Waddell","0.706"
"80",567,26684,79,"Tyesen Gordon","0.706"
"81",1050,59441,79,"Marissa Roberts","0.706"
"82",297,50936,82,"Emma Newton","0.705"
"83",443,25034,83,"Lindsey Gawrys","0.704"
"84",452,30307,83,"Grace Heath","0.704"
"85",452,60452,83,"Alyssa Rose","0.704"
"86",1064,7493,83,"Taylor Brandt","0.704"
"87",1094,70573,87,"Sharon Tomei","0.701"
"88",526,63739,88,"Julia Serena","0.700"
"89",114,19441,89,"Sydney Duong","0.699"
"90",14795,71001,90,"Riley Tremblay","0.698"
"91",640,60823,91,"Jordyn Rubin","0.697"
"92",443,64838,92,"Emily Silberman","0.696"
"93",1094,23117,93,"Claire Fountain","0.695"
"94",227,27042,94,"Molly Grass","0.693"
"95",30197,26647,94,"Allie Gordon","0.693"
"96",1111,7181,96,"Mia Boyd","0.692"
"97",30081,58139,96,"Steph Reider","0.692"
"98",409,18903,98,"Alyssa Drake","0.689"
"99",1255,48001,99,"Abby Miner","0.688"
"100",775,17828,100,"Dina Diblasio","0.687"
"101",987,287,100,"Bobbi Adams","0.687"
