"","team_id","player_id","rank","player","era"
"1",651,4102,1,"Georgina Corrick",0.517
"2",391,4056,2,"Courtney Coppersmith",0.784
"3",522,835,3,"Jordyn Bahl",0.995
"4",391,12969,4,"Kya Matter",1.009
"5",464,13696,5,"Kamryn Meyer",1.134
"6",454,10003,6,"Hannah James",1.153
"7",454,20853,7,"Jenna Veber",1.261
"8",521,13013,8,"Kelly Maxwell",1.272
"9",68,1790,9,"Allison Boaz",1.42
"10",2711,3660,10,"Morgan Clausen",1.438
"11",234,17837,11,"Kathryn Sandercock",1.441
"12",649,11034,12,"Tori Kniesche",1.462
"13",669,5129,13,"Steffany Dickerson",1.482
"14",370,15763,14,"Jenna Perez",1.483
"15",77,14004,15,"Autumn Moffat-korth",1.494
"16",128,12582,16,"Gianna Mancha",1.582
"17",110,786,17,"Holly Azevedo",1.607
"18",147,20171,18,"Millie Thompson",1.611
"19",742,17222,19,"Keely Rochard",1.634
"20",10411,10685,19,"Alyssa Kelly",1.634
"21",528,13059,21,"Mariah Mazon",1.653
"22",465,2181,22,"Jenny Bressler",1.654
"23",1320,9031,23,"Morgan Hess",1.656
"24",368,21717,24,"Ryley White",1.678
"25",539,15543,25,"Bailey Parshall",1.681
"26",363,813,26,"Sydney Backstrom",1.682
"27",10411,9512,27,"Hannah Houge",1.683
"28",37,15732,28,"Maddie Penta",1.687
"29",71,7697,29,"Payton Gottshall",1.703
"30",418,19528,30,"Alex Storako",1.712
"31",504,15353,31,"Kailyn Packard",1.732
"32",674,11202,32,"Regan Krause",1.739
"33",772,14956,33,"Shelby Nunn",1.75
"34",115,997,33,"Georgeanna Barefoot",1.75
"35",108,2361,35,"Kenedi Brown",1.768
"36",147,2761,36,"Valerie Cagle",1.776
"37",670,14399,37,"Jessica Mullins",1.787
"38",416,13786,38,"Ashley Miller",1.81
"39",528,8179,39,"Sarah Haendiges",1.812
"40",649,7412,40,"Grace Glanzer",1.854
"41",625,14720,41,"Mckenzie Newcomb",1.858
"42",509,21878,42,"Danielle Williams",1.859
"43",402,20725,43,"Ashley Vallejo",1.867
"44",115,18901,44,"Isabella Smith",1.87
"45",671,18135,45,"Meghan Schorman",1.872
"46",1320,7844,46,"Jenna Greene",1.88
"47",446,9732,47,"Anaya Hunte",1.909
"48",112,3288,48,"Jada Cecil",1.913
"49",463,6305,48,"Olivia Ferrell",1.913
"50",674,20844,50,"Alana Vawter",1.915
"51",2711,617,51,"Halle Arends",1.937
"52",87,7758,52,"Alyssa Graves",1.952
"53",193,22274,53,"Jala Wright",1.963
"54",392,22321,54,"Courtney Wyche",1.971
"55",128,22192,55,"Kama Woodall",1.978
"56",110,6159,56,"Megan Faraimo",1.984
"57",671,11422,57,"Kandra Lamb",1.994
"58",683,1808,58,"Dawn Bodrug",1.998
"59",742,11795,58,"Emma Lemley",1.998
"60",116,7316,60,"Megan Giese",2.013
"61",460,8302,61,"Kara Hammock",2.017
"62",817,9569,62,"Sophie Howell",2.022
"63",646,11370,63,"Olivia Lackie",2.024
"64",600,20912,64,"Grace Vesco",2.032
"65",756,16064,65,"Gabbie Plain",2.046
"66",14927,19674,66,"Emma Summers",2.062
"67",1356,12468,67,"Stefanie Madrigal",2.067
"68",68,759,68,"Lizzy Avery",2.072
"69",550,7900,69,"Olivia Grey",2.089
"70",774,6939,70,"Reily Galloway",2.096
"71",8,6627,71,"Montana Fouts",2.1
"72",460,22091,72,"Emily Winstead",2.105
"73",175,8083,73,"Kelsey Gumm",2.106
"74",1356,14565,74,"Carley Nance",2.107
"75",626,913,75,"Maggie Balint",2.119
"76",277,12169,76,"Brianna Lopez",2.123
"77",31,4919,76,"Chenise Delce",2.123
"78",301,18599,78,"Sydney Sickels",2.128
"79",77,19984,79,"Chloe Temples",2.13
"80",355,10930,80,"Emily Kirby",2.143
"81",30135,619,81,"Alyssa Argomaniz",2.145
"82",671,11470,82,"Sam Landry",2.148
"83",1004,1260,83,"Kayla Beaver",2.15
"84",28,12184,84,"Lindsay Lopez",2.152
"85",716,10272,85,"Leanna Johnson",2.171
"86",493,20802,86,"Paige Vargas",2.206
"87",497,15843,87,"Ashley Peters",2.211
"88",758,8854,88,"Arissa Henderson",2.216
"89",514,2877,89,"Sydney Campbell",2.219
"90",87,16944,90,"Karli Ricketts",2.227
"91",554,11599,91,"Alexis Laudenslager",2.248
"92",485,17157,92,"Alexis Robinson",2.252
"93",695,7976,93,"Alexis Groet",2.256
"94",450,1452,94,"Amanda Berkley",2.257
"95",310,22524,95,"Kara Zazzaro",2.258
"96",285,14667,96,"Kelly Nelson",2.266
"97",1014,13098,96,"Carli Mccants",2.266
"98",739,16596,98,"Paige Rauch",2.267
"99",459,18249,99,"Morgan Scott",2.277
"100",222,17973,100,"Alayna Savaglio",2.279
