"","team_id","player_id","rank","player","so"
"1",651,4102,1,"Georgina Corrick",409
"2",71,7697,2,"Payton Gottshall",370
"3",742,17222,3,"Keely Rochard",326
"4",509,21878,4,"Danielle Williams",323
"5",418,19528,5,"Alex Storako",300
"6",521,13013,5,"Kelly Maxwell",300
"7",388,14696,7,"Sydney Nester",294
"8",10411,9512,8,"Hannah Houge",292
"9",363,813,9,"Sydney Backstrom",287
"10",464,13696,9,"Kamryn Meyer",287
"11",459,18249,11,"Morgan Scott",286
"12",683,1808,12,"Dawn Bodrug",282
"13",110,6159,13,"Megan Faraimo",281
"14",8,6627,14,"Montana Fouts",275
"15",518,8337,15,"Lexie Handley",271
"16",37,15732,16,"Maddie Penta",269
"17",774,6939,17,"Reily Galloway",267
"18",626,913,18,"Maggie Balint",266
"19",649,11034,19,"Tori Kniesche",255
"20",670,14399,20,"Jessica Mullins",247
"21",416,13786,21,"Ashley Miller",244
"22",716,10272,22,"Leanna Johnson",242
"23",676,21800,23,"Kassidy Wilbur",237
"24",454,10003,24,"Hannah James",234
"25",310,22524,25,"Kara Zazzaro",232
"26",285,14667,26,"Kelly Nelson",228
"27",817,2520,27,"Elle Buffenbarger",224
"28",108,2361,27,"Kenedi Brown",224
"29",249,11498,29,"Sierra Lange",223
"30",528,13059,30,"Mariah Mazon",221
"31",654,17414,30,"Rachel Rook",221
"32",112,3288,32,"Jada Cecil",219
"33",391,4056,32,"Courtney Coppersmith",219
"34",465,2181,34,"Jenny Bressler",216
"35",550,7900,35,"Olivia Grey",214
"36",703,5263,36,"Hailey Dolcini",212
"37",255,14653,36,"Blake Neleman",212
"38",539,15543,38,"Bailey Parshall",211
"39",756,16064,39,"Gabbie Plain",210
"40",742,11795,40,"Emma Lemley",209
"41",646,11370,41,"Olivia Lackie",208
"42",1320,7844,42,"Jenna Greene",201
"43",504,15353,43,"Kailyn Packard",198
"44",301,18599,43,"Sydney Sickels",198
"45",370,15763,45,"Jenna Perez",195
"46",111,9105,46,"Chrys Hildebrand",194
"47",68,759,47,"Lizzy Avery",191
"48",522,835,48,"Jordyn Bahl",189
"49",222,17973,49,"Alayna Savaglio",188
"50",31,4919,49,"Chenise Delce",188
"51",1004,10246,51,"Jordan Johnson",185
"52",434,11219,51,"Laurin Krings",185
"53",257,10777,53,"Madison Kerpics",184
"54",671,18135,54,"Meghan Schorman",183
"55",587,20935,55,"Jaden Vickers",181
"56",219,20920,56,"Izzy Vetter",180
"57",164,19062,56,"Elise Sokolsky",180
"58",128,12582,58,"Gianna Mancha",178
"59",116,7316,59,"Megan Giese",177
"60",460,22091,59,"Emily Winstead",177
"61",391,12969,59,"Kya Matter",177
"62",147,2761,62,"Valerie Cagle",175
"63",508,9437,62,"Sage Hoover",175
"64",669,5129,64,"Steffany Dickerson",172
"65",556,7938,64,"Tori Grifone",172
"66",1157,1412,66,"Melanie Bennett",171
"67",414,16247,67,"Brianna Pratt",170
"68",102,1489,68,"Marissa Bertuccio",168
"69",414,20950,68,"Courtney Vierstra",168
"70",739,16596,70,"Paige Rauch",167
"71",371,15737,71,"Peyton Pepkowski",166
"72",514,2877,72,"Sydney Campbell",164
"73",2678,7833,72,"Sydney Green",164
"74",294,16466,74,"Haley Rainey",163
"75",674,20844,75,"Alana Vawter",162
"76",600,20912,75,"Grace Vesco",162
"77",505,9076,75,"Lauryn Hicks",162
"78",664,11781,78,"Morgan Leinstock",161
"79",234,17837,79,"Kathryn Sandercock",159
"80",115,18901,79,"Isabella Smith",159
"81",719,16093,81,"Samantha Pochop",158
"82",428,15669,82,"Autumn Pease",157
"83",2711,617,82,"Halle Arends",157
"84",1004,1260,84,"Kayla Beaver",156
"85",129,11775,84,"Grace Lehto",156
"86",463,6305,84,"Olivia Ferrell",156
"87",473,12011,84,"Amber Linton",156
"88",497,15843,88,"Ashley Peters",155
"89",97,19702,89,"Myka Sutherlin",154
"90",87,16944,90,"Karli Ricketts",153
"91",493,20802,91,"Paige Vargas",152
"92",31,8180,91,"Mary Haff",152
"93",2699,2461,91,"Madison Bryant",152
"94",671,11422,91,"Kandra Lamb",152
"95",48,10506,95,"Annah Junge",151
"96",769,16875,95,"Savannah Rice",151
"97",590,11656,95,"Sarah Lawton",151
"98",659,8454,98,"Sarah Harness",149
"99",115,997,98,"Georgeanna Barefoot",149
"100",554,1714,100,"Ali Blanchard",148
