"","team_id","player_id","rank","player","xbh"
"1",522,360,1,"Jocelyn Alo",44
"2",782,1025,2,"Addison Barnard",40
"3",414,19148,2,"Karli Spaid",40
"4",756,10999,4,"Baylee Klingler",39
"5",458,20787,4,"Bailey Vannoy",39
"6",367,7858,4,"Carmyn Greenwood",39
"7",129,19370,7,"Shannon Stein",37
"8",454,2136,8,"Logan Braundmeier",36
"9",28,17846,9,"Cydney Sanders",35
"10",522,10122,9,"Tiare Jennings",35
"11",110,15754,9,"Briana Perez",35
"12",28,71,12,"Yannira Acuna",34
"13",77,22521,12,"Violet Zavodnik",34
"14",31,7289,12,"Danielle Gibson",34
"15",539,11312,12,"Ally Kurland",34
"16",626,971,16,"Mac Barbara",33
"17",29,18266,16,"Carlie Scupin",33
"18",305,15865,16,"Bella Peterson",33
"19",128,3746,16,"Jada Cody",33
"20",487,19508,16,"Harley Stokes",33
"21",703,10072,16,"Janae Jefferson",33
"22",255,10604,16,"Emma Kauf",33
"23",509,11910,23,"Rachel Lewis",32
"24",306,1140,23,"Cora Bassett",32
"25",193,10612,23,"Jameson Kavel",32
"26",201,4258,23,"Hannah Cravens",32
"27",355,9609,23,"Caroline Hudson",32
"28",430,4664,28,"Mia Davidson",31
"29",522,12400,28,"Grace Lyons",31
"30",26172,5756,28,"Pal Egan",31
"31",1395,2936,28,"Georgia Capell",31
"32",1157,3248,28,"Taylor Cates",31
"33",388,19429,28,"Mya Stevenson",31
"34",28,20344,28,"Alynah Torres",31
"35",505,13369,28,"Kendyl Mckeough",31
"36",697,11718,36,"Haley Lee",30
"37",1320,9031,36,"Morgan Hess",30
"38",43,15263,36,"Lexi Osowski-anderson",30
"39",600,17681,36,"Mekenzie Saban",30
"40",473,9537,40,"Andrea Howard",29
"41",782,13380,40,"Sydney Mckinney",29
"42",334,3754,40,"Erin Coffel",29
"43",503,10666,40,"Katie Keller",29
"44",176,10213,40,"Brooke Johnson",29
"45",388,16383,40,"Saige Pye",29
"46",37,5831,40,"Bri Ellis",29
"47",671,11163,40,"Stormy Kotzelnick",29
"48",418,2607,40,"Kristina Burkhardt",29
"49",29,18758,49,"Allie Skaggs",28
"50",257,14315,49,"Sara Mosley",28
"51",31,18601,49,"Kb Sides",28
"52",518,8168,49,"Sam Hackenbracht",28
"53",428,4983,49,"Natalie Denhartog",28
"54",463,520,49,"Billie Andrews",28
"55",66,11419,49,"Kelsey Lalor",28
"56",625,19969,49,"Mk Tedder",28
"57",31,5850,49,"Taylor Ellsworth",28
"58",694,13873,49,"Kiki Milloy",28
"59",110,2088,49,"Maya Brady",28
"60",414,4433,49,"Allie Cummins",28
"61",365,16073,49,"Taylor Pleasants",28
"62",459,12984,49,"Makenna Matthijs",28
"63",47,8906,63,"Faith Hensley",27
"64",31,12559,63,"Linnie Malkin",27
"65",31,6966,63,"Hannah Gammill",27
"66",314,19450,63,"Lauren Stewart",27
"67",257,6369,63,"Lacey Fincher",27
"68",563,13425,63,"Cori Mcmillan",27
"69",454,15254,63,"Gracie Osbron",27
"70",782,10446,63,"Zoe Jones",27
"71",463,22376,63,"Camryn Ybarra",27
"72",703,9821,63,"Mary Iakopo",27
"73",756,9774,63,"Madison Huskey",27
"74",504,21550,74,"Emmy Wells",26
"75",255,768,74,"Patricia Awald",26
"76",110,22116,74,"Delanie Wisz",26
"77",28755,4692,74,"Cana Davis",26
"78",646,15240,74,"Victoria Ortiz",26
"79",257,11300,74,"Sydney Kuma",26
"80",294,2925,74,"Angelica Cano",26
"81",37,15743,74,"Nelia Peralta",26
"82",414,11064,74,"Kate Kobayashi",26
"83",234,8411,74,"Kalei Harding",26
"84",648,16254,74,"Katie Prebble",26
"85",315,6609,74,"Megan Fortner",26
"86",513,7146,86,"Karina Gaskins",25
"87",317,18526,86,"Hannah Shifflett",25
"88",102,4795,86,"Lewa Day",25
"89",235,21206,86,"Skylar Wallace",25
"90",731,15204,86,"Lexi Orozco",25
"91",29,15393,86,"Sharlize Palacios",25
"92",487,2246,86,"Emma Broadfoot",25
"93",758,2834,86,"Chloe Camarero",25
"94",365,3613,86,"Georgia Clark",25
"95",234,18512,86,"Sydney Sherrill",25
"96",29,15348,86,"Izzy Pacho",25
"97",147,3632,86,"Mckenzie Clark",25
"98",513,8355,86,"Leea Hanks",25
"99",649,8265,86,"Cylie Halvorson",25
"100",459,7540,86,"Jordan Gontram",25
"101",731,10161,86,"Gabriella Jimenez",25
"102",739,10770,86,"Megan Kern",25
"103",459,12099,86,"Grace Loftin",25
"104",97,14422,86,"Daisy Munoz",25
"105",201,13775,86,"Lindy Milkowski",25
"106",68,3777,86,"Caitlin Coker",25
"107",694,16363,86,"Zaida Puni",25
"108",655,10273,86,"Lexi Johnson",25
