"","team_id","player_id","rank","player","hr_a"
"1",817,9569,1,"Sophie Howell",2
"2",1014,11794,1,"Payton Lemire",2
"3",639,5772,1,"Alissa Eimont",2
"4",47,17644,1,"Angelina Russo",2
"5",285,22468,5,"Megan Yurchick",3
"6",639,6428,5,"Ava Fitzmaurice",3
"7",562,7586,5,"Jaclyn Gonzalez",3
"8",270,6071,5,"Jada Evans",3
"9",610,20827,5,"Odhi Vasquez",3
"10",97,16466,5,"Haley Rainey",3
"11",236,1297,5,"Holly Beeman",3
"12",402,19882,12,"Whitney Tate",4
"13",600,20912,12,"Grace Vesco",4
"14",600,12739,12,"Rachel Marsden",4
"15",108,2361,12,"Kenedi Brown",4
"16",630,20631,12,"Jenessa Ullegue",4
"17",201,16282,12,"Olivia Price",4
"18",392,18082,12,"Trinity Schlotterbeck",4
"19",367,17216,12,"Taylor Roby",4
"20",695,5428,12,"Katie Dreiling",4
"21",655,1717,12,"Cera Blanchard",4
"22",771,16278,12,"Emily Price",4
"23",6,18250,12,"Paige Scott",4
"24",494,229,12,"Jackie Albrecht",4
"25",2699,2461,12,"Madison Bryant",4
"26",17,20852,12,"Alexa Veamoi",4
"27",459,10427,12,"Rhyann Jones",4
"28",1004,1260,28,"Kayla Beaver",5
"29",97,19702,28,"Myka Sutherlin",5
"30",650,5724,28,"Clara Edwards",5
"31",180,22058,28,"Emily Winburn",5
"32",579,20832,28,"Dana Vatakis",5
"33",572,12392,28,"Liz Lynchard",5
"34",796,18199,28,"Maddie Schwartz",5
"35",128,10154,28,"Grace Jewell",5
"36",371,2272,28,"Andie Broniewicz",5
"37",94,17800,28,"Brianna Sanchez",5
"38",782,144,28,"Alex Aguilar",5
"39",287,19730,28,"Lyndie Swanson",5
"40",485,17157,28,"Alexis Robinson",5
"41",625,15551,28,"Jordyn Partain",5
"42",460,8302,28,"Kara Hammock",5
"43",627,5648,28,"Madison Earnshaw",5
"44",676,19976,28,"Alexis Telford",5
"45",164,10921,28,"Payton Kinney",5
"46",277,12169,46,"Brianna Lopez",6
"47",489,4717,46,"Jaden Davis",6
"48",299,17471,46,"Hannah Ross",6
"49",606,18632,46,"Emily Siler",6
"50",7,7851,46,"Bailey Greenlee",6
"51",128,21988,46,"Sarah Willis",6
"52",352,9025,46,"Chloe Hess",6
"53",102,1489,46,"Marissa Bertuccio",6
"54",590,11179,46,"Sam Kowalski",6
"55",521,10837,46,"Lexi Kilfoyl",6
"56",522,835,46,"Jordyn Bahl",6
"57",483,22402,46,"Molly Yoo",6
"58",450,14703,46,"Avery Neuhart",6
"59",355,806,46,"Paige Bachman",6
"60",1320,9031,46,"Morgan Hess",6
"61",380,16981,46,"Alysen Rieth",6
"62",624,8076,46,"Emma Guindon",6
"63",416,13786,46,"Ashley Miller",6
"64",539,12002,46,"Kylee Lingenfelter",6
"65",287,10021,46,"Katy Janes",6
"66",220,11985,46,"Sam Lindsay",6
"67",220,2206,46,"Allie Bridgman",6
"68",596,12027,46,"Elizabeth Lis",6
"69",703,8117,46,"Citlaly Gutierrez",6
"70",201,10606,46,"Rachel Kaufman",6
"71",363,10550,46,"Reagen Kanagawa",6
"72",361,2500,46,"Kira Buckner",6
"73",10411,10685,73,"Alyssa Kelly",7
"74",464,13696,73,"Kamryn Meyer",7
"75",68,1790,73,"Allison Boaz",7
"76",454,10003,73,"Hannah James",7
"77",748,8595,73,"Eve Harvey",7
"78",646,8422,73,"Jenna Hardy",7
"79",87,7951,73,"Mackenzie Griman",7
"80",111,8820,73,"Maddie Heinlin",7
"81",305,1390,73,"Lexi Benko",7
"82",257,10777,73,"Madison Kerpics",7
"83",112,3288,73,"Jada Cecil",7
"84",410,13717,73,"Bry Michitson",7
"85",554,11599,73,"Alexis Laudenslager",7
"86",439,10787,73,"Billie Kerwood",7
"87",2678,7833,73,"Sydney Green",7
"88",391,12969,73,"Kya Matter",7
"89",180,22304,73,"Taylor Wroten",7
"90",487,5981,73,"Elena Escobar",7
"91",771,17314,73,"Savannah Rodriguez",7
"92",244,2715,73,"Emme Buzhardt",7
"93",504,15353,73,"Kailyn Packard",7
"94",794,947,73,"Brittany Baneck",7
"95",30095,5270,73,"Kate Dolinski",7
"96",253,9311,73,"Bailey Holland",7
"97",316,8608,73,"Ashlee Harwood",7
"98",522,13021,73,"Nicole May",7
"99",433,16998,73,"Catelyn Riley",7
"100",509,2027,73,"Lauren Boyd",7
"101",96,14651,73,"Serayah Neiss",7
