"","team_id","player_id","rank","player","h"
"1",1170,48024,1,"Julia Mardigian",102
"2",30138,32292,2,"Lauren Harris",91
"3",638,55045,3,"Taylor Myers",88
"4",1013,66299,3,"Hannah Rose",88
"5",30093,4558,3,"Chloe Baynes",88
"6",307,60730,6,"Madison Pikula",87
"7",1314,2368,7,"Heather Arnett",83
"8",9081,53393,8,"Alexis Monty",82
"9",30028,61074,9,"Courtney Plocheck",81
"10",1176,80182,10,"Reese Vivrette",80
"11",9223,6412,10,"Emily Blackwell",80
"12",309,56760,12,"Emily O'connor",77
"13",1170,62625,13,"Katelyn Rackard",76
"14",413,65059,14,"Shelby Robb",74
"15",638,48397,14,"Caitlyn Martell",74
"16",2720,14437,14,"Caitlyn Cole",74
"17",10,32994,17,"Lawren Hayes",73
"18",1000,36546,17,"Macey Hughes",73
"19",1000,21478,17,"Hayden Dye",73
"20",30002,5346,17,"Anna Bennett",73
"21",30193,39142,17,"Lexi Jordan",73
"22",423,1900,22,"Aleese Angelo",72
"23",765,51475,22,"Madison Melvin",72
"24",11416,2450,22,"Myah Arrieta",72
"25",65,16821,25,"Isabella Culp",71
"26",307,78113,25,"Paige Truax",71
"27",309,10964,25,"Jocelyn Calvin",71
"28",1170,81251,25,"Lani Warren",71
"29",11403,52098,25,"Kayla Middleton",71
"30",10,20532,30,"Alexa Douthitt",69
"31",309,55929,30,"Megan Nichols",69
"32",1028,73434,30,"Kylee Stacy",69
"33",1403,51600,30,"Reagan Mengerink",69
"34",9004,74943,30,"Kaitlyn Stufft",69
"35",30093,25498,30,"Haley ann Frank",69
"36",92,66409,36,"Jay Ross",68
"37",507,24146,36,"Lillie Filger",68
"38",767,66798,36,"Brittni Rufus",68
"39",1448,1845,36,"Maleah Andrews",68
"40",354,26963,40,"Delaney Garden",67
"41",437,36586,40,"Chrissie Huhn",67
"42",995,80274,40,"Grace Vondracek",67
"43",1013,1874,40,"Isabella Andujar",67
"44",1170,80749,40,"Cassidy Wall",67
"45",1314,10116,40,"Hannah Burnett",67
"46",2755,52080,40,"Angelina Micone",67
"47",12830,71991,40,"Brooke Smith",67
"48",30002,1838,40,"Kendall Andrews",67
"49",30028,69037,40,"Sam Schott",67
"50",41,16775,50,"Desi Cuevas",66
"51",360,29012,50,"Delaney Good",66
"52",1116,31463,50,"Macy Ham",66
"53",19117,12951,50,"Sierra Chapa",66
"54",93,26537,54,"Shannon Galliano",65
"55",309,15221,54,"Shelby Cook",65
"56",1000,3202,54,"Macauley Bailey",65
"57",12830,71892,54,"Claire Smeltzer",65
"58",30092,74229,54,"Sydney Stewart",65
"59",10,33562,59,"Jada Henderson",64
"60",307,31171,59,"Jaycee Haidze",64
"61",307,30124,59,"Madison Griffin",64
"62",413,32570,59,"Miah Hartvigsen",64
"63",767,29548,59,"Lauren Granger",64
"64",1245,22360,59,"Kylie Emanuele",64
"65",1314,33005,59,"Paxtyn Hayes",64
"66",30063,29538,59,"Nina Grandey",64
"67",65,81835,67,"Sage Weidlich",63
"68",197,79858,67,"Reilly Vicendese",63
"69",429,42908,67,"Jordan Lafosse",63
"70",598,35588,67,"Reese Holzhueter",63
"71",1257,8799,67,"Sierra Brogdon",63
"72",1257,83747,67,"Vanessa Wilson",63
"73",1448,63198,67,"Hailey Rath",63
"74",15646,48933,67,"Gracelyn Massey",63
"75",19117,43516,67,"Meladie Larance",63
"76",339,33659,76,"Emily Henn",62
"77",499,84295,76,"Emily Wood",62
"78",1013,42987,76,"Allysa Lake",62
"79",1085,82605,76,"Madalyn White",62
"80",1085,17099,76,"Makayla Cuthbertson",62
"81",1462,39465,76,"Sydney Kale",62
"82",11403,21612,76,"Kaila Eastburn",62
"83",11403,52100,76,"Kenzie Middleton",62
"84",11740,30604,76,"Gianna Guerriero",62
"85",12830,1373,76,"Ellie Alvarez",62
"86",30153,55355,76,"Macey Neal",62
"87",13,36897,87,"Madison Hurt",61
"88",93,77651,87,"Tereise Tosi",61
"89",243,65154,87,"Jamie Roberts",61
"90",383,75791,87,"Ellie Tallman",61
"91",435,1763,87,"Sydney Anderson",61
"92",568,11196,87,"Miia Campos",61
"93",1460,74238,87,"Tristyn Stewart",61
"94",9223,29823,87,"Karley Green",61
"95",30063,54760,87,"Camryn Murphy",61
"96",155,2130,96,"Kendall Aragon",60
"97",197,45351,96,"Taylor Lipkins",60
"98",339,74364,96,"Brianna Stocklin",60
"99",1001,31252,96,"Kary Hales",60
"100",1071,19392,96,"Alexis Dial",60
"101",1085,81388,96,"Taylor Watford",60
"102",1096,34911,96,"Emily Hobbs",60
"103",1167,4972,96,"Abbie Behe",60
"104",1245,15277,96,"Courtlynn Cooney",60
"105",1462,8888,96,"Savanna Brooks",60
"106",30093,23318,96,"Kathryn Fallen",60
"107",30193,27881,96,"Jaryn Gibson",60
"108",30193,79393,96,"Ellee Varner",60
