"","team_id","player_id","rank","player","sb"
"1",174,48785,1,"Sharon Morales",31
"2",584,25229,2,"Grace Germer",28
"3",1314,2166,3,"Heather Arnett",26
"4",13,33575,4,"Madison Hurt",24
"5",144,63096,4,"Jazmin Scott",24
"6",30002,1683,4,"Kendall Andrews",24
"7",30192,53030,7,"Taylor Palfrey",21
"8",720,67836,8,"Nylah Strange-lindley",20
"9",1085,38100,8,"Emily Konz",20
"10",1245,13965,8,"Courtlynn Cooney",20
"11",2814,46437,8,"Marrit Mead",20
"12",20794,57866,8,"Ariana Rego",20
"13",645,77963,13,"Anna Zoia-buescher",19
"14",765,46771,13,"Madison Melvin",19
"15",1346,26256,13,"Lauren Gonzales",19
"16",30013,62223,13,"Alexa Scalzo",19
"17",70,19264,17,"Coreena Dunham",18
"18",1156,12431,17,"Mary Chvatal",18
"19",1439,12618,17,"Emele Clark",18
"20",9012,34087,17,"Kylee Jacks",18
"21",197,74366,21,"Abigail Weirich",17
"22",1314,9247,21,"Hannah Burnett",17
"23",20794,64855,21,"Morgan Simpson",17
"24",30052,48557,21,"Sophie Mooney",17
"25",262,32219,25,"Hannah Hollister",16
"26",413,26882,25,"Kami Grammerstorf",16
"27",584,77600,25,"Kaeli Zahradnik",16
"28",720,48764,25,"Jessica Morales",16
"29",720,57651,25,"T'yauna Rector",16
"30",1015,2978,25,"Mackenzie Bakel",16
"31",1460,67458,25,"Tristyn Stewart",16
"32",2755,23647,25,"Margo Frossard",16
"33",8875,47966,25,"Mckenzie Misenhiemer",16
"34",30191,32351,25,"Macy Holt",16
"35",309,50829,35,"Megan Nichols",15
"36",9004,34110,35,"Cheyenne Jackson",15
"37",30050,3841,35,"Rosie Bartletti",15
"38",30244,53680,35,"Mhasiah Patterson",15
"39",1076,31104,39,"Bella Hess",14
"40",1123,73790,39,"Lily Warren",14
"41",1446,71657,39,"Bella Valdes",14
"42",1460,48648,39,"Lexi Moore",14
"43",1462,31795,39,"Kaylee Hobgood",14
"44",2720,13184,39,"Caitlyn Cole",14
"45",12830,34545,39,"Danielle Jason",14
"46",24639,65354,39,"Alexis Smith",14
"47",30063,26896,39,"Nina Grandey",14
"48",30138,29389,39,"Lauren Harris",14
"49",230,50980,49,"Ella Niles",13
"50",413,59115,49,"Shelby Robb",13
"51",1001,37165,49,"Aniyah King",13
"52",1013,60245,49,"Hannah Rose",13
"53",1116,10723,49,"Mariana Caro",13
"54",1116,40245,49,"Kaya Lee",13
"55",1334,18000,49,"Katie Dillon",13
"56",8366,16308,49,"Hannah Davis",13
"57",23157,51761,49,"Jenna O'reilly",13
"58",30118,27872,49,"Tiare Guerrero",13
"59",30120,52152,49,"Sabrina Olmo",13
"60",30126,17636,49,"Katelyn Deweese",13
"61",30153,34709,49,"Morgan Jennings",13
"62",130,5834,62,"Lexi Blackmon",12
"63",197,72516,62,"Reilly Vicendese",12
"64",356,13742,62,"Abbi Conrad",12
"65",413,17916,62,"Hannah Difabio",12
"66",584,47283,62,"Brie Michelli",12
"67",632,19354,62,"Milani Dunning",12
"68",791,25765,62,"Tyeisha Gist",12
"69",1000,44005,62,"Abbi Martin",12
"70",1079,7615,62,"Annika Bredel",12
"71",1085,15624,62,"Makayla Cuthbertson",12
"72",1096,31781,62,"Emily Hobbs",12
"73",1096,9906,62,"Kam Caldwell",12
"74",1116,28636,62,"Macy Ham",12
"75",8935,32838,62,"Ayellad Howard",12
"76",9011,64050,62,"Peyton Shepard",12
"77",9012,72088,62,"Yazmin Vargas",12
"78",30052,40693,62,"Jolie Lester",12
"79",30093,4156,62,"Chloe Baynes",12
"80",30093,44049,62,"Gia Martin",12
"81",30244,63114,62,"Laura Scott",12
"82",159,29388,82,"Laura Harris",11
"83",205,73681,82,"Riley Warden",11
"84",499,76563,82,"Emily Wood",11
"85",689,36987,82,"Lilly Kiester",11
"86",996,14909,82,"Kelsey Creech",11
"87",1076,74790,82,"Peyton Wetherholt",11
"88",1085,75018,82,"Madalyn White",11
"89",8411,20633,82,"Adrianna Erichson",11
"90",9680,5416,82,"Raissa Bianco",11
"91",9680,48906,82,"Delaney Morgan",11
"92",30013,64693,82,"Hailey Simco",11
"93",30092,67450,82,"Sydney Stewart",11
"94",30127,19026,82,"Megan Duclos",11
"95",30134,18744,82,"Taylor Dowden",11
"96",30134,40246,82,"Kayla Lee",11
"97",70,31450,97,"Jayla Hill",10
"98",159,10244,97,"Caitlyn Canady",10
"99",208,13129,97,"Ella Coiner",10
"100",608,50298,97,"Briana Neal",10
"101",632,22847,97,"Neveah Ford",10
"102",734,46296,97,"Saylor Mcnearney",10
"103",1071,75685,97,"Lexi Williams",10
"104",1071,73619,97,"Abbey Ward",10
"105",1071,17679,97,"Alexis Dial",10
"106",1174,34673,97,"Tayler Jenkins",10
"107",2720,59893,97,"Raelynn Rogers",10
"108",8875,30487,97,"Kyra Helton",10
"109",11740,27876,97,"Gianna Guerriero",10
"110",30002,4867,97,"Anna Bennett",10
"111",30013,32926,97,"Marquila Howell",10
"112",30192,10290,97,"Talissa Cannady",10
"113",30202,440,97,"Emily Adler",10
"114",30202,27220,97,"Sammie Greene",10
