"","team_id","player_id","rank","player","avg","season"
"1",458,18544,1,"Becca Shipper","0.568",2016
"2",632,22296,2,"Torrian Wright","0.566",2015
"3",317,7659,3,"Kate Gordon","0.557",2020
"4",334,20931,4,"Bailey Vick","0.556",2020
"5",703,10071,5,"Janae Jefferson","0.554",2020
"6",490,6572,6,"Taty Forbes","0.537",2020
"7",756,1164,7,"Sis Bates","0.529",2020
"8",522,360,8,"Jocelyn Alo","0.526",2022
"9",782,13379,9,"Sydney Mckinney","0.520",2023
"10",671,5806,10,"Lexie Elkins","0.514",2016
"11",368,3171,11,"Courtney Cashman","0.512",2019
"12",782,13379,12,"Sydney Mckinney","0.511",2022
"13",312,3116,13,"Nia Carter","0.509",2020
"14",334,12766,14,"Alex Martens","0.507",2020
"15",388,22544,15,"Morgan Zerkle","0.506",2015
"16",305,18710,15,"Leslie Sims","0.506",2020
"17",165,18875,17,"Danielle Smith","0.505",2016
"18",400,5113,18,"Quianna Diaz-patterson","0.504",2015
"19",178,7180,19,"Nicole Gazzola","0.497",2016
"20",334,11172,20,"Kayla Kowalik","0.495",2021
"21",370,8025,21,"Molly Grumbo","0.493",2020
"22",110,1393,22,"Allexis Bennett","0.492",2015
"23",294,1908,22,"Emma Bordenkecher","0.492",2020
"24",368,3171,24,"Courtney Cashman","0.491",2020
"25",1092,359,25,"Weslyn Almond","0.488",2020
"26",294,2620,26,"Kacie Burnett","0.487",2017
"27",388,7844,27,"Kaelynn Greene","0.486",2016
"28",631,20451,27,"Ashley Trierweiler","0.486",2023
"29",108,17356,29,"Alyse Rojas","0.485",2020
"30",688,15004,30,"Sydney O'hara","0.484",2017
"31",498,17123,31,"Rochelle Roberts","0.483",2016
"32",331,19177,31,"Holly Speers","0.483",2018
"33",8,18600,31,"Kb Sides","0.483",2020
"34",312,3116,31,"Nia Carter","0.483",2023
"35",388,22544,35,"Morgan Zerkle","0.482",2016
"36",400,4225,35,"Jena Cozza","0.482",2018
"37",756,10998,37,"Baylee Klingler","0.481",2020
"38",107,18947,37,"Makena Smith","0.481",2020
"39",28755,17520,37,"Johneisha Rowe","0.481",2020
"40",631,20451,37,"Ashley Trierweiler","0.481",2021
"41",458,20786,41,"Bailey Vannoy","0.480",2020
"42",654,491,41,"Rachel Anderson","0.480",2020
"43",149,6572,43,"Taty Forbes","0.479",2016
"44",191,17618,43,"Linda Rush","0.479",2021
"45",559,1284,43,"Rachel Becker","0.479",2021
"46",655,11372,46,"Katie Lacour","0.478",2015
"47",261,5885,47,"Nicole Ene","0.477",2015
"48",1092,1899,47,"Andria Booth","0.477",2018
"49",388,22544,49,"Morgan Zerkle","0.476",2017
"50",651,2434,49,"Anamarie Bruni","0.476",2020
"51",522,360,51,"Jocelyn Alo","0.475",2021
"52",148,13451,52,"Erica Mcnew","0.474",2016
"53",302,21415,52,"Lexi Watts","0.474",2019
"54",96,22035,52,"Mckenzie Wilson","0.474",2020
"55",9,718,55,"Caitlin Attfield","0.473",2015
"56",172,18142,55,"Micah Schroder","0.473",2019
"57",275,10570,57,"Maddy Kaplan","0.472",2016
"58",725,7898,57,"Alicyn Grete","0.472",2020
"59",31,2911,59,"Stephanie Canfield","0.471",2016
"60",521,18545,59,"Vanessa Shippy","0.471",2018
"61",352,1006,59,"Carley Barjaktarovich","0.471",2021
"62",650,13914,62,"Yvon Minogue","0.470",2015
"63",147,2760,63,"Valerie Cagle","0.469",2023
"64",175,18188,64,"Emma Schutter","0.467",2023
"65",149,20101,65,"Makiya Thomas","0.463",2020
"66",254,5411,66,"Ivie Drake","0.462",2015
"67",388,16382,66,"Saige Pye","0.462",2020
"68",522,10121,66,"Tiare Jennings","0.462",2021
"69",758,3508,66,"Mika Chong","0.462",2022
"70",193,10111,66,"D'auna Jennings","0.462",2023
"71",702,13611,71,"Sandra Mendoza","0.461",2016
"72",51,18260,71,"Jessica Scroggins","0.461",2018
"73",352,21357,73,"Alexis Watanabe","0.460",2015
"74",796,11119,73,"Kayla Konwent","0.460",2019
"75",371,9903,73,"Allyson Ivey","0.460",2019
"76",294,2620,76,"Kacie Burnett","0.459",2015
"77",771,12760,76,"Sammy Marshall","0.459",2015
"78",97,20772,76,"Samantha Vandiver","0.459",2015
"79",111,16887,76,"Madeline Richard","0.459",2016
"80",817,17710,76,"Nikki Saibene","0.459",2020
"81",386,3884,76,"Kaley Coltrain","0.459",2021
"82",180,7409,82,"Brooke Glanden","0.457",2020
"83",703,21344,82,"Kaitlyn Washington","0.457",2020
"84",529,4382,82,"Haley Cruse","0.457",2020
"85",30024,5361,85,"Abby Doughty","0.456",2020
"86",665,19705,86,"Kiara Suttles","0.455",2016
"87",158,20488,86,"Taylor Troutt","0.455",2018
"88",654,491,86,"Rachel Anderson","0.455",2019
"89",418,17395,89,"Sierra Romero","0.454",2015
"90",294,2620,89,"Kacie Burnett","0.454",2016
"91",626,15749,89,"Jenavee Peres","0.454",2017
"92",371,14539,92,"Erica Nagel","0.453",2016
"93",683,16456,92,"Melissa Rahrich","0.453",2018
"94",703,2598,92,"Lauren Burke","0.453",2020
"95",315,1791,92,"Keeli Bobbitt","0.453",2020
"96",30024,3044,92,"Madison Carr","0.453",2022
"97",14,19025,97,"Elizabeth Snow","0.452",2016
"98",600,17680,97,"Mekenzie Saban","0.452",2021
"99",68,9458,97,"Jen Horita","0.452",2021
"100",6,17863,97,"Venice Sanders","0.452",2023
