"","team_id","player_id","rank","player","era","season"
"1",257,29860,1,"Brittany Gray",0.487,2018
"2",235,4021,2,"Kelly Barnhill",0.509,2017
"3",651,15745,3,"Georgina Corrick",0.518,2022
"4",428,30499,4,"Sara Groenewegen",0.619,2017
"5",317,29204,5,"Megan Good",0.631,2017
"6",674,11292,6,"Nijaree Canady",0.651,2023
"7",14927,38901,7,"Maya Johnson",0.652,2025
"8",235,29555,8,"Delanie Gourley",0.721,2017
"9",674,11292,9,"Nijaree Canady",0.774,2024
"10",391,15508,10,"Courtney Coppersmith",0.789,2022
"11",620,1779,10,"Kierstin Anderson-glass",0.789,2019
"12",522,59128,12,"Paige Parker",0.838,2018
"13",694,66284,13,"Ashley Rogers",0.842,2023
"14",487,27346,14,"Megan Garst",0.857,2019
"15",189,56184,15,"Nicole Newman",0.895,2018
"16",391,15508,16,"Courtney Coppersmith",0.927,2021
"17",30136,82929,17,"Amanda Weyh",0.939,2022
"18",522,49658,18,"Nicole May",0.94,2023
"19",96,20274,19,"Hailey Dolcini",0.979,2021
"20",651,15745,20,"Georgina Corrick",0.991,2021
"21",110,27097,21,"Rachel Garcia",0.993,2019
"22",522,3150,22,"Jordyn Bahl",1.01,2022
"23",756,61407,23,"Gabbie Plain",1.02,2018
"24",600,80336,24,"Grace Vesco",1.022,2021
"25",391,49468,25,"Kya Matter",1.028,2022
"26",108,85488,26,"Brooke Yanez",1.038,2019
"27",522,3150,27,"Jordyn Bahl",1.042,2023
"28",521,40975,28,"Lexi Kilfoyl",1.058,2024
"29",418,75023,29,"Alex Storako",1.06,2021
"30",694,60979,30,"Karlyn Pickens",1.061,2025
"31",68,20982,31,"Ali Dubois",1.07,2021
"32",235,4021,32,"Kelly Barnhill",1.082,2018
"33",676,83513,33,"Kassidy Wilbur",1.087,2021
"34",519,20561,34,"Savannah jo Dorsey",1.095,2017
"35",671,22446,35,"Summer Ellyson",1.097,2019
"36",10411,6082,36,"Christina Biggerstaff",1.105,2019
"37",620,1779,37,"Kierstin Anderson-glass",1.106,2021
"38",90,37303,38,"Sierra Hyland",1.11,2017
"39",402,76466,39,"Whitney Tate",1.122,2023
"40",388,56017,40,"Sydney Nester",1.123,2023
"41",110,23525,41,"Megan Faraimo",1.127,2021
"42",694,60979,42,"Karlyn Pickens",1.133,2024
"43",659,30505,43,"Maddia Groff",1.134,2024
"44",189,56184,44,"Nicole Newman",1.137,2019
"45",464,52281,45,"Kamryn Meyer",1.139,2022
"46",288,33497,46,"Savannah Heebner",1.154,2018
"47",28755,63488,47,"Riley Randolph",1.163,2019
"48",651,15745,48,"Georgina Corrick",1.167,2019
"49",1004,4778,49,"Kayla Beaver",1.168,2023
"50",68,64696,50,"Kasey Ricard",1.169,2024
"51",454,38004,51,"Hannah James",1.171,2022
"52",418,4749,52,"Meghan Beaubien",1.176,2018
"53",147,10777,53,"Valerie Cagle",1.177,2021
"54",521,52324,54,"Ruby Meylan",1.18,2025
"55",234,41225,55,"Meghan King",1.183,2018
"56",234,68275,56,"Kathryn Sandercock",1.186,2023
"57",365,81400,57,"Allie Walljasper",1.19,2018
"58",317,978,58,"Odicci Alexander",1.194,2021
"59",29,57372,59,"Danielle O'toole",1.201,2017
"60",600,80336,60,"Grace Vesco",1.204,2024
"61",365,35943,61,"Carley Hoover",1.215,2017
"62",529,22277,61,"Miranda Elish",1.215,2018
"63",28,39522,63,"Giselle Juarez",1.222,2018
"64",189,72609,64,"Kailee Smith",1.225,2018
"65",8,58253,65,"Alexis Osorio",1.232,2017
"66",670,67386,66,"Randi Rupp",1.235,2017
"67",742,65895,67,"Keely Rochard",1.239,2021
"68",355,19907,68,"Julia Dimartino",1.249,2019
"69",529,3491,69,"Maggie Balint",1.257,2017
"70",719,81995,70,"Emily Watson",1.258,2017
"71",110,23525,71,"Megan Faraimo",1.264,2019
"72",234,10293,72,"Jessica Burroughs",1.271,2017
"73",464,52281,73,"Kamryn Meyer",1.273,2023
"74",670,67386,74,"Randi Rupp",1.278,2018
"75",454,38004,75,"Hannah James",1.282,2023
"76",428,24480,76,"Amber Fiser",1.285,2019
"77",521,49629,76,"Kelly Maxwell",1.285,2022
"78",418,4749,78,"Meghan Beaubien",1.291,2021
"79",454,80085,79,"Jenna Veber",1.294,2022
"80",30135,74137,80,"Ciara Stapp",1.298,2017
"81",522,46305,81,"Mariah Lopez",1.301,2019
"82",522,39522,82,"Giselle Juarez",1.302,2019
"83",661,44967,83,"Jennifer Leonhardt",1.303,2019
"84",2711,5451,84,"Allison Benning",1.305,2025
"85",756,61407,85,"Gabbie Plain",1.307,2019
"86",756,1409,86,"Taran Alvelo",1.308,2018
"87",110,27097,87,"Rachel Garcia",1.309,2021
"88",193,81535,87,"Shelby Walters",1.309,2021
"89",487,27346,89,"Megan Garst",1.315,2018
"90",732,80666,90,"Miranda Viramontes",1.316,2017
"91",694,66284,91,"Ashley Rogers",1.326,2021
"92",37,60057,91,"Maddie Penta",1.326,2023
"93",315,28300,93,"Whitney Gillespie",1.328,2017
"94",110,23525,94,"Megan Faraimo",1.33,2023
"95",110,27097,94,"Rachel Garcia",1.33,2018
"96",68,6855,96,"Allison Boaz",1.331,2023
"97",529,41563,97,"Megan Kleist",1.335,2017
"98",386,60925,98,"Calista Phippen",1.336,2019
"99",529,41563,99,"Megan Kleist",1.339,2018
"100",234,32109,100,"Kylee Hanson",1.351,2018
