"","team_id","player_id","rank","player","k_bb","season"
"1",620,1622,1,"Kierstin Anderson-Glass","11.7",2016
"2",110,21446,2,"Megan Faraimo","10.6",2021
"3",659,27773,3,"Maddia Groff"," 8.9",2024
"4",529,37787,4,"Megan Kleist"," 8.5",2018
"5",391,44939,5,"Kya Matter"," 8.4",2022
"6",651,14386,6,"Georgina Corrick"," 7.9",2022
"7",235,3671,7,"Kelly Barnhill"," 7.5",2017
"8",428,27768,8,"Sara Groenewegen"," 7.4",2017
"9",8,23200,9,"Montana Fouts"," 7.3",2023
"10",454,34576,10,"Hannah James"," 7.3",2022
"11",391,14169,11,"Courtney Coppersmith"," 7.3",2022
"12",235,52192,12,"Aleshia Ocasio"," 7.1",2018
"13",625,50988,13,"McKenzie Newcomb"," 6.9",2023
"14",189,51042,14,"Nicole Newman"," 6.9",2019
"15",428,54299,15,"Autumn Pease"," 6.8",2023
"16",229,29210,16,"Kylee Hanson"," 6.8",2016
"17",1356,50454,17,"Carley Nance"," 6.7",2022
"18",454,34576,18,"Hannah James"," 6.6",2023
"19",529,20310,19,"Miranda Elish"," 6.5",2018
"20",299,16630,20,"Morgan Day"," 6.5",2021
"21",234,9400,21,"Jessica Burroughs"," 6.5",2017
"22",235,26904,22,"Delanie Gourley"," 6.3",2017
"23",771,34152,23,"Emily Ira"," 6.3",2017
"24",522,35938,24,"Giselle Juarez"," 6.3",2019
"25",253,55154,25,"Anslie Pettit"," 6.2",2024
"26",110,21446,26,"Megan Faraimo"," 6.1",2022
"27",349,4928,27,"Laura Bennett"," 6.1",2022
"28",670,61232,28,"Randi Rupp"," 6.1",2018
"29",771,34152,29,"Emily Ira"," 6.1",2019
"30",454,72713,30,"Jenna Veber"," 6.1",2022
"31",317,26588,31,"Megan Good"," 6.0",2017
"32",8,23200,32,"Montana Fouts"," 5.9",2021
"33",83,25173,33,"Raeanne Geffert"," 5.8",2018
"34",43,57287,34,"Morgan Rackel"," 5.8",2018
"35",96,18465,35,"Hailey Dolcini"," 5.8",2021
"36",189,51042,36,"Nicole Newman"," 5.7",2018
"37",674,10302,37,"NiJaree Canady"," 5.7",2024
"38",620,1622,38,"Kierstin Anderson-Glass"," 5.6",2021
"39",418,68159,39,"Alex Storako"," 5.6",2021
"40",674,10302,40,"NiJaree Canady"," 5.6",2023
"41",457,55423,41,"Brittany Pickett"," 5.6",2021
"42",43,57287,42,"Morgan Rackel"," 5.5",2019
"43",30136,75294,43,"Amanda Weyh"," 5.5",2022
"44",671,20469,44,"Summer Ellyson"," 5.5",2019
"45",522,42097,45,"Mariah Lopez"," 5.5",2019
"46",235,52192,46,"Aleshia Ocasio"," 5.4",2016
"47",756,55798,47,"Gabbie Plain"," 5.4",2021
"48",502,11561,48,"Erin Caviness"," 5.4",2024
"49",317,889,49,"Odicci Alexander"," 5.4",2021
"50",14927,35381,50,"Maya Johnson"," 5.3",2023
"51",625,50988,51,"McKenzie Newcomb"," 5.3",2022
"52",249,39664,52,"Sierra Lange"," 5.3",2021
"53",277,31927,53,"Brittany Hitchcock"," 5.3",2017
"54",624,46468,54,"Lindsey McLeod"," 5.2",2019
"55",529,37787,55,"Megan Kleist"," 5.2",2016
"56",110,70616,56,"Taylor Tinsley"," 5.2",2024
"57",110,21446,57,"Megan Faraimo"," 5.1",2023
"58",116,25602,58,"Megan Giese"," 5.1",2022
"59",719,74442,59,"Emily Watson"," 5.0",2017
"60",8,37246,60,"Lexi Kilfoyl"," 5.0",2021
"61",742,40736,61,"Emma Lemley"," 5.0",2023
"62",756,1290,62,"Taran Alvelo"," 5.0",2019
"63",630,41419,63,"Katelyn Linford"," 5.0",2017
"64",522,2876,65,"Jordyn Bahl"," 5.0",2022
"65",671,20469,65,"Summer Ellyson"," 5.0",2021
"66",248,73275,66,"Marina Vitalich"," 5.0",2016
"67",539,53828,67,"Bailey Parshall"," 4.9",2023
"68",37,42358,68,"Shelby Lowe"," 4.9",2021
"69",694,26875,69,"Payton Gottshall"," 4.9",2024
"70",626,3188,70,"Maggie Balint"," 4.9",2022
"71",28755,57682,71,"Riley Randolph"," 4.9",2016
"72",28,35938,72,"Giselle Juarez"," 4.9",2018
"73",244,5244,73,"Lindsey Bert"," 4.9",2018
"74",522,35938,74,"Giselle Juarez"," 4.9",2021
"75",497,71142,75,"Hope Trautwein"," 4.9",2021
"76",522,53712,76,"Paige Parker"," 4.8",2017
"77",301,46672,77,"Tori McQueen"," 4.8",2022
"78",756,55798,78,"Gabbie Plain"," 4.8",2019
"79",620,1622,79,"Kierstin Anderson-Glass"," 4.8",2019
"80",234,29210,80,"Kylee Hanson"," 4.8",2018
"81",391,14169,81,"Courtney Coppersmith"," 4.8",2021
"82",683,6316,82,"Dawn Bodrug"," 4.8",2022
"83",670,61232,83,"Randi Rupp"," 4.8",2017
"84",504,31398,84,"Samantha Heyer"," 4.8",2023
"85",317,24792,85,"Megan Good"," 4.8",2015
"86",756,1290,86,"Taran Alvelo"," 4.8",2018
"87",71,26875,87,"Payton Gottshall"," 4.7",2022
"88",8,23200,88,"Montana Fouts"," 4.7",2022
"89",386,50322,89,"Kiley Myers"," 4.7",2024
"90",164,52553,90,"Marybeth Olson"," 4.7",2019
"91",110,21446,91,"Megan Faraimo"," 4.7",2019
"92",454,72713,92,"Jenna Veber"," 4.7",2021
"93",774,2989,93,"Rissa Bajusz"," 4.7",2024
"94",48,35988,94,"Annah Junge"," 4.7",2023
"95",386,55363,95,"Calista Phippen"," 4.6",2019
"96",742,59875,96,"Keely Rochard"," 4.6",2022
"97",446,33683,97,"Anaya Hunte"," 4.6",2023
"98",651,14386,98,"Georgina Corrick"," 4.6",2021
"99",522,53712,99,"Paige Parker"," 4.5",2018
"100",147,70305,101,"Millie Thompson"," 4.5",2022
"101",83,25173,101,"Raeanne Geffert"," 4.5",2017
