"","team_id","player_id","rank","player","rc","season"
"1",522,1274,1,"Jocelyn Alo","121.70",2022
"2",522,1274,2,"Jocelyn Alo","114.82",2021
"3",522,38497,3,"Tiare Jennings","103.36",2021
"4",414,73623,4,"Karli Spaid"," 97.57",2024
"5",37,15463,5,"Kasey Cooper"," 94.77",2016
"6",31,22435,6,"Bri Ellis"," 93.44",2025
"7",522,1274,7,"Jocelyn Alo"," 93.00",2018
"8",202,55337,8,"Paige Murphy"," 90.89",2018
"9",199,38141,9,"Mariah Jameyson"," 90.70",2018
"10",661,35302,10,"Haley Hodges"," 89.90",2016
"11",428,57536,11,"Jess Oakland"," 89.86",2024
"12",402,61088,12,"Erika Piancastelli"," 88.76",2016
"13",306,53191,13,"Taylor Minnick"," 88.22",2025
"14",334,42470,14,"Kayla Kowalik"," 88.18",2021
"15",147,10803,15,"Valerie Cagle"," 87.71",2023
"16",466,38393,16,"Aaliyah Jenkins"," 87.65",2025
"17",694,53056,17,"Kiki Milloy"," 87.05",2023
"18",2743,1312,18,"Victoria Altamirano"," 86.61",2025
"19",235,81573,19,"Skylar Wallace"," 86.30",2023
"20",518,10250,20,"Jasmyn Burns"," 86.19",2025
"21",191,67596,21,"Linda Rush"," 86.15",2019
"22",414,73623,22,"Karli Spaid"," 85.56",2022
"23",311,84176,23,"Sami Williams"," 84.99",2021
"24",671,68471,24,"Dj Sanders"," 84.93",2017
"25",1356,12611,25,"Madison Cathcart"," 84.71",2018
"26",504,9888,26,"Sammey Bunch"," 84.24",2021
"27",234,81998,27,"Jessie Warren"," 84.04",2017
"28",164,38412,28,"Grace Jenkins"," 83.77",2025
"29",317,29441,29,"Kate Gordon"," 83.61",2019
"30",418,66728,30,"Sierra Romero"," 83.53",2016
"31",47,77904,31,"Mckayla Timmons"," 83.50",2024
"32",782,51161,32,"Sydney Mckinney"," 83.13",2022
"33",8,33821,33,"Bailey Hemphill"," 83.04",2019
"34",402,61088,34,"Erika Piancastelli"," 82.07",2018
"35",756,41731,35,"Baylee Klingler"," 82.00",2022
"36",110,85269,36,"Jordan Woolery"," 81.93",2025
"37",331,73737,37,"Holly Speers"," 81.29",2018
"38",782,51161,38,"Sydney Mckinney"," 81.23",2023
"39",1092,62375,39,"Katie Prebble"," 80.67",2018
"40",782,3912,40,"Addison Barnard"," 80.51",2022
"41",654,1751,41,"Rachel Anderson"," 80.50",2019
"42",487,13901,42,"Brooklynn Clark"," 80.22",2016
"43",334,13284,43,"Abbey Cheek"," 80.14",2019
"44",428,45585,44,"Kendyl Lindaman"," 79.67",2017
"45",796,42258,44,"Kayla Konwent"," 79.67",2019
"46",703,2692,46,"Reese Atwood"," 79.61",2024
"47",257,19666,47,"Alyssa Dicarlo"," 79.29",2019
"48",193,17858,48,"Claire Davidson"," 79.21",2024
"49",306,40842,49,"Taryn Kern"," 78.99",2023
"50",400,16233,50,"Jena Cozza"," 78.36",2018
"51",522,32149,51,"Kinzie Hansen"," 78.29",2021
"52",697,44639,52,"Haley Lee"," 78.14",2021
"53",739,63828,53,"Paige Rauch"," 77.92",2019
"54",522,66730,54,"Sydney Romero"," 77.88",2019
"55",235,46506,55,"Amanda Lorenz"," 77.81",2018
"56",28,68467,56,"Cydney Sanders"," 77.40",2022
"57",110,8138,57,"Maya Brady"," 77.15",2023
"58",414,28937,58,"Jenna Golembiewski"," 77.10",2024
"59",386,646,59,"Haley Ahr"," 76.93",2025
"60",522,38497,60,"Tiare Jennings"," 76.87",2022
"61",234,81998,61,"Jessie Warren"," 76.85",2018
"62",414,17014,62,"Allie Cummins"," 76.67",2021
"63",115,69401,63,"Amber Schisler"," 76.62",2017
"64",463,3158,64,"Jordyn Bahl"," 76.55",2025
"65",148,51457,65,"Erica Mcnew"," 76.52",2016
"66",458,46495,66,"Jenna Lord"," 76.38",2025
"67",334,14421,67,"Erin Coffel"," 76.13",2023
"68",31,28126,68,"Danielle Gibson"," 75.93",2022
"69",257,19666,69,"Alyssa Dicarlo"," 75.79",2018
"70",782,85025,70,"Cc Wong"," 75.55",2024
"71",355,67166,71,"Rachel Roupe"," 75.50",2025
"72",235,81573,72,"Skylar Wallace"," 75.49",2024
"73",235,46506,73,"Amanda Lorenz"," 75.20",2019
"74",66,10558,74,"Makenzie Butt"," 75.18",2025
"75",472,73703,75,"Desirae Spearman"," 75.14",2025
"76",388,58575,76,"Autumn Owen"," 75.07",2023
"77",458,80029,77,"Bailey Vannoy"," 74.82",2022
"78",311,84176,78,"Sami Williams"," 74.81",2019
"79",386,50604,79,"Miah Mcdonald"," 74.57",2024
"80",694,30244,80,"Meghan Gregg"," 74.53",2017
"81",254,20862,81,"Ivie Drake"," 74.49",2018
"82",29,58984,82,"Alyssa Palomino"," 74.43",2019
"83",522,14222,83,"Caleigh Clifton"," 73.79",2019
"84",522,8750,84,"Alyssa Brito"," 73.65",2024
"85",2711,5462,85,"Allison Benning"," 73.57",2025
"86",110,29846,86,"Megan Grant"," 73.37",2025
"87",235,58470,87,"Korbe Otis"," 73.24",2024
"88",522,14648,88,"Jayda Coleman"," 73.06",2023
"89",671,22351,89,"Lexie Elkins"," 72.75",2016
"90",782,3912,90,"Addison Barnard"," 72.58",2024
"91",180,70782,91,"Sydney Shaffer"," 72.47",2025
"92",472,36233,92,"Kelsey Horton"," 72.14",2018
"93",704,64940,93,"Ajia Richard"," 71.91",2025
"94",694,30244,94,"Meghan Gregg"," 71.81",2018
"95",430,67933,95,"Sierra Sacco"," 71.60",2025
"96",294,9072,96,"Ava Brown"," 71.30",2025
"97",110,61763,97,"Savannah Pola"," 71.03",2025
"98",513,8913,98,"Cait Brooks"," 70.86",2019
"99",711,70090,99,"Kendyl Scott"," 70.84",2018
