"","team_id","player_id","rank","player","h","season"
"1",499,54435,1,"Christa Reisinger",110,2017
"2",383,43751,2,"Jess Meidl",100,2017
"3",383,49582,2,"Mckenzie Paap",100,2017
"4",30002,48726,2,"Makray Odom",100,2019
"5",333,15124,5,"Meredith Daunhauer",99,2017
"6",757,8944,6,"Lyndsay Butler",97,2016
"7",30052,45571,7,"Sophie Mooney",96,2023
"8",9081,27708,8,"Carlie Hart",93,2018
"9",30051,9518,8,"Jessica Campbell",93,2023
"10",339,34100,10,"Sara Keeny",92,2019
"11",1433,39167,10,"Lexie Loos",92,2016
"12",427,58805,12,"Hannah Schmoll",91,2018
"13",765,43883,12,"Madison Melvin",91,2023
"14",1460,8819,12,"Rosa'lynn Burton",91,2019
"15",9630,52169,12,"Tori Pogue",91,2017
"16",11740,30856,16,"Teala Howard",90,2019
"17",333,65733,17,"Jaylin Tidwell",89,2017
"18",1460,45660,17,"Lexi Moore",89,2023
"19",41,34463,19,"Sarah Kennedy",88,2017
"20",383,49582,19,"Mckenzie Paap",88,2016
"21",593,5109,19,"Amanda Bickford",88,2018
"22",757,8944,19,"Lyndsay Butler",88,2017
"23",1010,9521,19,"Kailyn Campbell",88,2016
"24",1460,8819,19,"Rosa'lynn Burton",88,2017
"25",30052,38184,19,"Jolie Lester",88,2023
"26",628,67355,26,"Brylynn Vallejos",87,2019
"27",790,67442,26,"Lani Van zyl",87,2019
"28",1460,8819,26,"Rosa'lynn Burton",87,2018
"29",499,54435,29,"Christa Reisinger",86,2019
"30",638,41253,29,"Hannah Marsteller",86,2022
"31",1013,56548,29,"Hannah Rose",86,2023
"32",30028,52691,29,"Kaylee Prather",86,2017
"33",734,45232,33,"Jessica Mohl",85,2017
"34",765,22827,34,"Bri Garber",84,2018
"35",1116,44860,34,"Peyton Mills",84,2017
"36",1346,44366,34,"Hannah Michel",84,2016
"37",9012,13223,34,"Abi Corbett",84,2017
"38",11403,18742,38,"Sami Edwards",83,2022
"39",30028,22979,38,"Nicole Garcia",83,2018
"40",262,24329,40,"Lydia Goble",82,2023
"41",333,15485,40,"Maddie Dawson",82,2017
"42",696,10902,40,"Jory Cervantes",82,2022
"43",765,41641,40,"Emily Maseth",82,2019
"44",790,29794,40,"Abbie Hlas",82,2022
"45",1170,6226,40,"Erin Boone",82,2016
"46",9630,68487,40,"Brooklyn Waddell",82,2016
"47",30128,63171,40,"Brooke Stetzler",82,2016
"48",92,32205,48,"Raquel Jaime",81,2022
"49",701,48053,48,"Nicole Nordie",81,2017
"50",1009,28319,48,"Morgan Heard",81,2016
"51",1245,13100,48,"Courtlynn Cooney",81,2022
"52",9630,29420,48,"Grace Hightower",81,2022
"53",30028,52091,48,"Courtney Plocheck",81,2023
"54",10,3128,54,"Kaitlyn Bannister",80,2017
"55",408,22196,54,"Madison Fry",80,2023
"56",499,67420,54,"Lex Van nostrand",80,2017
"57",9630,18785,54,"Anna Eggleston",80,2016
"58",11416,29889,54,"Brooke Hodgson",80,2018
"59",41,33611,59,"Maggie Kadrlik",79,2019
"60",262,24329,59,"Lydia Goble",79,2022
"61",262,30274,59,"Nikoma Holmen",79,2019
"62",280,33890,59,"Bekah Kastning",79,2017
"63",333,15124,59,"Meredith Daunhauer",79,2018
"64",383,43751,59,"Jess Meidl",79,2018
"65",638,46953,59,"Taylor Myers",79,2023
"66",767,57672,59,"Ruby Salzman",79,2021
"67",1010,9521,59,"Kailyn Campbell",79,2017
"68",1013,66082,59,"Rachelle Toppings",79,2016
"69",1170,6226,59,"Erin Boone",79,2017
"70",30052,27791,59,"Stephanie Hartness",79,2017
"71",30063,49342,59,"Jenna Osikowicz",79,2022
"72",41,13345,72,"Kendall Cornick",78,2021
"73",92,67279,72,"Claudia Valencia",78,2022
"74",309,31670,72,"Gianni Iannantone",78,2019
"75",757,42879,72,"Jade Mcgarr",78,2016
"76",790,67442,72,"Lani Van zyl",78,2017
"77",790,29794,72,"Abbie Hlas",78,2023
"78",995,22216,72,"Lauren Frye",78,2017
"79",995,45330,72,"Marisa Monasseri",78,2017
"80",1010,21631,72,"Celine Fowler",78,2016
"81",1028,22392,72,"Alayna Furr",78,2017
"82",2814,43570,72,"Marrit Mead",78,2022
"83",9013,53901,72,"Morgan Rathmann",78,2016
"84",9013,28104,72,"Sydni Hawkins",78,2023
"85",9081,65556,72,"Nicole Thompson",78,2018
"86",9081,27708,72,"Carlie Hart",78,2019
"87",10870,53163,72,"Nicole Purtell",78,2023
"88",24639,61364,72,"Alexis Smith",78,2023
"89",30119,35291,72,"Taylor Kline",78,2016
"90",30154,27537,72,"Emily Harris",78,2019
"91",309,47711,91,"Megan Nichols",77,2022
"92",765,68654,91,"Sarah Walasavage",77,2017
"93",790,67442,91,"Lani Van zyl",77,2018
"94",790,48234,91,"Alison Nowak",77,2019
"95",995,12973,91,"Nora Conway",77,2019
"96",1402,15791,91,"Alix Dedreu",77,2019
"97",1438,17398,91,"Kat Donzella",77,2021
"98",11416,40847,91,"Maggie Manwarren",77,2018
"99",30119,35291,91,"Taylor Kline",77,2017
"100",41,49973,100,"Mary Pardo",76,2019
"101",65,71474,100,"Taylor Winkelman",76,2016
"102",197,68052,100,"Reilly Vicendese",76,2023
"103",262,11738,100,"Joanna Cirrincione",76,2022
"104",360,24788,100,"Delaney Good",76,2023
"105",383,35989,100,"Amber Kral",76,2017
"106",477,8918,100,"Amber Butenhoff",76,2016
"107",584,66554,100,"Ashley Troutman",76,2023
"108",701,20058,100,"Tealey Farquhar",76,2016
"109",947,18644,100,"Alex Edinger",76,2016
"110",1013,66082,100,"Rachelle Toppings",76,2017
"111",1460,24058,100,"Taylor Gillis",76,2023
"112",12799,30321,100,"Cassie Holstein",76,2016
"113",30002,48726,100,"Makray Odom",76,2017
"114",30052,27791,100,"Stephanie Hartness",76,2016
"115",30124,48453,100,"Brianne O'dell",76,2017
