"","team_id","player_id","rank","player","k_7","season"
"1",309,22798,1,"Morgan Foley","12.9",2016
"2",8875,59501,2,"Kayla Robins","12.3",2017
"3",3,31321,3,"Lindsey Hibbs","12.3",2023
"4",383,58899,4,"Coley Ries","12.0",2016
"5",383,73893,5,"Mackenzie Ward","11.9",2021
"6",790,53983,6,"Liz Pautz","11.9",2022
"7",593,54704,7,"Morgan Perry","11.7",2021
"8",701,40234,8,"Alyssa LeBlanc","11.4",2023
"9",74,9039,9,"Katie Burawski","11.4",2022
"10",383,58899,10,"Coley Ries","11.3",2017
"11",262,41375,11,"Allison Lipovsky","11.3",2018
"12",1438,1368,12,"Makenzie Amend","11.3",2021
"13",1438,1368,13,"Makenzie Amend","11.2",2022
"14",947,28074,14,"Jalissa Gum","11.1",2017
"15",1170,57235,15,"Lauren Rakes","11.1",2022
"16",30199,51605,16,"Callie Nunes","11.0",2018
"17",3,31321,17,"Lindsey Hibbs","11.0",2022
"18",436,54715,18,"Hannah Perryman","11.0",2016
"19",54,77626,19,"Jessica Yost","10.8",2016
"20",54,77626,20,"Jessica Yost","10.6",2017
"21",159,17242,21,"Darby Demarest","10.6",2019
"22",984,76240,22,"Kirsten Wilson","10.6",2017
"23",333,30703,23,"Evyn Hendrickson","10.6",2021
"24",13028,44951,24,"Laken Maxwell","10.6",2022
"25",790,53983,25,"Liz Pautz","10.6",2019
"26",30052,65809,26,"Kylee Smith","10.4",2021
"27",30052,65809,27,"Kylee Smith","10.4",2019
"28",30138,56881,28,"Ellie Quaethem","10.4",2023
"29",30202,35573,29,"Kayleigh Jones","10.3",2022
"30",790,53983,30,"Liz Pautz","10.3",2021
"31",1079,46355,31,"Chelsea McManaway","10.3",2016
"32",608,5362,32,"Kayla Betts","10.2",2023
"33",1098,7660,33,"Holly Brehm","10.2",2022
"34",262,41375,34,"Allison Lipovsky","10.1",2019
"35",95,39750,35,"Brooke Larsen","10.0",2022
"36",383,73893,36,"Mackenzie Ward","10.0",2022
"37",1266,1581,37,"Meghan Anderson","10.0",2021
"38",30052,65809,38,"Kylee Smith","10.0",2018
"39",360,65417,39,"Bekah Slattery"," 9.9",2019
"40",280,61120,40,"Joni Russell"," 9.9",2023
"41",30152,77286,41,"Kayla Wyatt"," 9.8",2016
"42",262,41375,42,"Allison Lipovsky"," 9.8",2017
"43",1348,17158,43,"Carissa Della Vecchia"," 9.8",2023
"44",30220,2506,44,"Paige Austin"," 9.8",2022
"45",947,28074,45,"Jalissa Gum"," 9.7",2016
"46",1328,67959,46,"Lexie Storrer"," 9.7",2021
"47",1266,1581,47,"Meghan Anderson"," 9.7",2022
"48",197,77961,48,"Katie Zaun"," 9.7",2022
"49",1348,17158,49,"Carissa Della Vecchia"," 9.7",2022
"50",30058,51406,50,"Tiaria Norman"," 9.6",2016
"51",1001,71610,51,"Carley Tysinger"," 9.6",2016
"52",1448,36219,52,"Anna Kasner"," 9.6",2021
"53",436,70293,53,"Andee Tiffee"," 9.6",2019
"54",9004,22781,54,"Samantha Fohrman"," 9.6",2021
"55",30193,29187,55,"Erin Harden"," 9.6",2018
"56",3,49710,56,"Ally Muller"," 9.6",2021
"57",56,18408,57,"Payton Doiron"," 9.5",2023
"58",54,44625,58,"Jenna Massingill"," 9.5",2016
"59",436,70293,59,"Andee Tiffee"," 9.5",2018
"60",30202,35573,60,"Kayleigh Jones"," 9.4",2023
"61",427,18266,61,"Lauren Dixon"," 9.4",2023
"62",1072,32865,62,"Hannah Houge"," 9.4",2021
"63",25,43944,63,"Brandy Marlett"," 9.4",2017
"64",30221,49641,64,"Ellie Muilenburg"," 9.3",2021
"65",427,18266,65,"Lauren Dixon"," 9.3",2022
"66",30193,29187,66,"Erin Harden"," 9.3",2016
