"","team_id","player_id","rank","player","sb","season"
"1",499,58455,1,"Christa Reisinger",60,2019
"2",1460,9464,1,"Rosa'lynn Burton",60,2019
"3",291,32384,3,"Hanna Holland",59,2016
"4",181,69390,4,"Kassidy Tally",57,2016
"5",422,75304,5,"Nyia Westbrook",56,2023
"6",55,46643,6,"Taylor Mcneal",53,2023
"7",70,19400,7,"Coreena Dunham",52,2024
"8",25,40946,8,"Ashlyn Lerma",51,2023
"9",197,30347,8,"Kaylee Hazewski",51,2019
"10",1238,19280,8,"Darbi Duke",51,2018
"11",765,47124,11,"Madison Melvin",50,2022
"12",30002,52288,11,"Makray Odom",50,2019
"13",11740,33135,13,"Teala Howard",49,2019
"14",174,49151,14,"Sharon Morales",48,2024
"15",584,71464,14,"Ashley Troutman",48,2023
"16",30002,59835,14,"Lenna Robinson",48,2022
"17",358,25811,17,"Kelsie Gilliam",47,2023
"18",9081,29754,17,"Carlie Hart",47,2019
"19",11416,43866,17,"Maggie Manwarren",47,2018
"20",30050,12356,17,"Carly Chovanec",47,2022
"21",25,40946,21,"Ashlyn Lerma",46,2022
"22",30002,1692,21,"Kendall Andrews",46,2024
"23",95,24819,23,"Cailin Garmon",45,2017
"24",696,36818,23,"Loren Kelly",45,2022
"25",1460,9464,23,"Rosa'lynn Burton",45,2017
"26",9004,41541,23,"Taylor Lipkins",45,2023
"27",333,16227,27,"Meredith Daunhauer",44,2017
"28",1245,14058,27,"Courtlynn Cooney",44,2022
"29",30002,7557,27,"Ansley Brantley",44,2016
"30",427,63125,30,"Hannah Schmoll",43,2018
"31",628,11457,30,"Michelle Castro",43,2018
"32",30028,66038,30,"Jt Smith",43,2023
"33",13,33826,33,"Madison Hurt",42,2024
"34",339,36613,33,"Sara Keeny",42,2019
"35",499,58455,33,"Christa Reisinger",42,2016
"36",701,21547,33,"Tealey Farquhar",42,2016
"37",1460,9464,33,"Rosa'lynn Burton",42,2018
"38",30058,28695,33,"Chelsea Hall",42,2016
"39",70,21149,39,"Kayla Evans",41,2023
"40",383,53224,39,"Mckenzie Paap",41,2017
"41",422,68519,39,"Kirsten Stroud",41,2022
"42",429,70321,39,"Haley Thompson",41,2017
"43",568,11206,39,"Jessi Case",41,2023
"44",765,47124,39,"Madison Melvin",41,2024
"45",1371,65233,39,"Jessica Simmons",41,2016
"46",1371,64807,39,"Symphoni Shomo",41,2019
"47",11403,21514,39,"Hanna Farmer",41,2019
"48",30093,2629,39,"Olivia Aycock",41,2019
"49",30119,37883,39,"Taylor Kline",41,2016
"50",30191,32592,39,"Macy Holt",41,2024
"51",55,5587,51,"Brianna Billie",40,2018
"52",291,29630,51,"Micaela Harris",40,2023
"53",383,53224,51,"Mckenzie Paap",40,2019
"54",422,45858,51,"Victoria Mcdaniel",40,2016
"55",422,58354,51,"Erielle Reid",40,2023
"56",584,16437,51,"Jordan Davis",40,2019
"57",1314,2176,51,"Heather Arnett",40,2024
"58",1346,26446,51,"Lauren Gonzales",40,2023
"59",1460,49014,51,"Lexi Moore",40,2023
"60",1460,67976,51,"Tristyn Stewart",40,2024
"61",30013,42297,51,"Kayla Louie",40,2019
"62",30058,28695,51,"Chelsea Hall",40,2017
"63",30058,40550,51,"Lakaylin Lee",40,2016
"64",30138,18447,51,"Jamie Doggendorf",40,2017
"65",10,6664,65,"Shelby Booker",39,2019
"66",291,29630,65,"Micaela Harris",39,2022
"67",333,16227,65,"Meredith Daunhauer",39,2018
"68",422,74483,65,"Davis Watkins",39,2019
"69",427,63125,65,"Hannah Schmoll",39,2016
"70",499,58455,65,"Christa Reisinger",39,2017
"71",568,31205,65,"Melissa Heronema",39,2018
"72",70,13024,72,"Alyssa Cloutier",38,2022
"73",437,13852,72,"Steph Conrade",38,2022
"74",499,58455,72,"Christa Reisinger",38,2018
"75",30002,1692,72,"Kendall Andrews",38,2023
"76",30119,37883,72,"Taylor Kline",38,2017
"77",30119,37883,72,"Taylor Kline",38,2018
"78",103,73374,78,"Nicolette Vizcaino",37,2017
"79",422,46702,78,"Kendruena Mcpherson",37,2016
"80",568,11206,78,"Jessi Case",37,2022
"81",584,25412,78,"Grace Germer",37,2023
"82",765,47124,78,"Madison Melvin",37,2023
"83",20794,65358,78,"Morgan Simpson",37,2023
"84",30118,63405,78,"Mckenzie Schumacher",37,2018
"85",159,66088,85,"Kia Smith",36,2017
"86",429,40538,85,"Katherine Lee",36,2016
"87",598,7113,85,"Brooke Bowlin",36,2019
"88",728,11983,85,"Ari Charles",36,2023
"89",1071,74176,85,"Abbey Ward",36,2023
"90",1245,14058,85,"Courtlynn Cooney",36,2024
"91",9004,5837,85,"Malaya Black",36,2019
"92",11403,21514,85,"Hanna Farmer",36,2018
"93",30002,8338,85,"Jessie Brown",36,2023
"94",30050,3863,85,"Rosie Bartletti",36,2023
"95",49,52356,95,"Kayla Ogle",35,2016
"96",243,25742,95,"Laura Gilford",35,2022
"97",427,63125,95,"Hannah Schmoll",35,2017
"98",608,30434,95,"Rachael Heath",35,2017
"99",1013,60713,95,"Hannah Rose",35,2024
"100",1116,48158,95,"Peyton Mills",35,2019
"101",1123,42142,95,"Marcela Lopez",35,2019
"102",1238,73303,95,"Kelsey Vining",35,2016
"103",1346,26446,95,"Lauren Gonzales",35,2024
"104",2720,27582,95,"Isabel Griego",35,2022
"105",24639,65862,95,"Alexis Smith",35,2022
"106",30125,27115,95,"Jordan Grant",35,2017
"107",30146,35111,95,"Illiana Jimenez",35,2018
