"","team_id","player_id","rank","player","so","season"
"1",383,65173,1,"Coley Ries",476,2017
"2",3,34596,2,"Lindsey Hibbs",397,2023
"3",262,45739,3,"Allison Lipovsky",362,2019
"4",790,59727,4,"Liz Pautz",361,2022
"5",74,9927,5,"Katie Burawski",349,2022
"6",947,30986,6,"Jalissa Gum",345,2017
"7",197,17810,7,"Sarah Davenport",322,2025
"8",8875,65844,8,"Kayla Robins",321,2017
"9",30180,54110,9,"Andrea Morales",317,2022
"10",360,72394,10,"Bekah Slattery",316,2019
"11",383,81816,11,"Mackenzie Ward",315,2021
"12",30052,72824,12,"Kylee Smith",314,2018
"13",383,81816,12,"Mackenzie Ward",314,2022
"14",262,45739,14,"Allison Lipovsky",309,2018
"15",54,85912,15,"Jessica Yost",307,2017
"16",30052,72824,16,"Kylee Smith",301,2019
"17",1170,63330,17,"Lauren Rakes",290,2022
"18",3,34596,17,"Lindsey Hibbs",290,2022
"19",734,64963,19,"Samantha Richards",289,2022
"20",2814,28476,20,"Jaycee Ginter",287,2022
"21",25,48611,21,"Brandy Marlett",285,2017
"22",30202,39312,21,"Kayleigh Jones",285,2023
"23",1116,36981,23,"Autumn Humes",282,2017
"24",30202,39312,24,"Kayleigh Jones",278,2022
"25",701,44485,25,"Alyssa Leblanc",272,2023
"26",30199,57089,26,"Callie Nunes",271,2018
"27",1314,65797,27,"Emmie Robertson",269,2017
"28",291,84087,27,"Maddie Williams",269,2017
"29",995,61898,27,"Sydney Ponto",269,2017
"30",1057,5906,30,"Kristina Bettis",263,2022
"31",10870,67388,31,"Madelayne Ruffner",261,2025
"32",65,73561,32,"Callie Sowers",259,2023
"33",533,27054,33,"Gisselle Garcia",258,2025
"34",30199,57089,34,"Callie Nunes",256,2019
"35",280,67633,35,"Joni Russell",254,2023
"36",1376,66432,36,"Brinson Rogers",252,2025
"37",608,5913,37,"Kayla Betts",250,2023
"38",159,19007,38,"Darby Demarest",247,2019
"39",437,33204,39,"Chelsea Hawks",245,2017
"40",309,72810,40,"Kenzee Smith",244,2022
"41",30058,56879,41,"Tiaria Norman",241,2018
"42",790,41650,42,"Jordyn Kleman",240,2019
"43",436,41331,43,"Carly Kingery",239,2018
"44",30152,9151,44,"Katelyn Brown",238,2018
"45",1072,36301,45,"Hannah Houge",237,2021
"46",309,72810,45,"Kenzee Smith",237,2023
"47",30137,10621,47,"Kelsey Byers",236,2021
"48",383,81816,47,"Mackenzie Ward",236,2019
"49",30052,72824,49,"Kylee Smith",233,2017
"50",30180,54110,50,"Andrea Morales",232,2021
"51",1348,18907,50,"Carissa Della vecchia",232,2022
"52",30138,62932,52,"Ellie Quaethem",231,2023
"53",30221,77106,53,"Mallory Teunissen",230,2018
"54",593,60526,54,"Morgan Perry",226,2019
"55",643,37164,55,"Alexsa Hurd",225,2025
"56",689,20539,55,"Makaleigh Dooley",225,2019
"57",1013,50371,57,"Brianna Mccown",224,2023
"58",309,82093,57,"Hallie Waters",224,2019
"59",790,59727,57,"Liz Pautz",224,2019
"60",734,64963,57,"Samantha Richards",224,2023
"61",1376,76830,57,"Victoria Taylor",224,2018
"62",30180,54110,62,"Andrea Morales",223,2019
"63",30028,28817,63,"Tatum Goff",222,2023
"64",689,20539,64,"Makaleigh Dooley",221,2018
"65",593,60526,64,"Morgan Perry",221,2021
"66",734,64963,64,"Samantha Richards",221,2021
"67",95,43949,67,"Brooke Larsen",220,2022
"68",1009,13360,67,"Jayden Chestnut",220,2017
"69",360,72394,69,"Bekah Slattery",219,2018
"70",1266,1735,70,"Meghan Anderson",218,2022
"71",30050,31341,71,"Ali Haesele",217,2018
"72",533,27054,71,"Gisselle Garcia",217,2022
"73",262,45739,73,"Allison Lipovsky",216,2017
"74",1000,65326,73,"Lacie Rinus",216,2017
"75",427,20143,73,"Lauren Dixon",216,2023
"76",30138,36624,76,"Sami Huck",214,2025
"77",3,55004,77,"Ally Muller",213,2019
"78",1176,26180,77,"Emma Frost",213,2022
"79",790,41650,77,"Jordyn Kleman",213,2021
"80",1000,65326,77,"Lacie Rinus",213,2018
"81",1348,18907,81,"Carissa Della vecchia",211,2023
"82",757,10525,81,"Lyndsay Butler",211,2017
"83",1460,50115,81,"Makayla Mccarthy",211,2018
"84",354,27200,84,"Delaney Garden",210,2025
"85",2814,28476,84,"Jaycee Ginter",210,2023
"86",1098,8426,86,"Holly Brehm",209,2022
"87",9680,1874,86,"Ilona Andringa",209,2018
"88",11403,16325,88,"Kali Crandall",208,2023
"89",1438,1497,88,"Makenzie Amend",208,2022
"90",757,30959,88,"Megan Guitar",208,2019
"91",533,27054,91,"Gisselle Garcia",207,2023
"92",262,4752,91,"Hannah Beatus",207,2023
"93",159,15565,91,"Hannah rose Corbin",207,2023
"94",13028,49732,91,"Laken Maxwell",207,2022
"95",1328,75213,91,"Lexie Storrer",207,2021
"96",30181,8246,91,"Taylor Brandts",207,2018
"97",30154,42428,97,"Nikkie Kovalsky",206,2019
"98",30050,4239,98,"Rosie Bartletti",205,2025
"99",436,77801,99,"Andee Tiffee",204,2019
"100",159,15565,99,"Hannah rose Corbin",204,2021
