"","team_id","player_id","rank","player","xbh","season"
"1",41,40601,1,"Sarah Kennedy",47,2017
"2",11416,35198,2,"Brooke Hodgson",43,2018
"3",2720,14516,3,"Caitlyn Cole",41,2024
"4",11416,72461,3,"Ellie Smith",41,2021
"5",30028,60088,3,"Ashley Perez",41,2018
"6",3,49036,6,"Brenna Martini",40,2017
"7",423,1909,6,"Aleese Angelo",40,2023
"8",41,39605,8,"Maggie Kadrlik",39,2019
"9",262,28624,8,"Lydia Goble",39,2023
"10",767,32152,8,"Ashley Hardin",39,2018
"11",9004,64139,8,"Samantha Reilly",39,2018
"12",757,10495,12,"Lyndsay Butler",38,2016
"13",1009,19196,12,"Emily Deramus",38,2023
"14",1238,21737,12,"Sierra Easterwood",38,2022
"15",1376,28613,12,"Brooke Goad",38,2018
"16",11403,22046,12,"Sami Edwards",38,2022
"17",11416,42287,12,"Makayla Kovac",38,2016
"18",1009,53020,18,"Jacee Minter",37,2022
"19",1009,33360,18,"Jobi Heath",37,2019
"20",1013,1883,18,"Isabella Andujar",37,2024
"21",1170,48288,18,"Julia Mardigian",37,2024
"22",1462,8931,18,"Savanna Brooks",37,2024
"23",11403,52385,18,"Kenzie Middleton",37,2023
"24",767,32152,24,"Ashley Hardin",36,2016
"25",767,55240,24,"Diana Murtha",36,2024
"26",1010,11174,24,"Kailyn Campbell",36,2017
"27",1013,13608,24,"Haleigh Christopher",36,2017
"28",30153,40325,24,"Kaitlyn Kelley",36,2019
"29",41,58924,29,"Mary Pardo",35,2019
"30",155,43842,29,"Clara Larson",35,2018
"31",436,60346,29,"Jennah Perryman",35,2018
"32",638,48649,29,"Hannah Marsteller",35,2023
"33",767,67992,29,"Ruby Salzman",35,2023
"34",1013,9304,29,"Kelly Browning",35,2016
"35",1371,81905,29,"Elexis Watson",35,2018
"36",11403,52385,29,"Kenzie Middleton",35,2022
"37",11416,2461,29,"Myah Arrieta",35,2024
"38",11416,26202,29,"Ava Fugate",35,2024
"39",13028,6847,29,"Kayson Boatner",35,2022
"40",30051,52779,29,"Rikkelle Miller",35,2022
"41",30052,32730,29,"Stephanie Hartness",35,2017
"42",30138,74032,29,"Olivia Stansbury",35,2022
"43",13,49617,43,"Malea Maye",34,2017
"44",41,58924,43,"Mary Pardo",34,2022
"45",280,12590,43,"Sam Catron",34,2021
"46",477,10463,43,"Amber Butenhoff",34,2016
"47",568,48870,43,"Allisha Martinez",34,2022
"48",1071,19494,43,"Alexis Dial",34,2024
"49",1116,17110,43,"Emma Curry",34,2022
"50",1376,28613,43,"Brooke Goad",34,2017
"51",9004,75359,43,"Kaitlyn Stufft",34,2024
"52",10,3663,52,"Kaitlyn Bannister",33,2017
"53",159,15522,52,"Hannah rose Corbin",33,2023
"54",262,28624,52,"Lydia Goble",33,2019
"55",427,72377,52,"Becky Smith",33,2018
"56",429,44524,52,"Mccall Lee",33,2023
"57",767,67992,52,"Ruby Salzman",33,2021
"58",947,65057,52,"Tymber Riley",33,2022
"59",1000,21596,52,"Hayden Dye",33,2024
"60",1097,83995,52,"Zoe Willis",33,2023
"61",1245,22479,52,"Kylie Emanuele",33,2024
"62",1318,81282,52,"Allyson Wallauer",33,2023
