"","team_id","player_id","rank","player","era","season"
"1",257,7773,1,"Brittany Gray",0.479,2018
"2",235,1059,2,"Kelly Barnhill",0.506,2017
"3",651,4102,3,"Georgina Corrick",0.517,2022
"4",428,7975,4,"Sara Groenewegen",0.616,2017
"5",317,7611,5,"Megan Good",0.629,2017
"6",674,2900,6,"Nijaree Canady",0.631,2023
"7",235,7702,7,"Delanie Gourley",0.715,2017
"8",229,8393,8,"Kylee Hanson",0.76,2016
"9",235,15053,9,"Aleshia Ocasio",0.765,2016
"10",391,4056,10,"Courtney Coppersmith",0.784,2022
"11",235,7702,11,"Delanie Gourley",0.799,2016
"12",522,15509,12,"Paige Parker",0.821,2018
"13",694,17326,13,"Ashley Rogers",0.828,2023
"14",487,7118,14,"Megan Garst",0.842,2019
"15",128,20596,15,"Shelby Turnier",0.874,2015
"16",189,14732,16,"Nicole Newman",0.888,2018
"17",522,13021,17,"Nicole May",0.913,2023
"18",391,4056,18,"Courtney Coppersmith",0.927,2021
"19",317,7611,19,"Megan Good",0.941,2016
"20",128,725,20,"Mackenzie Audas",0.948,2015
"21",331,10227,21,"Emma Johnson",0.953,2015
"22",96,5263,22,"Hailey Dolcini",0.969,2021
"23",110,7044,23,"Rachel Garcia",0.978,2019
"24",651,4102,24,"Georgina Corrick",0.981,2021
"25",772,11193,25,"Miranda Kramer",0.985,2015
"26",522,835,26,"Jordyn Bahl",0.995,2022
"27",391,12969,27,"Kya Matter",1.009,2022
"28",756,16064,28,"Gabbie Plain",1.01,2018
"29",522,835,28,"Jordyn Bahl",1.01,2023
"30",317,7611,30,"Megan Good",1.014,2015
"31",600,20912,31,"Grace Vesco",1.016,2021
"32",317,6581,32,"Jailyn Ford",1.027,2016
"33",108,22356,33,"Brooke Yanez",1.032,2019
"34",68,5458,34,"Ali Dubois",1.054,2021
"35",418,19528,35,"Alex Storako",1.055,2021
"36",235,1059,36,"Kelly Barnhill",1.078,2018
"37",676,21800,36,"Kassidy Wilbur",1.078,2021
"38",671,5851,38,"Summer Ellyson",1.082,2019
"39",519,5345,39,"Savannah jo Dorsey",1.083,2017
"40",315,7354,40,"Whitney Gillespie",1.088,2016
"41",402,19882,41,"Whitney Tate",1.093,2023
"42",10411,1573,42,"Christina Biggerstaff",1.094,2019
"43",90,9811,43,"Sierra Hyland",1.095,2017
"44",189,14732,44,"Nicole Newman",1.109,2019
"45",388,14696,45,"Sydney Nester",1.112,2023
"46",110,6159,46,"Megan Faraimo",1.119,2021
"47",464,13696,47,"Kamryn Meyer",1.134,2022
"48",234,17837,48,"Kathryn Sandercock",1.139,2023
"49",651,4102,49,"Georgina Corrick",1.143,2019
"50",1004,1260,50,"Kayla Beaver",1.145,2023
"51",288,8793,51,"Savannah Heebner",1.149,2018
"52",454,10003,52,"Hannah James",1.153,2022
"53",28755,16562,53,"Riley Randolph",1.156,2019
"54",418,1253,54,"Meghan Beaubien",1.161,2018
"55",147,2761,55,"Valerie Cagle",1.163,2021
"56",234,10895,56,"Meghan King",1.167,2018
"57",365,21210,57,"Allie Walljasper",1.173,2018
"58",189,18917,58,"Kailee Smith",1.184,2018
"59",317,277,59,"Odicci Alexander",1.186,2021
"60",90,9811,60,"Sierra Hyland",1.189,2016
"61",29,15033,60,"Danielle O'toole",1.189,2017
"62",365,9430,60,"Carley Hoover",1.189,2017
"63",529,5801,63,"Miranda Elish",1.2,2018
"64",8,15261,64,"Alexis Osorio",1.207,2017
"65",355,5175,65,"Julia Dimartino",1.21,2019
"66",670,17614,66,"Randi Rupp",1.217,2017
"67",28,10492,66,"Giselle Juarez",1.217,2018
"68",234,2647,68,"Jessica Burroughs",1.221,2017
"69",529,913,69,"Maggie Balint",1.222,2017
"70",235,8178,70,"Lauren Haeger",1.235,2015
"71",742,17222,71,"Keely Rochard",1.239,2021
"72",110,6159,72,"Megan Faraimo",1.243,2019
"73",352,1197,73,"Emily Bausher",1.244,2015
"74",719,21390,74,"Emily Watson",1.249,2017
"75",522,12192,74,"Mariah Lopez",1.249,2019
"76",454,10003,76,"Hannah James",1.254,2023
"77",670,17614,77,"Randi Rupp",1.257,2018
"78",464,13696,77,"Kamryn Meyer",1.257,2023
"79",454,20853,79,"Jenna Veber",1.261,2022
"80",732,21014,80,"Miranda Viramontes",1.271,2017
"81",428,6394,81,"Amber Fiser",1.272,2019
"82",521,13013,81,"Kelly Maxwell",1.272,2022
"83",756,16064,83,"Gabbie Plain",1.276,2019
"84",193,21240,84,"Shelby Walters",1.28,2021
"85",522,10492,85,"Giselle Juarez",1.282,2019
"86",418,1253,86,"Meghan Beaubien",1.283,2021
"87",110,7044,87,"Rachel Garcia",1.285,2021
"88",110,6159,88,"Megan Faraimo",1.289,2023
"89",68,1790,89,"Allison Boaz",1.301,2023
"90",756,401,90,"Taran Alvelo",1.303,2018
"91",234,17837,91,"Kathryn Sandercock",1.305,2021
"92",37,15732,92,"Maddie Penta",1.31,2023
"93",8,12051,93,"Sydney Littlejohn",1.312,2017
"94",110,7044,93,"Rachel Garcia",1.312,2018
"95",315,7354,95,"Whitney Gillespie",1.315,2017
"96",386,15950,95,"Calista Phippen",1.315,2019
"97",68,5458,97,"Ali Dubois",1.319,2019
"98",529,10986,98,"Megan Kleist",1.32,2017
"99",694,17326,99,"Ashley Rogers",1.321,2021
"100",529,10986,100,"Megan Kleist",1.325,2018
