"","team_id","player_id","rank","player","h","season"
"1",149,6572,1,"Taty Forbes",104,2016
"2",782,13379,2,"Sydney Mckinney",103,2023
"3",334,11172,3,"Kayla Kowalik",100,2021
"4",312,3116,3,"Nia Carter",100,2023
"5",235,19445,5,"Kelsey Stewart",99,2015
"6",37,9556,6,"Tiffany Howard",96,2016
"7",1092,1899,7,"Andria Booth",94,2018
"8",650,13914,8,"Yvon Minogue",93,2015
"9",110,1393,8,"Allexis Bennett",93,2015
"10",433,4203,8,"Elantra Cox",93,2017
"11",782,13379,8,"Sydney Mckinney",93,2022
"12",758,17763,12,"Takesha Saltern",92,2017
"13",365,11464,12,"Bailey Landry",92,2017
"14",68,17404,12,"Kayla Roncin",92,2023
"15",257,5863,15,"Cortni Emanuel",91,2018
"16",522,10121,15,"Tiare Jennings",91,2021
"17",625,13056,17,"Shelby Maze",90,2017
"18",178,7180,18,"Nicole Gazzola",89,2016
"19",51,21165,18,"Kyla Walker",89,2017
"20",711,18239,18,"Kendyl Scott",89,2018
"21",388,22544,21,"Morgan Zerkle",88,2015
"22",513,21625,21,"Karley Wester",88,2016
"23",51,18260,21,"Jessica Scroggins",88,2018
"24",365,11464,24,"Bailey Landry",87,2015
"25",2711,15729,24,"Navia Penrod",87,2017
"26",522,17396,24,"Sydney Romero",87,2019
"27",522,360,24,"Jocelyn Alo",87,2021
"28",782,13379,24,"Sydney Mckinney",87,2021
"29",671,2444,24,"Ciara Bryan",87,2021
"30",625,5383,30,"Megan Dowdy",86,2015
"31",37,9556,30,"Tiffany Howard",86,2015
"32",655,11372,30,"Katie Lacour",86,2015
"33",388,7844,30,"Kaelynn Greene",86,2016
"34",149,3498,30,"Bri Chiusano",86,2016
"35",110,15766,30,"Kylee Perez",86,2017
"36",702,4472,30,"Laura Curry",86,2019
"37",402,13122,30,"Justyce Mcclain",86,2019
"38",254,5411,38,"Ivie Drake",85,2015
"39",37,3022,38,"Emily Carosone",85,2015
"40",648,15373,38,"Alaynie Page",85,2015
"41",414,12763,38,"Tiyona Marshall",85,2015
"42",257,5866,38,"Sydni Emanuel",85,2017
"43",402,13122,38,"Justyce Mcclain",85,2018
"44",513,21624,38,"Ali Wester",85,2019
"45",703,10071,38,"Janae Jefferson",85,2022
"46",235,6137,38,"Kendra Falby",85,2022
"47",175,18188,38,"Emma Schutter",85,2023
"48",317,6322,48,"Erica Field",84,2015
"49",513,21625,48,"Karley Wester",84,2015
"50",110,10450,48,"Aaliyah Jordan",84,2018
"51",365,1330,51,"Bianka Bell",83,2015
"52",96,14317,51,"Brenna Moss",83,2015
"53",107,9931,51,"Jazmyn Jackson",83,2015
"54",404,4356,51,"Lindsay Crowdus",83,2017
"55",355,1620,51,"Amber Bishop",83,2017
"56",51,2982,51,"Lindsey Cargill",83,2017
"57",249,11497,51,"Sierra Lange",83,2019
"58",366,17689,51,"Sierra Sacco",83,2022
"59",147,2760,51,"Valerie Cagle",83,2023
"60",463,11044,60,"Mj Knighten",82,2015
"61",115,14690,60,"Ericka Nesbitt",82,2015
"62",8,20574,60,"Demi Turner",82,2015
"63",522,13803,60,"Erin Miller",82,2016
"64",625,5383,60,"Megan Dowdy",82,2016
"65",257,5863,60,"Cortni Emanuel",82,2016
"66",107,9931,60,"Jazmyn Jackson",82,2016
"67",498,13350,60,"Sydney Mckay",82,2017
"68",202,14464,60,"Paige Murphy",82,2018
"69",694,11670,60,"Aubrey Leach",82,2018
"70",433,1280,60,"Kylan Becker",82,2019
"71",563,6407,60,"Sydney Fisher",82,2019
"72",311,21933,60,"Sami Williams",82,2021
"73",30024,3044,60,"Madison Carr",82,2022
"74",418,3535,74,"Kelly Christner",81,2015
"75",346,17265,74,"Brittany Rodriguez",81,2017
"76",521,18545,74,"Vanessa Shippy",81,2018
"77",234,18511,74,"Sydney Sherrill",81,2018
"78",301,18507,74,"Kiana Sherlund",81,2018
"79",110,15753,74,"Briana Perez",81,2018
"80",110,15766,74,"Kylee Perez",81,2018
"81",654,491,74,"Rachel Anderson",81,2019
"82",311,21933,74,"Sami Williams",81,2019
"83",302,21415,74,"Lexi Watts",81,2019
"84",522,360,74,"Jocelyn Alo",81,2022
"85",31,7288,74,"Danielle Gibson",81,2022
"86",68,17404,74,"Kayla Roncin",81,2022
"87",521,1284,74,"Rachel Becker",81,2023
"88",493,7005,88,"Cheyenne Garcia",80,2015
"89",9,718,88,"Caitlin Attfield",80,2015
"90",257,5866,88,"Sydni Emanuel",80,2015
"91",97,17268,88,"Courtney Rodriguez",80,2015
"92",522,17396,88,"Sydney Romero",80,2017
"93",257,5863,88,"Cortni Emanuel",80,2017
"94",191,17618,88,"Linda Rush",80,2019
"95",317,7659,88,"Kate Gordon",80,2019
"96",110,14790,88,"Bubba Nickles",80,2019
"97",97,4927,88,"Megan Delgadillo",80,2022
"98",193,10111,88,"D'auna Jennings",80,2023
"99",418,17395,99,"Sierra Romero",79,2015
"100",626,10458,99,"Kayla Jordan",79,2015
"101",294,2620,99,"Kacie Burnett",79,2015
"102",630,12466,99,"Jessica Madrid",79,2015
"103",311,7518,99,"Brittany Gomez",79,2015
"104",406,13858,99,"Taylor Miller",79,2015
"105",37,4034,99,"Kasey Cooper",79,2016
"106",704,3669,99,"Courtney Clayton",79,2016
"107",294,2620,99,"Kacie Burnett",79,2016
"108",725,13184,99,"Kasey Mccravey",79,2016
"109",111,16887,99,"Madeline Richard",79,2016
"110",406,13858,99,"Taylor Miller",79,2016
"111",388,22544,99,"Morgan Zerkle",79,2017
"112",302,21415,99,"Lexi Watts",79,2017
"113",317,20301,99,"Morgan Tolle",79,2018
"114",404,20476,99,"Kyler Trosclair klatt",79,2018
"115",191,5176,99,"Kristi Dimeo",79,2019
"116",600,17680,99,"Mekenzie Saban",79,2019
"117",110,15753,99,"Briana Perez",79,2019
"118",434,21994,99,"Brooke Wilmes",79,2021
"119",363,16152,99,"Jaden Pone",79,2022
"120",334,11172,99,"Kayla Kowalik",79,2023
"121",388,3809,99,"Alex Coleman",79,2023
"122",31,10301,99,"Reagan Johnson",79,2023
"123",352,1006,99,"Carley Barjaktarovich",79,2023
