"","team_id","player_id","rank","player","hr_a","season"
"1",725,19247,1,"Courtney Springman",0,2018
"2",28755,13665,1,"Marissa Mesiemore",0,2019
"3",2711,3660,1,"Morgan Clausen",0,2022
"4",153,9833,4,"Brigit Ieuter",1,2015
"5",639,2710,4,"Laura Butts",1,2015
"6",302,6699,4,"Karissa Frazier",1,2017
"7",639,2710,4,"Laura Butts",1,2018
"8",257,7773,4,"Brittany Gray",1,2018
"9",10411,9126,4,"Erin Hill",1,2019
"10",554,11599,4,"Alexis Laudenslager",1,2022
"11",193,22274,4,"Jala Wright",1,2022
"12",148,11043,12,"Susan Knight",2,2015
"13",454,17181,12,"Mason Robinson",2,2015
"14",508,1972,12,"Micaela Bouvier",2,2015
"15",352,2856,12,"Christine Campbell",2,2015
"16",14,19050,12,"Erynn Sobieski",2,2015
"17",28755,21092,12,"Taylor Wade",2,2017
"18",639,2710,12,"Laura Butts",2,2017
"19",178,18520,12,"Hannah Shields",2,2017
"20",732,21014,12,"Miranda Viramontes",2,2017
"21",249,4134,12,"Sarah Costlow",2,2018
"22",649,3909,12,"Kendra Conard",2,2019
"23",813,10145,12,"Terra Jerpbak",2,2019
"24",6,8372,12,"Lisabelle Hansell",2,2019
"25",2711,617,12,"Halle Arends",2,2021
"26",497,21179,12,"Georgia Wall",2,2021
"27",368,21717,12,"Ryley White",2,2022
"28",87,7758,12,"Alyssa Graves",2,2022
"29",817,9569,12,"Sophie Howell",2,2023
"30",1014,11794,12,"Payton Lemire",2,2023
"31",639,5772,12,"Alissa Eimont",2,2023
"32",47,17644,12,"Angelina Russo",2,2023
"33",180,19803,33,"Carolyn Szymanski",3,2015
"34",693,10111,33,"Cori Jennings",3,2015
"35",37,12792,33,"Makayla Martin",3,2017
"36",725,16109,33,"Renee Poirier",3,2017
"37",381,12934,33,"Briana Matazinsky",3,2017
"38",725,18865,33,"Caroline Smith",3,2017
"39",697,8492,33,"Trinity Harrington",3,2017
"40",302,20496,33,"Allie Trudeau",3,2017
"41",402,6491,33,"Alexsandra Flores",3,2017
"42",77,8854,33,"Arissa Henderson",3,2017
"43",430,21265,33,"Holly Ward",3,2018
"44",514,22538,33,"Haley Zemmer",3,2018
"45",37,12792,33,"Makayla Martin",3,2018
"46",236,16596,33,"Paige Rauch",3,2018
"47",102,4100,33,"Savanna Corr",3,2018
"48",576,15161,33,"Emily Oltman",3,2018
"49",184,13005,33,"Ashley Mauser",3,2019
"50",2711,12993,33,"Sydney Matzko",3,2019
"51",665,10000,33,"Aubrion James",3,2019
"52",488,21081,33,"Zadaisha Waddell",3,2019
"53",600,20912,33,"Grace Vesco",3,2021
"54",193,21240,33,"Shelby Walters",3,2021
"55",494,10390,33,"Jannay Jones",3,2021
"56",153,13942,33,"Bailey Misken",3,2022
"57",522,835,33,"Jordyn Bahl",3,2022
"58",432,15377,33,"Daisy Page",3,2022
"59",310,16972,33,"Samantha Rieb",3,2022
"60",639,6428,33,"Ava Fitzmaurice",3,2022
"61",554,1714,33,"Ali Blanchard",3,2022
"62",1014,11794,33,"Payton Lemire",3,2022
"63",285,22468,33,"Megan Yurchick",3,2023
"64",639,6428,33,"Ava Fitzmaurice",3,2023
"65",562,7586,33,"Jaclyn Gonzalez",3,2023
"66",270,6071,33,"Jada Evans",3,2023
"67",610,20827,33,"Odhi Vasquez",3,2023
"68",97,16466,33,"Haley Rainey",3,2023
"69",236,1297,33,"Holly Beeman",3,2023
"70",725,18865,70,"Caroline Smith",4,2015
"71",444,7999,70,"Mackenzie Grossman",4,2015
"72",275,16867,70,"Laura Ricciardone",4,2015
"73",156,8492,70,"Trinity Harrington",4,2015
"74",627,8958,70,"Grace Hernandez",4,2015
"75",651,14955,70,"Erica Nunn",4,2015
"76",315,7354,70,"Whitney Gillespie",4,2017
"77",441,9413,70,"Michaela Hood",4,2017
"78",288,8793,70,"Savannah Heebner",4,2017
"79",235,7702,70,"Delanie Gourley",4,2017
"80",694,656,70,"Caylan Arnold",4,2017
"81",68,194,70,"Makinna Akers",4,2017
"82",346,14572,70,"Laura Napoli",4,2017
"83",275,5537,70,"Kathleen Duncan",4,2017
"84",1104,148,70,"Brianna Aguilar",4,2017
"85",1320,3982,70,"Alex Cook",4,2017
"86",231,11279,70,"Megan Kugelmann",4,2017
"87",697,18939,70,"Lexi Smith",4,2017
"88",699,6832,70,"Jasmine Fulmore",4,2017
"89",315,18706,70,"Faith Sims",4,2018
"90",316,1591,70,"Alyssa Bilodeau",4,2018
"91",742,5668,70,"Carrie Eberle",4,2018
"92",446,1301,70,"Amy Begg",4,2018
"93",189,14732,70,"Nicole Newman",4,2018
"94",302,20496,70,"Allie Trudeau",4,2018
"95",380,10732,70,"Annie Kennedy",4,2018
"96",665,10000,70,"Aubrion James",4,2018
"97",735,8001,70,"Mackenzie Grossmann",4,2018
"98",485,8226,70,"Hunter Halford",4,2018
"99",508,2384,70,"Mikayla Brown",4,2018
"100",627,1897,70,"Hannah Boos",4,2018
"101",460,11802,70,"Haley Lenderman",4,2018
"102",108,22356,70,"Brooke Yanez",4,2019
"103",28755,16562,70,"Riley Randolph",4,2019
"104",487,7118,70,"Megan Garst",4,2019
"105",355,3178,70,"Chase Cassady",4,2019
"106",287,8076,70,"Emma Guindon",4,2019
"107",99,3812,70,"Ashley Coleman",4,2019
"108",83,11935,70,"Lauren Lichtenwalner",4,2019
"109",158,2901,70,"Madison Canby",4,2019
"110",699,16806,70,"Naomi Reyes",4,2019
"111",418,1253,70,"Meghan Beaubien",4,2021
"112",562,22130,70,"Julia Woeste",4,2021
"113",817,12350,70,"Maddi Lusk",4,2021
"114",2711,3660,70,"Morgan Clausen",4,2021
"115",600,12739,70,"Rachel Marsden",4,2021
"116",419,906,70,"Amber Baldwin",4,2021
"117",112,21250,70,"Robyn Wampler",4,2021
"118",683,16457,70,"Melissa Rahrich",4,2021
"119",416,13786,70,"Ashley Miller",4,2022
"120",758,8854,70,"Arissa Henderson",4,2022
"121",485,17157,70,"Alexis Robinson",4,2022
"122",26172,7325,70,"Grace Gilbert",4,2022
"123",51,1598,70,"Aliyah Binford",4,2022
"124",314,9146,70,"Takiya Hill",4,2022
"125",158,9133,70,"Jordan Hill",4,2022
"126",460,8302,70,"Kara Hammock",4,2022
"127",596,15927,70,"Emily Phelan",4,2022
"128",402,19882,70,"Whitney Tate",4,2023
"129",600,20912,70,"Grace Vesco",4,2023
"130",600,12739,70,"Rachel Marsden",4,2023
"131",108,2361,70,"Kenedi Brown",4,2023
"132",630,20631,70,"Jenessa Ullegue",4,2023
"133",201,16282,70,"Olivia Price",4,2023
"134",392,18082,70,"Trinity Schlotterbeck",4,2023
"135",367,17216,70,"Taylor Roby",4,2023
"136",695,5428,70,"Katie Dreiling",4,2023
"137",655,1717,70,"Cera Blanchard",4,2023
"138",771,16278,70,"Emily Price",4,2023
"139",6,18250,70,"Paige Scott",4,2023
"140",494,229,70,"Jackie Albrecht",4,2023
"141",2699,2461,70,"Madison Bryant",4,2023
"142",17,20852,70,"Alexa Veamoi",4,2023
