"","team_id","player_id","rank","player","hr","season"
"1",522,360,1,"Jocelyn Alo",34,2021
"2",782,1025,2,"Addison Barnard",33,2022
"3",671,5806,3,"Lexie Elkins",32,2015
"4",522,360,3,"Jocelyn Alo",32,2022
"5",522,360,5,"Jocelyn Alo",30,2018
"6",671,17846,6,"Dj Sanders",29,2017
"7",29,8459,7,"Jessie Harper",28,2019
"8",414,19147,7,"Karli Spaid",28,2022
"9",363,937,9,"Megan Baltzell",27,2015
"10",522,10121,9,"Tiare Jennings",27,2021
"11",8,8847,11,"Bailey Hemphill",26,2019
"12",430,4663,11,"Mia Davidson",26,2019
"13",29,12995,13,"Katiyana Mauga",25,2015
"14",472,9484,13,"Kelsey Horton",25,2018
"15",697,11717,13,"Haley Lee",25,2021
"16",31,2637,13,"Braxton Burnside",25,2021
"17",522,10121,13,"Tiare Jennings",25,2022
"18",694,13872,13,"Kiki Milloy",25,2023
"19",522,15718,19,"Shelby Pendley",24,2015
"20",148,22193,19,"Cynthia Woodard",24,2015
"21",48,3526,19,"Marci Christian",24,2015
"22",457,2364,19,"Kristen Brown",24,2015
"23",472,6360,19,"Fiana Finau",24,2015
"24",522,8378,19,"Kinzie Hansen",24,2021
"25",756,10998,19,"Baylee Klingler",24,2022
"26",458,20786,19,"Bailey Vannoy",24,2022
"27",29,18757,19,"Allie Skaggs",24,2022
"28",522,3335,28,"Lauren Chamberlain",23,2015
"29",10411,17190,28,"Shellie Robinson",23,2015
"30",149,14849,28,"Morgan Noad",23,2016
"31",257,9871,28,"Tina Iosefa",23,2016
"32",234,21318,28,"Jessie Warren",23,2017
"33",1092,16253,28,"Katie Prebble",23,2018
"34",257,5117,28,"Alyssa Dicarlo",23,2019
"35",317,7659,28,"Kate Gordon",23,2019
"36",756,6510,28,"Morganne Flores",23,2019
"37",509,11909,28,"Rachel Lewis",23,2022
"38",306,10770,28,"Taryn Kern",23,2023
"39",367,17215,28,"Taylor Roby",23,2023
"40",418,17395,40,"Sierra Romero",22,2015
"41",254,5411,40,"Ivie Drake",22,2015
"42",587,1157,40,"Jackie Bates",22,2015
"43",257,9684,40,"Alex Hugo",22,2015
"44",149,14849,40,"Morgan Noad",22,2015
"45",29,7613,40,"Chelsea Goodacre",22,2015
"46",402,15953,40,"Erika Piancastelli",22,2016
"47",29,12995,40,"Katiyana Mauga",22,2017
"48",254,12051,40,"Megan Litumbe",22,2017
"49",600,18346,40,"Jordan Seneca",22,2017
"50",202,14464,40,"Paige Murphy",22,2018
"51",402,15953,40,"Erika Piancastelli",22,2018
"52",10411,15034,40,"Alyssa Oakes",22,2019
"53",191,17618,40,"Linda Rush",22,2019
"54",29,14380,40,"Dejah Mulipola",22,2019
"55",430,11778,40,"Ulufa Leilua",22,2019
"56",504,2551,40,"Sammey Bunch",22,2021
"57",782,1025,40,"Addison Barnard",22,2021
"58",430,4663,40,"Mia Davidson",22,2022
"59",522,12399,40,"Grace Lyons",22,2022
"60",31,12558,40,"Linnie Malkin",22,2022
"61",414,19147,40,"Karli Spaid",22,2023
"62",418,3535,62,"Kelly Christner",21,2015
"63",254,12051,62,"Megan Litumbe",21,2015
"64",37,4034,62,"Kasey Cooper",21,2016
"65",756,145,62,"Ali Aguilar",21,2016
"66",463,11044,62,"Mj Knighten",21,2016
"67",29,12995,62,"Katiyana Mauga",21,2016
"68",457,12385,62,"Kendra Lynch",21,2017
"69",234,21318,62,"Jessie Warren",21,2018
"70",257,5117,62,"Alyssa Dicarlo",21,2018
"71",311,21933,62,"Sami Williams",21,2021
"72",29,14380,62,"Dejah Mulipola",21,2021
"73",317,7659,62,"Kate Gordon",21,2021
"74",782,15803,62,"Madison Perrigan",21,2021
"75",28,17845,62,"Cydney Sanders",21,2022
"76",31,8783,62,"Rylin Hedgecock",21,2023
"77",1104,6337,62,"Kristin Fifield",21,2023
"78",294,6889,78,"Vicky Galasso",20,2015
"79",110,19167,78,"Delaney Spaulding",20,2015
"80",635,21142,78,"Alexis Walkden",20,2015
"81",697,20942,78,"Tori Vidales",20,2015
"82",110,11556,78,"Stephany Larosa",20,2015
"83",8,17610,78,"Marisa Runyon",20,2015
"84",503,14537,78,"Emily Naegele",20,2016
"85",234,21318,78,"Jessie Warren",20,2016
"86",37,16854,78,"Jade Rhodes",20,2016
"87",464,21324,78,"Nicole Warren",20,2016
"88",428,11977,78,"Kendyl Lindaman",20,2017
"89",700,8588,78,"Jessica Hartwell",20,2018
"90",428,11977,78,"Kendyl Lindaman",20,2018
"91",518,16028,78,"Lilli Piper",20,2018
"92",513,2277,78,"Cait Brooks",20,2019
"93",249,3916,78,"Jenna Cone",20,2019
"94",37,20849,78,"Kendall Veach",20,2019
"95",28,8164,78,"Maddi Hackbarth",20,2021
"96",77,10136,78,"Rylee Jensen",20,2021
"97",430,11778,78,"Ulufa Leilua",20,2021
"98",31,7288,78,"Danielle Gibson",20,2022
"99",388,16382,78,"Saige Pye",20,2022
"100",29,15392,78,"Sharlize Palacios",20,2022
"101",37,5830,78,"Bri Ellis",20,2022
"102",463,520,78,"Billie Andrews",20,2022
