"","team_id","player_id","rank","player","ip","season"
"1",626,17387,1,"Erica Romero",318.2,2015
"2",457,12386,2,"Kendra Lynch",301.1,2016
"3",457,15963,3,"Brittany Pickett",299.2,2018
"4",493,18369,4,"Jacquelyn Sertic",292.1,2017
"5",490,21511,5,"Emily Weiman",283.1,2015
"6",388,5216,6,"Jordan Dixon",280.2,2017
"7",235,1059,7,"Kelly Barnhill",280,2019
"8",670,17614,8,"Randi Rupp",278.1,2018
"9",388,5216,9,"Jordan Dixon",276,2015
"10",651,4102,10,"Georgina Corrick",270.2,2022
"11",388,5216,11,"Jordan Dixon",268.1,2016
"12",5,18321,12,"Erin Seiler",266.2,2016
"13",128,21677,12,"Alea White",266.2,2018
"14",493,13619,14,"Krista Menke",266,2015
"15",671,5851,15,"Summer Ellyson",265.1,2019
"16",670,17614,16,"Randi Rupp",265,2016
"17",249,11498,16,"Sierra Lange",265,2019
"18",414,16247,16,"Brianna Pratt",265,2023
"19",670,17614,19,"Randi Rupp",264.2,2017
"20",5,18321,20,"Erin Seiler",264.1,2015
"21",439,9879,21,"Alyssa Irons",262.1,2019
"22",90,9811,22,"Sierra Hyland",262,2017
"23",355,10643,23,"Karlie Keeney",259.1,2023
"24",244,1479,24,"Lindsey Bert",259,2018
"25",77,2532,25,"Mckenna Bull",257.1,2015
"26",90,9811,25,"Sierra Hyland",257.1,2015
"27",127,13671,25,"Laura Messina",257.1,2015
"28",111,16142,28,"Chelsea Ponce",256.2,2015
"29",77,2532,28,"Mckenna Bull",256.2,2016
"30",600,20396,30,"Abby Trahan",255.2,2018
"31",96,5546,31,"Kamalani Dung",254.1,2017
"32",756,401,32,"Taran Alvelo",254,2017
"33",522,15509,33,"Paige Parker",252.1,2016
"34",71,7697,34,"Payton Gottshall",250.2,2022
"35",61,543,35,"Sabrina Anguiano",250,2015
"36",244,1479,35,"Lindsey Bert",250,2015
"37",312,19320,35,"Shayla Starkenburg",250,2015
"38",433,11726,38,"Kaitlin Lee",249.2,2017
"39",459,18249,39,"Morgan Scott",249,2022
"40",439,16996,40,"Amanda Riley",248.1,2017
"41",428,6394,41,"Amber Fiser",247.2,2019
"42",388,20296,42,"Abigail Tolbert",247,2019
"43",719,21390,43,"Emily Watson",246.2,2017
"44",31,14029,44,"Grace Moll",244.2,2016
"45",317,7611,44,"Megan Good",244.2,2017
"46",428,6394,46,"Amber Fiser",244.1,2018
"47",255,469,47,"Emily Anderson",244,2018
"48",483,11468,48,"Megan Landry",243.3,2019
"49",10411,18579,49,"Lexi Shubert",243,2015
"50",559,6211,50,"Lilly Fecho",242.2,2015
"51",96,3905,51,"Jillian Compton",242.1,2015
"52",670,17614,51,"Randi Rupp",242.1,2015
"53",529,4544,51,"Jordan Dail",242.1,2019
"54",742,20615,54,"Maggie Tyler",242,2016
"55",772,11193,55,"Miranda Kramer",241.2,2015
"56",128,20596,55,"Shelby Turnier",241.2,2016
"57",563,14275,55,"Abby Morrow",241.2,2016
"58",1004,7534,55,"Kayla Gomness",241.2,2017
"59",509,21878,59,"Danielle Williams",241,2022
"60",458,1506,60,"Lexi Betancourt",240.2,2015
"61",346,12326,61,"Ciara Luna",240.1,2017
"62",110,2968,62,"Ally Carda",240,2015
"63",400,3840,62,"Meg Colleran",240,2016
"64",301,22156,64,"Breanna Wonderly",239.2,2017
"65",331,11381,65,"Ronnie Ladines",238,2017
"66",702,3584,65,"Samantha Clakley",238,2017
"67",671,5851,65,"Summer Ellyson",238,2018
"68",257,21842,68,"Chelsea Wilkinson",237.2,2015
"69",288,8793,68,"Savannah Heebner",237.2,2018
"70",756,16064,70,"Gabbie Plain",237.1,2021
"71",430,18635,71,"Alexis Silkwood",235.2,2015
"72",719,21390,71,"Emily Watson",235.2,2018
"73",418,1513,73,"Megan Betsa",235.1,2017
"74",670,14399,74,"Jessica Mullins",235,2022
"75",428,7975,75,"Sara Groenewegen",234.2,2016
"76",498,4222,75,"Melanie Coyne",234.2,2016
"77",428,7975,77,"Sara Groenewegen",234.1,2015
"78",1004,19617,77,"Kylee Studioso",234.1,2015
"79",299,6371,77,"Sarah Finck",234.1,2017
"80",490,18649,77,"Peyton Silverman",234.1,2017
"81",115,18901,77,"Isabella Smith",234.1,2023
"82",458,1506,82,"Lexi Betancourt",233.2,2016
"83",676,21800,82,"Kassidy Wilbur",233.2,2021
"84",406,19418,84,"Kirsten Stevens",233,2015
"85",316,2405,85,"Victoria Brown",232.2,2015
"86",454,17181,85,"Mason Robinson",232.2,2016
"87",519,19468,87,"Danielle Stiene",232.1,2018
"88",697,6647,88,"Rachel Fox",232,2015
"89",257,21842,88,"Chelsea Wilkinson",232,2016
"90",659,10352,88,"Brianna Jones",232,2018
"91",391,4056,91,"Courtney Coppersmith",231.1,2019
"92",67,5432,92,"Jessica Dreswick",231,2017
"93",249,11498,93,"Sierra Lange",230.2,2022
"94",99,3690,94,"Christina Clermont",230.1,2016
"95",796,13625,94,"Kaitlyn Menz",230.1,2017
"96",493,18369,94,"Jacquelyn Sertic",230.1,2018
"97",28600,10462,97,"Mandy Jordan",230,2017
"98",676,21800,98,"Kassidy Wilbur",229.2,2019
"99",502,20942,99,"Valerie Vidal",229,2019
"100",609,21573,99,"Chloe Wendling",229,2023
