"","team_id","player_id","rank","player","k_7","season"
"1",391,4056,1,"Courtney Coppersmith","13.2",2022
"2",189,14732,2,"Nicole Newman","13.2",2019
"3",235,1059,3,"Kelly Barnhill","13.0",2017
"4",418,19528,4,"Alex Storako","12.9",2021
"5",497,20413,5,"Hope Trautwein","12.7",2021
"6",772,11193,6,"Miranda Kramer","12.7",2015
"7",418,1513,7,"Megan Betsa","12.2",2017
"8",674,2900,8,"Nijaree Canady","11.7",2023
"9",521,13013,9,"Kelly Maxwell","11.6",2022
"10",391,4056,10,"Courtney Coppersmith","11.5",2021
"11",8,15261,11,"Alexis Osorio","11.5",2017
"12",683,1808,12,"Dawn Bodrug","11.5",2022
"13",8,6627,13,"Montana Fouts","11.5",2021
"14",742,17222,14,"Keely Rochard","11.3",2022
"15",428,7975,15,"Sara Groenewegen","11.3",2015
"16",649,11034,16,"Tori Kniesche","11.3",2022
"17",521,13013,17,"Kelly Maxwell","11.3",2023
"18",418,1513,18,"Megan Betsa","11.2",2015
"19",464,13696,19,"Kamryn Meyer","11.2",2022
"20",317,277,20,"Odicci Alexander","11.2",2021
"21",391,12969,21,"Kya Matter","11.2",2022
"22",504,9048,22,"Samantha Heyer","11.0",2023
"23",646,2336,23,"Devin Brown","11.0",2016
"24",646,2336,24,"Devin Brown","10.9",2015
"25",14927,10282,25,"Maya Johnson","10.9",2023
"26",688,17382,26,"Alexa Romero","10.9",2018
"27",189,14732,27,"Nicole Newman","10.9",2018
"28",331,10227,28,"Emma Johnson","10.9",2015
"29",235,1059,29,"Kelly Barnhill","10.8",2016
"30",742,11795,30,"Emma Lemley","10.7",2022
"31",219,6518,31,"Morgan Florey","10.6",2018
"32",299,4796,32,"Morgan Day","10.6",2021
"33",110,7044,33,"Rachel Garcia","10.6",2018
"34",235,1059,34,"Kelly Barnhill","10.6",2018
"35",651,4102,35,"Georgina Corrick","10.6",2022
"36",519,5345,36,"Savannah jo Dorsey","10.6",2017
"37",110,6159,37,"Megan Faraimo","10.5",2022
"38",683,1808,38,"Dawn Bodrug","10.5",2021
"39",444,13420,39,"Chelsea Mcmanaway","10.5",2017
"40",648,7452,40,"Donnie Gobourne","10.5",2023
"41",418,19528,41,"Alex Storako","10.5",2022
"42",418,1513,42,"Megan Betsa","10.5",2016
"43",464,13696,43,"Kamryn Meyer","10.5",2023
"44",522,835,44,"Jordyn Bahl","10.4",2022
"45",414,20950,45,"Courtney Vierstra","10.4",2021
"46",414,20950,46,"Courtney Vierstra","10.4",2019
"47",529,8666,47,"Cheridan Hawkins","10.4",2016
"48",8,15261,48,"Alexis Osorio","10.3",2016
"49",71,7697,49,"Payton Gottshall","10.3",2022
"50",756,401,50,"Taran Alvelo","10.3",2019
"51",231,17713,51,"Shannon Saile","10.3",2018
"52",529,22356,52,"Brooke Yanez","10.3",2021
"53",493,13619,53,"Krista Menke","10.3",2015
"54",391,4056,54,"Courtney Coppersmith","10.3",2019
"55",731,13398,55,"Hailey Mclean","10.3",2023
"56",651,4102,56,"Georgina Corrick","10.2",2021
"57",110,7044,57,"Rachel Garcia","10.1",2019
"58",8,6627,58,"Montana Fouts","10.1",2022
"59",742,17222,59,"Keely Rochard","10.1",2021
"60",671,11422,60,"Kandra Lamb","10.1",2022
"61",428,7975,61,"Sara Groenewegen","10.1",2017
"62",235,7702,62,"Delanie Gourley","10.1",2017
"63",626,913,63,"Maggie Balint","10.1",2022
"64",522,10492,64,"Giselle Juarez","10.1",2019
"65",716,10272,65,"Leanna Johnson","10.1",2021
"66",96,5263,66,"Hailey Dolcini","10.0",2021
"67",2699,2461,67,"Madison Bryant","10.0",2023
"68",428,7975,68,"Sara Groenewegen","10.0",2016
"69",671,21197,69,"Jordan Wallace","10.0",2015
"70",444,13420,70,"Chelsea Mcmanaway","10.0",2018
"71",529,5801,71,"Miranda Elish","10.0",2018
"72",235,7702,72,"Delanie Gourley"," 9.9",2016
"73",756,16064,73,"Gabbie Plain"," 9.9",2021
"74",310,22524,74,"Kara Zazzaro"," 9.9",2022
"75",719,21390,75,"Emily Watson"," 9.9",2017
"76",554,1714,76,"Ali Blanchard"," 9.9",2022
"77",529,8666,77,"Cheridan Hawkins"," 9.8",2015
"78",719,21390,78,"Emily Watson"," 9.8",2016
"79",317,6581,79,"Jailyn Ford"," 9.8",2015
"80",10411,9512,80,"Hannah Houge"," 9.8",2022
"81",8,6627,81,"Montana Fouts"," 9.8",2023
"82",71,7697,82,"Payton Gottshall"," 9.8",2021
"83",334,18133,83,"Stephanie Schoonover"," 9.8",2023
"84",229,8393,84,"Kylee Hanson"," 9.7",2015
"85",128,725,85,"Mackenzie Audas"," 9.7",2015
"86",590,15201,86,"Emily Orosco"," 9.7",2018
"87",649,11034,87,"Tori Kniesche"," 9.7",2021
"88",37,15732,88,"Maddie Penta"," 9.7",2023
"89",772,184,89,"Kelsey Aikey"," 9.7",2019
"90",37,15732,90,"Maddie Penta"," 9.7",2022
"91",774,6939,91,"Reily Galloway"," 9.7",2022
"92",509,21878,92,"Danielle Williams"," 9.6",2019
"93",370,15763,93,"Jenna Perez"," 9.6",2023
"94",111,9105,94,"Chrys Hildebrand"," 9.6",2022
"95",110,6159,95,"Megan Faraimo"," 9.6",2021
"96",175,3171,96,"Manda Cash"," 9.6",2015
"97",234,2647,97,"Jessica Burroughs"," 9.6",2017
"98",244,1479,98,"Lindsey Bert"," 9.5",2018
"99",694,17326,99,"Ashley Rogers"," 9.5",2021
"100",660,3350,100,"Haley Chambers-book"," 9.5",2015
