"","team_id","player_id","rank","player","k_bb","season"
"1",380,1821,2,"Alexis Bogdanovich",10.5882352941176,2015
"2",110,6159,2,"Megan Faraimo",10.5882352941176,2021
"3",529,10986,3,"Megan Kleist",8.5,2018
"4",391,12969,4,"Kya Matter",8.42857142857143,2022
"5",651,4102,5,"Georgina Corrick",7.86538461538461,2022
"6",235,1059,6,"Kelly Barnhill",7.47916666666667,2017
"7",428,7975,7,"Sara Groenewegen",7.375,2017
"8",8,6627,8,"Montana Fouts",7.325,2023
"9",454,10003,9,"Hannah James",7.3125,2022
"10",391,4056,10,"Courtney Coppersmith",7.3,2022
"11",235,15053,11,"Aleshia Ocasio",7.11111111111111,2018
"12",625,14720,12,"Mckenzie Newcomb",6.88,2023
"13",189,14732,13,"Nicole Newman",6.86440677966102,2019
"14",428,15669,14,"Autumn Pease",6.825,2023
"15",229,8393,15,"Kylee Hanson",6.79545454545455,2016
"16",1356,14565,16,"Carley Nance",6.66666666666667,2022
"17",454,10003,17,"Hannah James",6.59375,2023
"18",529,5801,18,"Miranda Elish",6.55263157894737,2018
"19",299,4796,19,"Morgan Day",6.5,2021
"20",234,2647,20,"Jessica Burroughs",6.48780487804878,2017
"21",235,7702,21,"Delanie Gourley",6.35,2017
"22",771,9875,22,"Emily Ira",6.3421052631579,2017
"23",522,10492,23,"Giselle Juarez",6.275,2019
"24",110,6159,24,"Megan Faraimo",6.10869565217391,2022
"25",670,17614,25,"Randi Rupp",6.09615384615385,2018
"26",771,9875,26,"Emily Ira",6.08333333333333,2019
"27",454,20853,27,"Jenna Veber",6.07142857142857,2022
"28",317,7611,28,"Megan Good",6.02222222222222,2017
"29",8,6627,29,"Montana Fouts",5.92982456140351,2021
"30",83,7196,30,"Raeanne Geffert",5.84615384615385,2018
"31",43,16435,31,"Morgan Rackel",5.82857142857143,2018
"32",96,5263,32,"Hailey Dolcini",5.75555555555556,2021
"33",189,14732,33,"Nicole Newman",5.69767441860465,2018
"34",418,19528,34,"Alex Storako",5.625,2021
"35",674,2900,35,"Nijaree Canady",5.60606060606061,2023
"36",457,15963,36,"Brittany Pickett",5.56521739130435,2021
"37",43,16435,37,"Morgan Rackel",5.53488372093023,2019
"38",671,5851,38,"Summer Ellyson",5.49206349206349,2019
"39",522,12192,39,"Mariah Lopez",5.48275862068965,2019
"40",235,15053,40,"Aleshia Ocasio",5.44444444444444,2016
"41",756,16064,41,"Gabbie Plain",5.43548387096774,2021
"42",317,277,42,"Odicci Alexander",5.4,2021
"43",14927,10282,43,"Maya Johnson",5.30769230769231,2023
"44",625,14720,44,"Mckenzie Newcomb",5.3030303030303,2022
"45",249,11498,45,"Sierra Lange",5.28947368421053,2021
"46",277,9196,46,"Brittany Hitchcock",5.28125,2017
"47",624,13408,47,"Lindsey Mcleod",5.22448979591837,2019
"48",522,12192,48,"Mariah Lopez",5.19047619047619,2017
"49",529,10986,49,"Megan Kleist",5.16666666666667,2016
"50",110,6159,50,"Megan Faraimo",5.06666666666667,2023
"51",116,7316,51,"Megan Giese",5.05714285714286,2022
"52",719,21390,52,"Emily Watson",5.04347826086957,2017
"53",8,10837,53,"Lexi Kilfoyl",5.03846153846154,2021
"54",742,11795,54,"Emma Lemley",5.01851851851852,2023
"55",579,18803,55,"Nicole Sleith",5.01694915254237,2015
"56",756,401,56,"Taran Alvelo",5,2019
"57",630,12001,57,"Katelyn Linford",4.97435897435897,2017
"58",671,5851,59,"Summer Ellyson",4.97368421052632,2021
"59",522,835,59,"Jordyn Bahl",4.97368421052632,2022
"60",248,21027,60,"Marina Vitalich",4.97142857142857,2016
"61",539,15543,61,"Bailey Parshall",4.94285714285714,2023
"62",37,12259,62,"Shelby Lowe",4.94117647058824,2021
"63",626,913,63,"Maggie Balint",4.92592592592593,2022
"64",28755,16562,64,"Riley Randolph",4.92,2016
"65",28,10492,65,"Giselle Juarez",4.91935483870968,2018
"66",244,1479,66,"Lindsey Bert",4.90277777777778,2018
"67",522,10492,67,"Giselle Juarez",4.89655172413793,2021
"68",497,20413,68,"Hope Trautwein",4.89583333333333,2021
"69",522,15509,69,"Paige Parker",4.85185185185185,2017
"70",301,13471,70,"Tori Mcqueen",4.84615384615385,2022
"71",756,16064,71,"Gabbie Plain",4.83673469387755,2019
"72",234,8393,72,"Kylee Hanson",4.82,2018
"73",391,4056,73,"Courtney Coppersmith",4.78846153846154,2021
"74",683,1808,74,"Dawn Bodrug",4.77966101694915,2022
"75",670,17614,75,"Randi Rupp",4.77941176470588,2017
"76",504,9048,76,"Samantha Heyer",4.76785714285714,2023
"77",317,7611,77,"Megan Good",4.75609756097561,2015
"78",756,401,78,"Taran Alvelo",4.74509803921569,2018
"79",71,7697,79,"Payton Gottshall",4.74358974358974,2022
"80",8,6627,80,"Montana Fouts",4.74137931034483,2022
"81",164,15154,81,"Marybeth Olson",4.71875,2019
"82",110,6159,82,"Megan Faraimo",4.7,2019
"83",454,20853,83,"Jenna Veber",4.69230769230769,2021
"84",48,10506,84,"Annah Junge",4.64705882352941,2023
"85",386,15950,85,"Calista Phippen",4.6,2019
"86",742,17222,86,"Keely Rochard",4.59154929577465,2022
"87",446,9732,87,"Anaya Hunte",4.56666666666667,2023
"88",651,4102,88,"Georgina Corrick",4.56164383561644,2021
"89",522,15509,89,"Paige Parker",4.53191489361702,2018
