"","team_id","player_id","rank","player","ops","season"
"1",632,22297,1,"Torrian Wright","1.977",2015
"2",522,360,2,"Jocelyn Alo","1.878",2022
"3",671,5807,3,"Lexie Elkins","1.737",2016
"4",363,937,4,"Megan Baltzell","1.702",2015
"5",331,19178,5,"Holly Speers","1.689",2018
"6",522,360,6,"Jocelyn Alo","1.675",2021
"7",671,5807,7,"Lexie Elkins","1.664",2015
"8",402,15954,8,"Erika Piancastelli","1.620",2016
"9",334,3754,9,"Erin Coffel","1.618",2023
"10",400,4226,10,"Jena Cozza","1.614",2018
"11",522,3336,11,"Lauren Chamberlain","1.582",2015
"12",504,2552,12,"Sammey Bunch","1.581",2021
"13",235,21206,13,"Skylar Wallace","1.575",2023
"14",1356,3249,14,"Madison Cathcart","1.550",2018
"15",191,17619,15,"Linda Rush","1.549",2021
"16",671,17847,16,"Dj Sanders","1.536",2017
"17",522,360,17,"Jocelyn Alo","1.526",2018
"18",148,13452,18,"Erica Mcnew","1.523",2016
"19",418,17396,19,"Sierra Romero","1.522",2015
"20",28,17846,20,"Cydney Sanders","1.520",2022
"21",522,10122,21,"Tiare Jennings","1.517",2021
"22",306,10771,21,"Taryn Kern","1.517",2023
"23",14,19026,23,"Elizabeth Snow","1.516",2017
"24",10411,15035,24,"Alyssa Oakes","1.513",2019
"25",428,11978,25,"Kendyl Lindaman","1.511",2017
"26",381,2011,26,"Elena Bowman","1.506",2015
"27",334,3440,27,"Abbey Cheek","1.505",2019
"28",782,1025,27,"Addison Barnard","1.505",2022
"29",368,3172,29,"Courtney Cashman","1.498",2019
"30",294,6890,30,"Vicky Galasso","1.494",2015
"31",697,11718,31,"Haley Lee","1.491",2021
"32",694,13873,31,"Kiki Milloy","1.491",2023
"33",1092,16254,33,"Katie Prebble","1.486",2018
"34",115,18073,34,"Amber Schisler","1.483",2017
"35",688,15005,34,"Sydney O'hara","1.483",2017
"36",739,16596,36,"Paige Rauch","1.482",2019
"37",522,15719,37,"Shelby Pendley","1.481",2015
"38",14,19026,38,"Elizabeth Snow","1.474",2016
"39",254,5412,39,"Ivie Drake","1.468",2015
"40",414,4433,39,"Allie Cummins","1.468",2021
"41",202,14465,41,"Paige Murphy","1.467",2018
"42",587,1157,42,"Jackie Bates","1.460",2015
"43",234,21319,42,"Jessie Warren","1.460",2017
"44",400,5114,44,"Quianna Diaz-patterson","1.458",2015
"45",796,11120,44,"Kayla Konwent","1.458",2019
"46",418,17396,46,"Sierra Romero","1.457",2016
"47",37,4035,47,"Kasey Cooper","1.453",2016
"48",147,2761,48,"Valerie Cagle","1.452",2023
"49",756,10999,49,"Baylee Klingler","1.448",2022
"50",402,15954,50,"Erika Piancastelli","1.446",2015
"51",683,7812,51,"Bria Green","1.445",2015
"52",388,15309,52,"Autumn Owen","1.444",2023
"53",148,22194,53,"Cynthia Woodard","1.441",2015
"54",402,15954,54,"Erika Piancastelli","1.439",2018
"55",101,19420,55,"Megan Stevens","1.428",2019
"56",503,14538,56,"Emily Naegele","1.427",2016
"57",632,22297,57,"Torrian Wright","1.425",2016
"58",311,21934,58,"Sami Williams","1.423",2021
"59",172,13247,59,"Katie Mceachern","1.422",2015
"60",414,19148,60,"Karli Spaid","1.420",2022
"61",257,5118,61,"Alyssa Dicarlo","1.419",2019
"62",176,3947,62,"Mary Connolly","1.418",2015
"63",28,71,63,"Yannira Acuna","1.415",2022
"64",522,3696,64,"Caleigh Clifton","1.414",2019
"65",254,5412,65,"Ivie Drake","1.409",2018
"66",473,9537,66,"Andrea Howard","1.406",2022
"67",522,10122,67,"Tiare Jennings","1.405",2022
"68",735,19455,68,"Samantha Stewart","1.404",2017
"69",249,3917,69,"Jenna Cone","1.403",2021
"70",31,2638,70,"Braxton Burnside","1.399",2021
"71",472,9485,71,"Kelsey Horton","1.398",2018
"72",231,20028,72,"Stephanie Texeira","1.397",2015
"73",603,2615,73,"Erin Burner","1.396",2015
"74",191,17619,73,"Linda Rush","1.396",2019
"75",694,7870,75,"Meghan Gregg","1.395",2017
"76",388,8470,75,"Aly Harrell","1.395",2022
"77",6,17864,75,"Venice Sanders","1.395",2023
"78",554,16830,78,"Marissa Reynolds","1.394",2017
"79",257,9685,79,"Alex Hugo","1.389",2015
"80",590,7562,79,"Alyssa Gonzalez","1.389",2021
"81",77,22521,79,"Violet Zavodnik","1.389",2022
"82",172,13247,82,"Katie Mceachern","1.388",2016
"83",513,2278,82,"Cait Brooks","1.388",2019
"84",522,8379,82,"Kinzie Hansen","1.388",2021
"85",709,4987,82,"Dayna Denner","1.388",2021
"86",700,8589,86,"Jessica Hartwell","1.387",2018
"87",317,7660,86,"Kate Gordon","1.387",2019
"88",782,13380,86,"Sydney Mckinney","1.387",2022
"89",28,8165,89,"Maddi Hackbarth","1.383",2021
"90",148,13452,90,"Erica Mcnew","1.381",2015
"91",29,14381,90,"Dejah Mulipola","1.381",2021
"92",110,2088,90,"Maya Brady","1.381",2023
"93",671,4238,93,"Aleah Craighton","1.380",2016
"94",654,491,94,"Rachel Anderson","1.375",2019
"95",817,3200,95,"Miranda Castiglione","1.374",2016
"96",48,3527,96,"Marci Christian","1.373",2015
"97",430,4664,97,"Mia Davidson","1.372",2022
"98",545,22543,98,"Giorgiana Zeremenko","1.369",2016
"99",522,12400,99,"Grace Lyons","1.367",2022
"100",229,12078,100,"Emily Lochten","1.365",2017
