"","team_id","player_id","rank","player","rc","season"
"1",522,360,1,"Jocelyn Alo","121.70",2022
"2",522,360,2,"Jocelyn Alo","114.82",2021
"3",522,10121,3,"Tiare Jennings","103.36",2021
"4",37,4034,4,"Kasey Cooper"," 94.77",2016
"5",418,17395,5,"Sierra Romero"," 94.20",2015
"6",522,360,6,"Jocelyn Alo"," 93.00",2018
"7",254,5411,7,"Ivie Drake"," 92.25",2015
"8",671,5806,8,"Lexie Elkins"," 91.67",2015
"9",202,14464,9,"Paige Murphy"," 90.89",2018
"10",363,937,10,"Megan Baltzell"," 89.55",2015
"11",402,15953,11,"Erika Piancastelli"," 88.76",2016
"12",334,11172,12,"Kayla Kowalik"," 88.18",2021
"13",147,2760,13,"Valerie Cagle"," 87.71",2023
"14",694,13872,14,"Kiki Milloy"," 87.05",2023
"15",235,21205,15,"Skylar Wallace"," 86.30",2023
"16",191,17618,16,"Linda Rush"," 86.15",2019
"17",414,19147,17,"Karli Spaid"," 85.56",2022
"18",311,21933,18,"Sami Williams"," 84.99",2021
"19",671,17846,19,"Dj Sanders"," 84.93",2017
"20",1356,3248,20,"Madison Cathcart"," 84.71",2018
"21",522,3335,21,"Lauren Chamberlain"," 84.70",2015
"22",504,2551,22,"Sammey Bunch"," 84.24",2021
"23",234,21318,23,"Jessie Warren"," 84.04",2017
"24",317,7659,24,"Kate Gordon"," 83.61",2019
"25",37,3022,25,"Emily Carosone"," 83.55",2015
"26",418,17395,26,"Sierra Romero"," 83.53",2016
"27",782,13379,27,"Sydney Mckinney"," 83.13",2022
"28",8,8847,28,"Bailey Hemphill"," 83.04",2019
"29",402,15953,29,"Erika Piancastelli"," 82.07",2018
"30",756,10998,30,"Baylee Klingler"," 82.00",2022
"31",648,15373,31,"Alaynie Page"," 81.91",2015
"32",331,19177,32,"Holly Speers"," 81.29",2018
"33",782,13379,33,"Sydney Mckinney"," 81.23",2023
"34",1092,16253,34,"Katie Prebble"," 80.67",2018
"35",782,1025,35,"Addison Barnard"," 80.51",2022
