"","team_id","player_id","rank","player","sb","season"
"1",655,16514,1,"Jaquelyn Ramon",63,2019
"2",388,4525,2,"Elicia D'orazio",59,2017
"3",655,11373,3,"Katie Lacour",58,2016
"4",671,13864,3,"Keeli Milligan",58,2019
"5",434,6866,5,"Taylor Gadbois",56,2016
"6",1004,21813,5,"Jenna Wildeman",56,2021
"7",651,10179,7,"Alexis Johns",55,2022
"8",697,13864,8,"Keeli Milligan",54,2016
"9",386,5472,8,"Maureen Duddy",54,2016
"10",655,16514,8,"Jaquelyn Ramon",54,2017
"11",234,10970,11,"Morgan Klaevemann",53,2016
"12",257,5864,12,"Cortni Emanuel",52,2018
"13",235,21206,12,"Skylar Wallace",52,2022
"14",671,4749,12,"Mihyia Davis",52,2023
"15",388,7845,15,"Kaelynn Greene",51,2016
"16",97,4928,16,"Megan Delgadillo",50,2022
"17",466,18352,16,"Chelie Senini",50,2023
"18",229,15409,18,"Madisyn Palmer",49,2018
"19",1104,14793,18,"Gianna Nicoletti",49,2022
"20",678,19987,20,"Jessie Tenbroeck",48,2017
"21",553,21937,20,"Shelby Williams",48,2017
"22",8,2338,20,"Eliisa Brown",48,2019
"23",229,15409,20,"Madisyn Palmer",48,2019
"24",466,18352,20,"Chelie Senini",48,2022
"25",388,22545,25,"Morgan Zerkle",47,2015
"26",365,518,25,"Aliyah Andrews",47,2019
"27",10411,11602,25,"Denver Lauer",47,2023
"28",261,14134,25,"Kaytlyn Moore",47,2023
"29",352,22458,29,"Nicole Yozzo",46,2018
"30",792,13090,29,"Macy Mccall",46,2021
"31",5,18700,31,"Ashley Sims",45,2017
"32",270,9123,31,"Dasha Hill",45,2018
"33",2707,9102,31,"Kloe Hilbrenner",45,2021
"34",521,4760,34,"Shelby Davis",44,2015
"35",513,21626,34,"Karley Wester",44,2016
"36",498,13351,34,"Sydney Mckay",44,2017
"37",388,4525,34,"Elicia D'orazio",44,2018
"38",257,5864,38,"Cortni Emanuel",43,2015
"39",128,14918,38,"Kahley Novak",43,2015
"40",180,7183,38,"Leanna Gearhart",43,2016
"41",257,5864,38,"Cortni Emanuel",43,2017
"42",7,5018,38,"Kindall Deramus",43,2022
"43",603,1543,38,"Jess Bianco",43,2023
"44",655,5711,44,"Maddie Edmonston",42,2018
"45",10411,7375,44,"Ansley Gilstrap",42,2018
"46",365,518,44,"Aliyah Andrews",42,2018
"47",234,8560,44,"Cali Harrod",42,2019
"48",108,5053,44,"Anna Dethlefson",42,2023
"49",7,5018,44,"Kindall Deramus",42,2023
"50",388,3810,44,"Alex Coleman",42,2023
"51",28600,5854,51,"Brittany Elmore",41,2015
"52",716,1431,51,"Katie Benton",41,2016
"53",695,7543,51,"Carly Gonzales",41,2017
"54",72,10572,51,"Kelly Kapp",41,2017
"55",229,15409,51,"Madisyn Palmer",41,2017
"56",68,3948,51,"Moriah Connolly",41,2017
"57",603,22555,51,"Lauren Zick",41,2017
"58",261,21553,51,"India Wells",41,2023
"59",509,16429,59,"Sabrina Rabin",40,2016
"60",519,17991,59,"Taylor Saxton",40,2016
"61",446,22421,59,"Damali Young",40,2017
"62",43,18067,59,"Natalie Schilling",40,2018
"63",116,15454,59,"Kara Paradowski",40,2021
"64",393,11212,59,"Tatum Kresley",40,2022
"65",1004,21813,59,"Jenna Wildeman",40,2022
"66",164,8626,59,"Lexi Hastings",40,2023
"67",419,1608,67,"Precious Birdsong",39,2015
"68",149,3499,67,"Bri Chiusano",39,2015
"69",388,4525,67,"Elicia D'orazio",39,2016
"70",388,22545,67,"Morgan Zerkle",39,2017
"71",610,22503,67,"Kimiko Zapanta",39,2018
"72",1004,4386,67,"Kayla Crutchmer",39,2019
"73",164,12656,67,"Briana Marcelino",39,2022
"74",450,7359,67,"Bridgette Gilliano",39,2022
"75",694,13873,67,"Kiki Milloy",39,2023
"76",386,20749,76,"Kyrsten Van natta",38,2016
"77",419,1608,76,"Precious Birdsong",38,2016
"78",406,17556,76,"Meghan Rud",38,2017
"79",457,14481,76,"Leah Murray",38,2017
"80",229,12078,76,"Emily Lochten",38,2018
"81",37,5420,76,"Victoria Draper",38,2018
"82",316,13166,76,"Allie Mccourt",38,2018
"83",96,22036,76,"Mckenzie Wilson",38,2019
"84",116,15454,76,"Kara Paradowski",38,2019
"85",651,2435,76,"Anamarie Bruni",38,2021
"86",485,8039,76,"Alison Guckin",38,2022
"87",294,2621,87,"Kacie Burnett",37,2015
"88",314,19727,87,"Canessa Swanson",37,2015
"89",434,6866,87,"Taylor Gadbois",37,2015
"90",178,7181,87,"Nicole Gazzola",37,2016
"91",111,16888,87,"Madeline Richard",37,2016
"92",302,21416,87,"Lexi Watts",37,2016
"93",108,21302,87,"Brianna Warner",37,2016
"94",655,14766,87,"Kinsey Nichols",37,2018
"95",302,21416,87,"Lexi Watts",37,2019
"96",402,13182,87,"Cori Mccrary",37,2019
"97",694,13873,87,"Kiki Milloy",37,2021
"98",671,2445,87,"Ciara Bryan",37,2021
"99",579,11166,87,"Alaina Koutsogiani",37,2022
"100",10411,16286,87,"Sarah Price",37,2022
