"","team_id","player_id","rank","player","slg","season"
"1",632,22297,1,"Torrian Wright","1.229",2015
"2",522,360,2,"Jocelyn Alo","1.227",2022
"3",671,5807,3,"Lexie Elkins","1.124",2016
"4",671,5807,4,"Lexie Elkins","1.121",2015
"5",522,360,5,"Jocelyn Alo","1.109",2021
"6",363,937,6,"Megan Baltzell","1.088",2015
"7",782,1025,7,"Addison Barnard","1.036",2022
"8",331,19178,8,"Holly Speers","1.033",2018
"9",671,17847,9,"Dj Sanders","1.012",2017
"10",402,15954,10,"Erika Piancastelli","1.000",2016
"11",504,2552,10,"Sammey Bunch","1.000",2021
"12",522,10122,10,"Tiare Jennings","1.000",2021
"13",522,3336,13,"Lauren Chamberlain","0.993",2015
"14",334,3754,14,"Erin Coffel","0.984",2023
"15",235,21206,15,"Skylar Wallace","0.980",2023
"16",400,4226,16,"Jena Cozza","0.978",2018
"17",522,360,17,"Jocelyn Alo","0.977",2018
"18",10411,15035,17,"Alyssa Oakes","0.977",2019
"19",148,22194,19,"Cynthia Woodard","0.963",2015
"20",1092,16254,19,"Katie Prebble","0.963",2018
"21",28,17846,21,"Cydney Sanders","0.958",2022
"22",14,19026,22,"Elizabeth Snow","0.957",2017
"23",191,17619,22,"Linda Rush","0.957",2021
"24",697,11718,24,"Haley Lee","0.955",2021
"25",1356,3249,25,"Madison Cathcart","0.954",2018
"26",522,15719,26,"Shelby Pendley","0.950",2015
"27",756,10999,27,"Baylee Klingler","0.948",2022
"28",306,10771,28,"Taryn Kern","0.942",2023
"29",294,6890,29,"Vicky Galasso","0.940",2015
"30",694,13873,30,"Kiki Milloy","0.935",2023
"31",587,1157,31,"Jackie Bates","0.934",2015
"32",683,7812,32,"Bria Green","0.931",2015
"33",414,19148,32,"Karli Spaid","0.931",2022
"34",14,19026,34,"Elizabeth Snow","0.929",2016
"35",739,16596,35,"Paige Rauch","0.928",2019
"36",234,21319,36,"Jessie Warren","0.922",2017
"37",418,17396,37,"Sierra Romero","0.920",2015
"38",381,2011,37,"Elena Bowman","0.920",2015
"39",254,5412,39,"Ivie Drake","0.918",2015
"40",590,7562,40,"Alyssa Gonzalez","0.913",2021
"41",28,8165,40,"Maddi Hackbarth","0.913",2021
"42",428,11978,42,"Kendyl Lindaman","0.911",2017
"43",472,9485,42,"Kelsey Horton","0.911",2018
"44",402,15954,44,"Erika Piancastelli","0.905",2015
"45",334,3440,44,"Abbey Cheek","0.905",2019
"46",202,14465,46,"Paige Murphy","0.903",2018
"47",311,21934,47,"Sami Williams","0.902",2021
"48",522,10122,48,"Tiare Jennings","0.900",2022
"49",77,22521,48,"Violet Zavodnik","0.900",2022
"50",402,15954,50,"Erika Piancastelli","0.899",2018
"51",257,5118,50,"Alyssa Dicarlo","0.899",2019
"52",504,5246,50,"Mya Dodge","0.899",2023
"53",700,8589,53,"Jessica Hartwell","0.897",2018
"54",257,9685,54,"Alex Hugo","0.896",2015
"55",6,17864,55,"Venice Sanders","0.895",2023
"56",503,14538,56,"Emily Naegele","0.894",2016
"57",522,8379,57,"Kinzie Hansen","0.893",2021
"58",414,4433,58,"Allie Cummins","0.892",2021
"59",31,2638,58,"Braxton Burnside","0.892",2021
"60",101,19420,60,"Megan Stevens","0.889",2019
"61",317,7660,60,"Kate Gordon","0.889",2019
"62",414,19148,60,"Karli Spaid","0.889",2021
"63",545,22543,63,"Giorgiana Zeremenko","0.888",2016
"64",147,2761,64,"Valerie Cagle","0.887",2023
"65",388,15309,64,"Autumn Owen","0.887",2023
"66",418,17396,66,"Sierra Romero","0.883",2016
"67",10411,17191,67,"Shellie Robinson","0.882",2015
"68",430,4664,67,"Mia Davidson","0.882",2019
"69",249,3917,69,"Jenna Cone","0.880",2021
"70",522,12400,69,"Grace Lyons","0.880",2022
"71",191,17619,71,"Linda Rush","0.878",2019
"72",518,16029,72,"Lilli Piper","0.876",2018
"73",368,3172,72,"Courtney Cashman","0.876",2019
"74",796,11120,72,"Kayla Konwent","0.876",2019
"75",522,3696,75,"Caleigh Clifton","0.875",2019
"76",473,9537,75,"Andrea Howard","0.875",2022
"77",148,13452,77,"Erica Mcnew","0.874",2016
"78",48,3527,78,"Marci Christian","0.873",2015
"79",37,4035,79,"Kasey Cooper","0.872",2016
"80",317,7660,79,"Kate Gordon","0.872",2021
"81",176,3947,81,"Mary Connolly","0.870",2015
"82",31,12559,81,"Linnie Malkin","0.870",2022
"83",671,4238,83,"Aleah Craighton","0.869",2016
"84",513,2278,84,"Cait Brooks","0.868",2019
"85",400,5114,85,"Quianna Diaz-patterson","0.866",2015
"86",110,2088,85,"Maya Brady","0.866",2023
"87",29,14381,87,"Dejah Mulipola","0.865",2021
"88",254,5412,88,"Ivie Drake","0.862",2018
"89",115,18073,89,"Amber Schisler","0.861",2017
"90",450,8828,90,"Rachel Heinze","0.860",2017
"91",257,2445,90,"Ciara Bryan","0.860",2020
"92",28,71,92,"Yannira Acuna","0.857",2022
"93",458,20787,93,"Bailey Vannoy","0.854",2022
"94",66,8235,93,"Kelsey Hall","0.854",2023
"95",457,2365,95,"Kristen Brown","0.853",2015
"96",110,19168,96,"Delaney Spaulding","0.852",2015
"97",331,7957,96,"Maddy Grimm","0.852",2015
"98",688,15005,96,"Sydney O'hara","0.852",2017
"99",31,7289,96,"Danielle Gibson","0.852",2022
"100",450,8828,100,"Rachel Heinze","0.851",2016
"101",1157,3248,100,"Taylor Cates","0.851",2022
