"","team_id","player_id","rank","player","so","season"
"1",772,11193,1,"Miranda Kramer",437,2015
"2",418,1513,2,"Megan Betsa",412,2017
"3",651,4102,3,"Georgina Corrick",409,2022
"4",189,14732,4,"Nicole Newman",405,2019
"5",493,13619,5,"Krista Menke",391,2015
"6",428,7975,6,"Sara Groenewegen",379,2015
"7",71,7697,7,"Payton Gottshall",370,2022
"8",235,1059,8,"Kelly Barnhill",359,2017
"9",244,1479,9,"Lindsey Bert",353,2018
"10",719,21390,10,"Emily Watson",348,2017
"11",235,1059,11,"Kelly Barnhill",347,2019
"12",671,5851,12,"Summer Ellyson",346,2019
"13",493,18369,13,"Jacquelyn Sertic",340,2017
"14",391,4056,13,"Courtney Coppersmith",340,2019
"15",8,6627,15,"Montana Fouts",338,2021
"16",756,16064,16,"Gabbie Plain",337,2021
"17",428,7975,17,"Sara Groenewegen",336,2016
"18",670,17614,18,"Randi Rupp",335,2016
"19",8,15261,19,"Alexis Osorio",334,2017
"20",651,4102,20,"Georgina Corrick",333,2021
"21",418,1513,21,"Megan Betsa",328,2015
"22",742,17222,22,"Keely Rochard",327,2021
"23",428,6394,23,"Amber Fiser",326,2019
"24",742,17222,23,"Keely Rochard",326,2022
"25",670,17614,25,"Randi Rupp",325,2017
"26",646,2336,26,"Devin Brown",324,2016
"27",235,1059,26,"Kelly Barnhill",324,2018
"28",509,21878,28,"Danielle Williams",323,2022
"29",490,21511,29,"Emily Weiman",322,2015
"30",331,10227,30,"Emma Johnson",319,2015
"31",670,17614,31,"Randi Rupp",317,2018
"32",110,7044,32,"Rachel Garcia",315,2018
"33",493,18369,33,"Jacquelyn Sertic",307,2018
"34",418,1513,34,"Megan Betsa",306,2016
"35",719,21390,34,"Emily Watson",306,2018
"36",489,13923,34,"Courtney Mirabella",306,2018
"37",388,5216,37,"Jordan Dixon",305,2015
"38",5,18321,37,"Erin Seiler",305,2015
"39",28,10492,37,"Giselle Juarez",305,2018
"40",509,21878,37,"Danielle Williams",305,2019
"41",219,6518,41,"Morgan Florey",303,2018
"42",756,401,42,"Taran Alvelo",300,2019
"43",418,19528,42,"Alex Storako",300,2022
"44",521,13013,42,"Kelly Maxwell",300,2022
"45",229,8393,45,"Kylee Hanson",299,2016
"46",579,18803,46,"Nicole Sleith",296,2015
"47",694,17326,46,"Ashley Rogers",296,2021
"48",559,6211,48,"Lilly Fecho",295,2015
"49",428,7975,48,"Sara Groenewegen",295,2017
"50",37,15732,48,"Maddie Penta",295,2023
"51",388,5216,51,"Jordan Dixon",294,2017
"52",388,14696,51,"Sydney Nester",294,2022
"53",8,6627,53,"Montana Fouts",293,2023
"54",10411,9512,54,"Hannah Houge",292,2022
"55",363,813,55,"Sydney Backstrom",287,2022
"56",464,13696,55,"Kamryn Meyer",287,2022
"57",459,18249,57,"Morgan Scott",286,2022
"58",670,17614,58,"Randi Rupp",284,2015
"59",464,13696,59,"Kamryn Meyer",283,2023
"60",71,7697,60,"Payton Gottshall",282,2021
"61",683,1808,60,"Dawn Bodrug",282,2022
"62",110,2968,62,"Ally Carda",281,2015
"63",519,19468,62,"Danielle Stiene",281,2018
"64",110,6159,62,"Megan Faraimo",281,2022
"65",189,14732,65,"Nicole Newman",280,2016
"66",110,7044,65,"Rachel Garcia",280,2019
"67",127,13671,67,"Laura Messina",278,2015
"68",529,8666,68,"Cheridan Hawkins",275,2015
"69",90,9811,68,"Sierra Hyland",275,2017
"70",8,6627,68,"Montana Fouts",275,2022
"71",692,11928,71,"Danielle Liberatore",274,2015
"72",77,2532,71,"Mckenna Bull",274,2016
"73",676,21800,71,"Kassidy Wilbur",274,2021
"74",8,15261,74,"Alexis Osorio",273,2016
"75",428,15669,74,"Autumn Pease",273,2023
"76",317,7611,76,"Megan Good",271,2017
"77",414,20950,76,"Courtney Vierstra",271,2021
"78",518,8337,76,"Lexie Handley",271,2022
"79",742,11795,76,"Emma Lemley",271,2023
"80",418,19528,80,"Alex Storako",270,2021
"81",522,15509,81,"Paige Parker",269,2016
"82",37,15732,81,"Maddie Penta",269,2022
"83",128,20596,83,"Shelby Turnier",268,2015
"84",388,5216,83,"Jordan Dixon",268,2016
"85",202,6539,83,"Hayley Flynn",268,2016
"86",51,17248,83,"Gia Rodoni",268,2018
"87",231,17713,87,"Shannon Saile",267,2018
"88",147,2761,87,"Valerie Cagle",267,2021
"89",529,22356,87,"Brooke Yanez",267,2021
"90",774,6939,87,"Reily Galloway",267,2022
"91",504,9048,87,"Samantha Heyer",267,2023
"92",234,2647,92,"Jessica Burroughs",266,2017
"93",418,1253,92,"Meghan Beaubien",266,2018
"94",626,913,92,"Maggie Balint",266,2022
"95",688,17382,95,"Alexa Romero",264,2018
"96",257,21842,96,"Chelsea Wilkinson",263,2015
"97",522,15509,97,"Paige Parker",262,2017
"98",28600,10462,98,"Mandy Jordan",261,2017
"99",651,4102,99,"Georgina Corrick",260,2019
"100",716,10272,99,"Leanna Johnson",260,2021
