"","player_id","rank","player","avg","seasons"
"1",22544,1,"Morgan Zerkle","0.489","2015-2017"
"2",5806,2,"Lexie Elkins","0.472","2015-2016"
"3",2620,3,"Kacie Burnett","0.466","2015-2017"
"4",7844,4,"Kaelynn Greene","0.460","2015-2016"
"5",13451,5,"Erica Mcnew","0.457","2015-2016"
"6",13914,6,"Yvon Minogue","0.455","2015-2016"
"7",7180,7,"Nicole Gazzola","0.453","2015-2016"
"8",17395,8,"Sierra Romero","0.452","2015-2016"
"9",11372,9,"Katie Lacour","0.451","2015-2016"
"10",360,10,"Jocelyn Alo","0.449","2018-2022"
"11",13379,11,"Sydney Mckinney","0.448","2019-2023"
"12",1393,12,"Allexis Bennett","0.447","2015-2016"
"13",13246,13,"Katie Mceachern","0.446","2015-2016"
"14",18188,14,"Emma Schutter","0.443","2022-2023"
"15",20451,15,"Ashley Trierweiler","0.440","2020-2023"
"16",13135,16,"Haylie Mccleney","0.438","2015-2016"
"17",5866,17,"Sydni Emanuel","0.435","2015-2017"
"18",3815,18,"Jayda Coleman","0.431","2021-2023"
"19",4225,19,"Jena Cozza","0.429","2015-2018"
"20",19025,20,"Elizabeth Snow","0.429","2015-2017"
"21",1899,21,"Andria Booth","0.426","2018-2019"
"22",12466,22,"Jessica Madrid","0.426","2015-2016"
"23",10121,23,"Tiare Jennings","0.425","2021-2023"
"24",17618,24,"Linda Rush","0.425","2017-2021"
"25",10071,25,"Janae Jefferson","0.423","2018-2022"
"26",11172,26,"Kayla Kowalik","0.423","2019-2023"
"27",3171,27,"Courtney Cashman","0.422","2017-2021"
"28",21415,28,"Lexi Watts","0.419","2016-2019"
"29",3022,29,"Emily Carosone","0.419","2015-2016"
"30",5863,30,"Cortni Emanuel","0.417","2015-2018"
"31",3116,31,"Nia Carter","0.416","2020-2023"
"32",7518,32,"Brittany Gomez","0.416","2015-2016"
"33",14187,33,"Logan Moreland","0.415","2015-2016"
"34",18710,34,"Leslie Sims","0.415","2017-2021"
"35",5383,35,"Megan Dowdy","0.414","2015-2016"
"36",21744,36,"Aubrey Whitmer","0.413","2015-2016"
"37",16152,37,"Jaden Pone","0.412","2022-2023"
"38",491,38,"Rachel Anderson","0.412","2017-2021"
"39",10665,39,"Katie Keller","0.412","2019-2023"
"40",6572,40,"Taty Forbes","0.412","2016-2021"
"41",18072,41,"Amber Schisler","0.412","2015-2017"
"42",13231,42,"Emily Mcdonough","0.411","2015-2016"
"43",718,43,"Caitlin Attfield","0.410","2015-2016"
"44",16028,44,"Lilli Piper","0.410","2016-2019"
"45",19751,45,"Megan Sweet","0.409","2015-2016"
"46",7659,46,"Kate Gordon","0.408","2017-2021"
"47",20101,47,"Makiya Thomas","0.408","2020-2022"
"48",19510,48,"Kiki Stokes","0.408","2015-2016"
"49",21165,49,"Kyla Walker","0.408","2016-2020"
"50",5411,50,"Ivie Drake","0.408","2015-2018"
"51",16456,51,"Melissa Rahrich","0.407","2017-2021"
"52",12207,52,"Amanda Lorenz","0.407","2016-2019"
"53",17404,53,"Kayla Roncin","0.406","2021-2023"
"54",19034,54,"Gabrielle Snyder","0.406","2015-2017"
"55",21624,55,"Ali Wester","0.406","2016-2019"
"56",7445,56,"Taylor Glover","0.406","2015-2017"
"57",21625,57,"Karley Wester","0.405","2015-2017"
"58",6352,58,"Lauren Filicia","0.405","2015-2016"
"59",1284,59,"Rachel Becker","0.405","2019-2023"
"60",10571,60,"Kelly Kapp","0.404","2015-2017"
"61",9646,61,"Jessie Hufstetler","0.404","2015-2016"
"62",5815,62,"Brooke Ellestad","0.404","2022-2023"
"63",1895,63,"Rylie Boone","0.403","2020-2023"
"64",8680,64,"Sandy Hawthorne","0.402","2015-2016"
"65",20625,65,"Paula Ueno","0.402","2015-2016"
"66",15729,66,"Navia Penrod","0.402","2016-2019"
"67",2010,67,"Elena Bowman","0.402","2015-2016"
"68",20027,68,"Stephanie Texeira","0.402","2015-2017"
"69",18545,69,"Vanessa Shippy","0.401","2015-2018"
"70",11673,70,"Kendra Leach","0.401","2015-2018"
"71",15749,71,"Jenavee Peres","0.401","2015-2021"
"72",15953,72,"Erika Piancastelli","0.401","2015-2018"
"73",9556,73,"Tiffany Howard","0.401","2015-2016"
"74",12678,74,"Sasha Margulies","0.401","2015-2016"
"75",17123,75,"Rochelle Roberts","0.400","2015-2018"
"76",13122,76.5,"Justyce Mcclain","0.400","2016-2019"
"77",13184,76.5,"Kasey Mccravey","0.400","2015-2016"
"78",3199,78,"Miranda Castiglione","0.399","2015-2016"
"79",14464,79,"Paige Murphy","0.399","2015-2018"
"80",5176,80,"Kristi Dimeo","0.398","2018-2022"
"81",6121,81,"Sami Fagan","0.398","2015-2016"
"82",1330,82,"Bianka Bell","0.398","2015-2016"
"83",13437,83,"Madelyn Mcnally","0.398","2021-2023"
"84",6137,84,"Kendra Falby","0.397","2022-2023"
"85",3498,85,"Bri Chiusano","0.395","2015-2016"
"86",7709,86,"Kayti Grable","0.395","2015-2017"
"87",21318,87,"Jessie Warren","0.395","2015-2018"
"88",7702,88,"Shaylon Govan","0.394","2020-2023"
"89",3512,89,"Sarah Chow","0.394","2015-2016"
"90",3753,90,"Erin Coffel","0.394","2021-2023"
"91",22035,91,"Mckenzie Wilson","0.394","2019-2023"
"92",3304,92,"Rebekah Cervantes","0.393","2016-2019"
"93",15308,93,"Autumn Owen","0.393","2019-2023"
"94",2174,94,"Lexie Brenneis","0.393","2015-2016"
"95",6481,95,"Hannah Flippen","0.393","2015-2017"
"96",13056,96,"Shelby Maze","0.392","2015-2018"
"97",17356,97,"Alyse Rojas","0.392","2018-2020"
"98",3742,98,"Maggie Cocks","0.392","2015-2016"
"99",8469,99,"Aly Harrell","0.392","2018-2022"
"100",2760,100,"Valerie Cagle","0.392","2020-2023"
