"","player_id","rank","player","avg","seasons"
"1",9937,1,"Kacie Burnett","0.470","2016-2017"
"2",37042,2,"Mariah Jameyson","0.455","2017-2018"
"3",40689,3,"Sophia Knight","0.450","2024-2025"
"4",1245,4,"Jocelyn Alo","0.449","2018-2022"
"5",49671,5,"Sydney Mckinney","0.448","2019-2023"
"6",11959,6,"Courtney Case","0.448","2016-2017"
"7",71044,7,"Elizabeth Snow","0.442","2016-2017"
"8",76411,8,"Ashley Trierweiler","0.440","2020-2024"
"9",21931,9,"Sydni Emanuel","0.438","2016-2017"
"10",69336,10,"Regan Shockey","0.438","2024-2025"
"11",58530,11,"Jenavee Peres","0.434","2016-2021"
"12",25473,12,"Madison Fry","0.432","2020-2024"
"13",15812,13,"Jena Cozza","0.430","2016-2018"
"14",69299,14,"Vanessa Shippy","0.430","2016-2018"
"15",34295,15,"Haley Hodges","0.428","2016-2017"
"16",7153,16,"Andria Booth","0.426","2018-2019"
"17",37368,17,"D'auna Jennings","0.426","2023-2024"
"18",14265,18,"Jayda Coleman","0.425","2021-2024"
"19",65631,19,"Linda Rush","0.425","2017-2021"
"20",37259,20,"Janae Jefferson","0.423","2018-2022"
"21",41240,21,"Kayla Kowalik","0.423","2019-2023"
"22",12011,22,"Courtney Cashman","0.422","2017-2021"
"23",27887,23,"Taylor Glover","0.421","2016-2017"
"24",38806,24,"Kelly Kapp","0.420","2016-2017"
"25",635,25,"Haley Ahr","0.420","2023-2025"
"26",21927,26,"Cortni Emanuel","0.420","2016-2018"
"27",79910,27,"Lexi Watts","0.419","2016-2019"
"28",24186,28,"Hannah Flippen","0.417","2016-2017"
"29",69994,29,"Leslie Sims","0.415","2017-2021"
"30",53728,30,"Paige Murphy","0.415","2016-2018"
"31",13793,31,"Jessica Clements","0.414","2022-2025"
"32",1711,32,"Rachel Anderson","0.412","2017-2021"
"33",56114,33,"Bethany Olea","0.412","2016-2017"
"34",37393,34,"Tiare Jennings","0.412","2021-2024"
"35",71078,35,"Gabrielle Snyder","0.412","2016-2017"
"36",39259,36,"Katie Keller","0.412","2019-2023"
"37",67390,36,"Amber Schisler","0.412","2016-2017"
"38",24524,38,"Taty Forbes","0.412","2016-2021"
"39",59640,39,"Lilli Piper","0.410","2016-2019"
"40",4231,40,"Janessa Bassett","0.410","2016-2018"
"41",63881,41,"Rochelle Roberts","0.410","2016-2018"
"42",65785,42,"Jessica Rutherford","0.409","2016-2018"
"43",28599,43,"Kate Gordon","0.408","2017-2021"
"44",75158,44,"Makiya Thomas","0.408","2020-2022"
"45",79100,45,"Kyla Walker","0.408","2016-2020"
"46",61469,46,"Melissa Rahrich","0.407","2017-2021"
"47",45161,47,"Amanda Lorenz","0.407","2016-2019"
"48",14236,48,"Alex Coleman","0.407","2022-2025"
"49",7140,49,"Rylie Boone","0.406","2020-2024"
"50",80671,50,"Ali Wester","0.406","2016-2019"
"51",48462,51,"Shelby Maze","0.405","2016-2018"
"52",4765,52,"Rachel Becker","0.405","2019-2023"
"53",29378,53,"Meghan Gregg","0.404","2016-2018"
"54",28789,54,"Shaylon Govan","0.404","2020-2025"
"55",49894,55,"Madelyn Mcnally","0.403","2021-2024"
"56",38799,56,"Maddy Kaplan","0.403","2016-2018"
"57",58449,57,"Navia Penrod","0.402","2016-2019"
"58",46683,58,"Ashton Maloney","0.402","2023-2025"
"59",4507,59,"Jaysoni Beachum","0.402","2024-2025"
"60",63055,60,"Madeline Richard","0.401","2016-2017"
"61",17793,61,"Abby Dayton","0.401","2023-2025"
"62",22830,62,"Kendra Falby","0.401","2022-2025"
"63",17614,63,"Mihyia Davis","0.401","2023-2025"
"64",48742,64,"Justyce Mcclain","0.400","2016-2019"
