"","player_id","rank","player","fip","seasons"
"1",49781,1,"Nicole Newman","0.372","2017-2019"
"2",13806,2,"Courtney Coppersmith","1.039","2019-2023"
"3",22611,3,"Montana Fouts","1.188","2019-2023"
"4",14017,4,"Georgina Corrick","1.205","2018-2022"
"5",55869,5,"Morgan Rackel","1.320","2018-2019"
"6",59717,6,"Randi Rupp","1.325","2017-2018"
"7",3587,7,"Kelly Barnhill","1.373","2017-2019"
"8",6168,8,"Dawn Bodrug","1.426","2020-2022"
"9",19804,9,"Miranda Elish","1.430","2017-2022"
"10",20905,10,"Megan Faraimo","1.439","2019-2023"
"11",4809,11,"Laura Bennett","1.492","2021-2024"
"12",1592,12,"Kierstin Anderson-Glass","1.501","2019-2021"
"13",54412,13,"Gabbie Plain","1.515","2018-2022"
"14",24035,14,"Rachel Garcia","1.571","2017-2021"
"15",22157,15,"Morgan Florey","1.615","2017-2019"
"16",9599,16,"Valerie Cagle","1.649","2020-2024"
"17",66236,17,"Danielle Stiene","1.656","2017-2018"
"18",36865,18,"Megan Kleist","1.670","2017-2020"
"19",66470,19,"Alex Storako","1.682","2019-2023"
"20",53213,20,"Maddie Penta","1.695","2021-2024"
"21",5116,21,"Lindsey Bert","1.697","2017-2018"
"22",46631,22,"Ashley Miller","1.701","2021-2024"
"23",43977,23,"Kelly Maxwell","1.723","2020-2024"
"24",58398,24,"Keely Rochard","1.739","2018-2022"
"25",26198,25,"Payton Gottshall","1.778","2020-2024"
"26",33724,26,"Hannah James","1.787","2019-2023"
"27",36563,27,"Meghan King","1.795","2017-2019"
"28",52384,28,"Paige Parker","1.798","2017-2018"
"29",56255,29,"Riley Randolph","1.822","2017-2019"
"30",72615,30,"Emily Watson","1.826","2017-2018"
"31",4217,31,"Meghan Beaubien","1.845","2018-2022"
"32",24257,32,"Megan Garst","1.860","2018-2021"
"33",19957,33,"Summer Ellyson","1.872","2017-2021"
"34",35057,34,"Giselle Juarez","1.875","2017-2021"
"35",45347,35,"Chelsea McManaway","1.879","2017-2018"
"36",70647,36,"Kaylin VanDomelen","1.904","2017-2018"
"37",21751,37,"Amber Fiser","1.906","2017-2021"
"38",25916,38,"Megan Good","1.932","2017-2019"
"39",1263,39,"Taran Alvelo","1.947","2017-2019"
"40",62388,40,"Jacquelyn Sertic","1.957","2017-2018"
"41",18620,41,"Ali Dubois","1.981","2018-2023"
"42",58741,42,"Ashley Rogers","1.987","2019-2023"
"43",73444,43,"Amanda Weyh","1.989","2020-2024"
"44",4242,44,"Kayla Beaver","1.999","2020-2024"
"45",24956,45,"Megan Giese","2.007","2021-2024"
"46",10958,46,"Manda Cash","2.027","2017-2018"
"47",49538,47,"Kelly Nelson","2.031","2019-2022"
"48",75745,48,"Brooke Yanez","2.037","2018-2023"
"49",30615,49,"Samantha Heyer","2.049","2020-2024"
"50",38423,50,"Kandra Lamb","2.063","2019-2023"
"51",73684,51,"Ryley White","2.063","2020-2024"
"52",46311,52,"Kamryn Meyer","2.083","2020-2024"
"53",8148,53,"Kenedi Brown","2.107","2020-2024"
"54",71265,54,"Courtney Vierstra","2.108","2018-2022"
"55",69383,55,"Hope Trautwein","2.124","2018-2022"
"56",52493,56,"Bailey Parshall","2.125","2019-2023"
"57",24535,57,"Raeanne Geffert","2.126","2017-2020"
"58",41319,58,"Shelby Lowe","2.128","2021-2024"
"59",51158,59,"Kiara Oliver","2.128","2018-2020"
"60",45522,60,"Taylor McQuillin","2.146","2017-2019"
"61",76316,61,"Kara Zazzaro","2.148","2019-2023"
"62",18183,62,"Allison Doocy","2.154","2017-2021"
"63",34953,63,"Mandy Jordan","2.154","2017-2019"
"64",43282,64,"Makayla Martin","2.158","2017-2019"
"65",5404,65,"Christina Biggerstaff","2.159","2018-2019"
"66",51254,66,"Marybeth Olson","2.164","2018-2022"
"67",37046,67,"Tori Kniesche","2.164","2021-2024"
"68",36337,68,"Lexi Kilfoyl","2.167","2020-2024"
"69",3110,69,"Maggie Balint","2.180","2017-2022"
"70",9991,70,"Sydney Campbell","2.183","2020-2024"
"71",64307,71,"Isabella Smith","2.185","2022-2024"
"72",49727,72,"McKenzie Newcomb","2.193","2022-2024"
"73",39353,73,"Alyssa LeBlanc","2.195","2020-2022"
"74",31895,74,"Carley Hoover","2.200","2017-2018"
"75",43082,75,"Rachel Marsden","2.205","2020-2024"
"76",53321,76,"Jenna Perez","2.220","2021-2024"
"77",72091,77,"Allie Walljasper","2.224","2017-2018"
"78",74224,78,"Danielle Williams","2.224","2019-2023"
"79",6111,79,"Allison Boaz","2.234","2020-2024"
"80",17676,80,"Julia DiMartino","2.237","2017-2019"
"81",39869,81,"Jennifer Leonhardt","2.245","2017-2021"
"82",38231,82,"Olivia Lackie","2.246","2021-2024"
"83",48658,83,"Jessica Mullins","2.263","2021-2024"
"84",57547,84,"Karli Ricketts","2.266","2019-2022"
"85",31134,85,"Brittany Hitchcock","2.267","2017-2019"
"86",11313,86,"Jada Cecil","2.270","2022-2024"
"87",53993,87,"Calista Phippen","2.271","2019-2023"
"88",60120,88,"Shannon Saile","2.276","2017-2021"
"89",35835,89,"Alyssa Kelly","2.296","2022-2024"
"90",19325,90,"Alexis Eastman","2.296","2017-2018"
"91",51610,91,"Alexis Osorio","2.299","2017-2018"
"92",12501,92,"Morgan Clausen","2.304","2019-2022"
"93",53230,93,"Peyton Pepkowski","2.307","2022-2024"
"94",39450,94,"Brooklin Lee","2.313","2017-2020"
"95",65217,95,"Jaclyn Spencer","2.317","2017-2020"
"96",73972,96,"Kassidy Wilbur","2.317","2019-2022"
"97",62698,97,"Lauren Shaw","2.321","2018-2023"
"98",29722,98,"Savannah Heebner","2.337","2017-2019"
"99",33633,99,"Molly Jacobsen","2.341","2019-2021"
"100",70899,100,"Alana Vawter","2.344","2020-2024"
