"","player_id","rank","player","ip","seasons"
"1",15182,1,"Georgina Corrick",966,"2018-2022"
"2",79692,2,"Alea White",950.9,"2017-2021"
"3",44460,3,"Mariah Lopez",931.3,"2017-2024"
"4",37338,4,"Leanna Johnson",875.2,"2019-2023"
"5",58523,5,"Brittany Pickett",873.6,"2017-2021"
"6",47787,6,"Mariah Mazon",853.6,"2018-2022"
"7",76800,7,"Alana Vawter",842.8,"2020-2024"
"8",23544,8,"Amber Fiser",838.7,"2017-2021"
"9",80393,9,"Danielle Williams",832.7,"2019-2023"
"10",52703,10,"Jessica Mullins",827.6,"2021-2024"
"11",58920,11,"Gabbie Plain",816,"2018-2022"
"12",2939,12,"Sydney Backstrom",813.7,"2018-2022"
"13",41881,13,"Sierra Lange",812.8,"2018-2022"
"14",24483,14,"Montana Fouts",807.2,"2019-2023"
"15",10821,15,"Sydney Campbell",793.6,"2020-2024"
"16",43169,16,"Jennifer Leonhardt",792.8,"2017-2021"
"17",20998,17,"Carrie Eberle",783.7,"2017-2021"
"18",28385,18,"Payton Gottshall",777.6,"2020-2024"
"19",4599,19,"Kayla Beaver",776.7,"2020-2024"
"20",63226,20,"Keely Rochard",769.8,"2018-2022"
"21",41388,21,"Olivia Lackie",769.5,"2021-2024"
"22",53753,22,"Sydney Nester",766.9,"2019-2023"
"23",77198,23,"Courtney Vierstra",757.9,"2018-2022"
"24",21608,24,"Summer Ellyson",754.8,"2017-2021"
"25",50157,25,"Kamryn Meyer",746.8,"2020-2024"
"26",10395,26,"Valerie Cagle",742.7,"2020-2024"
"27",19504,27,"Hailey Dolcini",739.6,"2018-2022"
"28",67098,28,"Morgan Scott",737.1,"2020-2024"
"29",4572,29,"Meghan Beaubien",737,"2018-2022"
"30",82030,30,"Brooke Yanez",734,"2018-2023"
"31",30075,31,"Mary Haff",729,"2018-2022"
"32",5927,32,"Alyssa Bilodeau",728.8,"2017-2021"
"33",80118,33,"Kassidy Wilbur",724.6,"2019-2022"
"34",36508,34,"Hannah James",720.8,"2019-2023"
"35",26040,35,"Rachel Garcia",714.4,"2017-2021"
"36",20185,36,"Ali Dubois",706,"2018-2023"
