"","player_id","rank","player","k_bb","seasons"
"1",1593,1,"Kierstin Anderson-Glass","6.8","2016-2021"
"2",20958,2,"Megan Faraimo","6.7","2019-2023"
"3",51022,3,"Aleshia Ocasio","6.3","2016-2018"
"4",28540,4,"Kylee Hanson","5.9","2016-2018"
"5",49839,5,"McKenzie Newcomb","5.8","2022-2024"
"6",55992,6,"Morgan Rackel","5.7","2018-2019"
"7",27136,7,"Sara Groenewegen","5.4","2016-2017"
"8",41408,8,"Shelby Lowe","5.2","2021-2024"
"9",71071,9,"Jenna Veber","4.8","2020-2024"
"10",4821,10,"Laura Bennett","4.8","2021-2024"
"11",22669,11,"Montana Fouts","4.8","2019-2023"
"12",36946,12,"Megan Kleist","4.7","2016-2020"
"13",59847,13,"Randi Rupp","4.7","2016-2018"
"14",33384,14,"Emily Ira","4.7","2016-2019"
"15",9196,15,"Jessica Burroughs","4.5","2016-2017"
"16",26289,16,"Delanie Gourley","4.5","2016-2017"
"17",24596,17,"Raeanne Geffert","4.5","2017-2020"
"18",35137,18,"Giselle Juarez","4.5","2017-2021"
"19",20007,19,"Summer Ellyson","4.5","2017-2021"
"20",14052,20,"Georgina Corrick","4.4","2018-2022"
"21",33801,21,"Hannah James","4.4","2019-2023"
"22",13841,22,"Courtney Coppersmith","4.4","2019-2023"
"23",49893,23,"Nicole Newman","4.3","2016-2019"
"24",54533,24,"Gabbie Plain","4.3","2018-2022"
"25",6183,25,"Dawn Bodrug","4.3","2020-2022"
"26",52612,26,"Bailey Parshall","4.3","2019-2023"
"27",72767,27,"Emily Watson","4.3","2016-2018"
"28",19853,28,"Miranda Elish","4.3","2017-2022"
"29",52502,29,"Paige Parker","4.2","2016-2018"
"30",9622,30,"Valerie Cagle","4.1","2020-2024"
"31",26261,31,"Payton Gottshall","4.1","2020-2024"
"32",39813,32,"Emma Lemley","4.0","2022-2024"
"33",66289,33,"Alex Stewart","4.0","2016-2017"
"34",66614,34,"Alex Storako","4.0","2019-2023"
"35",31203,35,"Brittany Hitchcock","4.0","2016-2019"
"36",51370,36,"Marybeth Olson","4.0","2018-2022"
"37",58526,37,"Keely Rochard","3.9","2018-2022"
"38",3595,38,"Kelly Barnhill","3.8","2016-2019"
"39",24096,39,"Rachel Garcia","3.8","2017-2021"
