"","player_id","rank","player","whip","seasons"
"1",56343,1,"Nicole Newman","0.751","2017-2019"
"2",11319,2,"Nijaree Canady","0.778","2023-2024"
"3",23592,3,"Megan Faraimo","0.806","2019-2023"
"4",4031,4,"Kelly Barnhill","0.815","2017-2019"
"5",30589,5,"Maddia Groff","0.845","2024-2025"
"6",15550,6,"Courtney Coppersmith","0.863","2019-2023"
"7",66480,7,"Ashley Rogers","0.869","2019-2023"
"8",59296,8,"Paige Parker","0.870","2017-2018"
"9",15787,9,"Georgina Corrick","0.871","2018-2022"
"10",29284,10,"Megan Good","0.879","2017-2019"
"11",39007,11,"Maya Johnson","0.899","2023-2025"
"12",39629,12,"Giselle Juarez","0.899","2017-2021"
"13",1783,13,"Kierstin Anderson-glass","0.907","2019-2021"
"14",41677,14,"Megan Kleist","0.914","2017-2020"
"15",22508,15,"Summer Ellyson","0.919","2017-2021"
"16",6941,16,"Dawn Bodrug","0.927","2020-2022"
"17",64888,17,"Kasey Ricard","0.929","2023-2025"
"18",3158,18,"Jordyn Bahl","0.931","2022-2025"
"19",68475,19,"Kathryn Sandercock","0.946","2019-2023"
"20",22339,20,"Miranda Elish","0.956","2017-2022"
"21",61582,21,"Gabbie Plain","0.957","2018-2022"
"22",25535,22,"Montana Fouts","0.964","2019-2023"
"23",75242,23,"Alex Storako","0.964","2019-2023"
"24",5776,24,"Lindsey Bert","0.965","2017-2018"
"25",66090,25,"Keely Rochard","0.966","2018-2022"
"26",67586,26,"Randi Rupp","0.967","2017-2018"
"27",81637,27,"Allie Walljasper","0.970","2017-2018"
"28",67764,28,"Maddi Rutan","0.976","2024-2025"
"29",11750,29,"Kaylee Carlson","0.978","2017-2018"
"30",27172,30,"Rachel Garcia","0.979","2017-2021"
"31",29606,31,"Payton Gottshall","0.980","2020-2024"
"32",61152,32,"Karlyn Pickens","0.986","2023-2025"
"33",6095,33,"Christina Biggerstaff","0.990","2018-2019"
"34",27421,34,"Megan Garst","0.992","2018-2021"
"35",82235,35,"Emily Watson","1.000","2017-2018"
"36",38109,36,"Hannah James","1.006","2019-2023"
"37",4759,37,"Meghan Beaubien","1.011","2018-2022"
"38",63227,38,"Morgan Rackel","1.012","2018-2019"
"39",51535,39,"Taylor Mcquillin","1.015","2017-2019"
"40",41088,40,"Lexi Kilfoyl","1.015","2020-2024"
"41",43443,41,"Kandra Lamb","1.019","2019-2023"
"42",31369,42,"Mary Haff","1.026","2018-2022"
"43",43227,43,"Olivia Lackie","1.028","2021-2024"
"44",39511,44,"Mandy Jordan","1.028","2017-2019"
"45",49765,45,"Kelly Maxwell","1.030","2020-2024"
"46",60226,46,"Maddie Penta","1.030","2021-2024"
"47",41339,47,"Meghan King","1.032","2017-2019"
"48",980,48,"Odicci Alexander","1.042","2017-2021"
"49",16034,49,"Autumn Courtney","1.055","2023-2025"
"50",10803,50,"Valerie Cagle","1.055","2020-2024"
"51",49795,51,"Nicole May","1.057","2021-2024"
"52",85739,52,"Brooke Yanez","1.058","2018-2023"
"53",83855,53,"Alivia Wilken","1.060","2024-2025"
"54",56280,54,"Mckenzie Newcomb","1.061","2022-2024"
"55",33588,55,"Savannah Heebner","1.061","2017-2019"
"56",35174,56,"Brittany Hitchcock","1.061","2017-2019"
"57",45093,57,"Jennifer Leonhardt","1.075","2017-2021"
"58",46724,58,"Shelby Lowe","1.079","2021-2024"
"59",63673,59,"Riley Randolph","1.081","2017-2019"
"60",1411,60,"Taran Alvelo","1.082","2017-2019"
"61",3500,61,"Maggie Balint","1.083","2017-2022"
"62",59420,62,"Bailey Parshall","1.083","2019-2023"
"63",55071,63,"Jessica Mullins","1.084","2021-2024"
"64",46982,64,"Natalie Lugo","1.085","2018-2022"
"65",4788,65,"Kayla Beaver","1.085","2020-2024"
"66",17107,66,"Cassidy Curd","1.088","2023-2025"
"67",24549,67,"Amber Fiser","1.091","2017-2021"
"68",20333,68,"Hailey Dolcini","1.092","2018-2022"
"69",78557,69,"Hope Trautwein","1.094","2018-2022"
"70",6869,70,"Allison Boaz","1.096","2020-2024"
"71",28592,71,"Grace Glanzer","1.101","2020-2023"
"72",36039,72,"Carley Hoover","1.101","2017-2018"
"73",74976,73,"Danielle Stiene","1.103","2017-2018"
"74",66812,74,"Rachel Rook","1.103","2018-2022"
"75",19965,75,"Julia Dimartino","1.103","2017-2019"
"76",83172,76,"Amanda Weyh","1.106","2020-2024"
"77",38969,77,"Leanna Johnson","1.107","2019-2023"
"78",9554,78,"Stephanie Bryden","1.107","2017-2019"
"79",72785,79,"Isabella Smith","1.107","2022-2025"
"80",57120,80,"Hannah Null","1.111","2017-2018"
"81",84048,81,"Danielle Williams","1.113","2019-2023"
"82",68035,82,"Shannon Saile","1.114","2017-2021"
"83",5462,83,"Allison Benning","1.114","2022-2025"
"84",51330,84,"Chelsea Mcmanaway","1.115","2017-2018"
"85",54770,85,"Matty Moss","1.117","2017-2019"
"86",21042,86,"Ali Dubois","1.119","2018-2023"
"87",41879,87,"Tori Kniesche","1.119","2021-2024"
"88",80292,88,"Alana Vawter","1.122","2020-2024"
"89",75899,89,"Emma Summers","1.123","2021-2024"
"90",51291,90,"Lindsey Mcleod","1.123","2017-2019"
"91",77969,91,"Taylor Tinsley","1.125","2023-2025"
