"","player_id","rank","player","hr","seasons"
"1",25065,1,"Brooke Goad",68,"2016-2018"
"2",51552,2,"Mary Pardo",65,"2019-2022"
"3",59495,3,"Ruby Salzman",64,"2019-2023"
"4",6018,4,"Kayson Boatner",63,"2019-2023"
"5",42565,5,"Hannah Marsteller",60,"2019-2023"
"6",28142,6,"Ashley Hardin",58,"2016-2018"
"7",71626,6,"Elexis Watson",58,"2018-2022"
"8",9110,8,"Brenna Busby",57,"2017-2021"
"9",13642,9,"Hannah rose Corbin",56,"2019-2023"
"10",47097,9,"Kylee Moore",56,"2016-2019"
"11",72020,9,"Kaitlin Weis",56,"2017-2021"
"12",19498,12,"Angelique Elemen",53,"2016-2019"
"13",39325,12,"Kylee Leonhardt",53,"2018-2022"
"14",52910,12,"Shannon Petersen",53,"2016-2019"
"15",30448,15,"Morgan Hill",52,"2016-2024"
"16",56106,15,"Samantha Reilly",52,"2017-2019"
"17",67433,15,"Jordyn Thomas",52,"2018-2022"
"18",73463,15,"Zoe Willis",52,"2021-2024"
"19",3530,19,"Courtney Barnhill",50,"2017-2021"
"20",11053,19,"Kayla Cato",50,"2016-2019"
"21",659,21,"Kiara Akles",49,"2018-2022"
"22",67837,21,"Hayley Tierce",49,"2016-2019"
"23",15970,23,"Danelle Day",48,"2017-2021"
"24",73140,23,"Faith Willenbrock",48,"2018-2021"
"25",38376,25,"Clara Larson",47,"2017-2021"
"26",45821,26,"Kenzie Middleton",46,"2021-2024"
"27",14545,27,"Katie Crogan",45,"2018-2022"
"28",30816,27,"Brooke Hodgson",45,"2016-2018"
"29",42906,27,"Brenna Martini",45,"2016-2018"
"30",3515,30,"Haley Barnette",43,"2016-2020"
"31",11446,30,"Roxy Chapa",43,"2016-2019"
"32",14983,30,"Caitllyn Curlee",43,"2018-2022"
"33",20186,30,"Jasmin Estrada",43,"2019-2023"
"34",15570,34,"Olivia Daugherty",42,"2019-2023"
"35",52474,34,"Nikki Pennington",42,"2020-2022"
"36",62759,34,"Haley Simonds",42,"2017-2021"
"37",64391,34,"Nicole Spiegelberg",42,"2017-2021"
"38",34672,38,"Maggie Kadrlik",41,"2016-2019"
"39",49016,38,"Libby Neveau",41,"2020-2023"
"40",51021,38,"Faith Otts",41,"2017-2021"
"41",7402,41,"Jessica Bren",40,"2018-2021"
"42",21446,41,"Brittanee Fisher",40,"2018-2022"
"43",27841,41,"Shelby Hammontree",40,"2017-2021"
"44",47339,41,"Brandy Morgan",40,"2016-2018"
"45",68234,41,"Annmarie Torres",40,"2017-2020"
"46",11958,46,"Haleigh Christopher",39,"2017-2019"
"47",29204,46,"Jobi Heath",39,"2016-2019"
"48",30438,46,"Logan Hill",39,"2018-2021"
"49",50205,46,"Lauren Oberle",39,"2017-2021"
"50",52542,46,"Elizabeth Perdue",39,"2016-2019"
"51",66112,46,"Abby Sulte",39,"2022-2024"
"52",23201,52,"Andrea Gahan",38,"2017-2019"
"53",28307,52,"Shayla Harper",38,"2021-2023"
"54",40970,52,"Piper Lujan",38,"2019-2022"
"55",46374,52,"Jacee Minter",38,"2021-2024"
"56",46759,52,"Marisa Monasseri",38,"2016-2018"
"57",49367,52,"Cailah Niles",38,"2016-2018"
"58",50263,52,"Mary beth Odom",38,"2016-2019"
"59",52574,52,"Ashley Perez",38,"2018-2022"
"60",56155,52,"Christa Reisinger",38,"2016-2019"
"61",10338,61,"Abigale Carney",37,"2018-2022"
"62",15994,61,"Stephanie Day",37,"2017-2021"
"63",18097,61,"Maddie Dow",37,"2016-2017"
"64",19691,61,"Morgan Elston",37,"2019-2022"
"65",29101,61,"Tyler Hays",37,"2016-2021"
"66",34312,61,"Kaylee Jones",37,"2016-2022"
"67",42632,61,"Gia Martin",37,"2021-2024"
"68",57610,61,"Jessie Rock",37,"2018-2022"
"69",65422,61,"Kaity Stocker",37,"2018-2021"
"70",65632,61,"Rylee Stout",37,"2018-2022"
"71",392,71,"Makenzie Addis",36,"2018-2023"
"72",12013,71,"Torri Chute",36,"2020-2024"
"73",12989,71,"Mary Collins",36,"2016-2019"
"74",31217,71,"Nikoma Holmen",36,"2018-2021"
"75",39662,71,"Abby Lien",36,"2021-2023"
"76",44905,71,"Brianna Mcrae",36,"2019-2023"
"77",45915,71,"Alexis Miles",36,"2018-2022"
"78",58018,71,"Rylie Rohr",36,"2021-2024"
"79",68260,71,"Jill Torres",36,"2017-2021"
"80",69602,71,"Lani Van zyl",36,"2016-2019"
"81",73421,71,"Maria Williamson",36,"2016-2019"
"82",6180,82,"Chloe Bohuslavicky",35,"2021-2023"
"83",8211,82,"Morgan Bruce",35,"2016-2018"
"84",8866,82,"Erikka Burke",35,"2016-2018"
"85",16601,82,"Cheyenne Demaree",35,"2017-2021"
"86",25074,82,"Lydia Goble",35,"2019-2023"
"87",29999,82,"Skylar Herrera",35,"2020-2024"
"88",33118,82,"Kaila Jacobi",35,"2016-2019"
"89",56917,82,"Tymber Riley",35,"2019-2022"
"90",57231,82,"Kiley Robb",35,"2019-2021"
"91",64789,82,"Olivia Stansbury",35,"2022-2024"
"92",3218,92,"Kaitlyn Bannister",34,"2016-2017"
"93",9305,92,"Bailey Byers",34,"2018-2021"
"94",11880,92,"Callie Christensen",34,"2017-2021"
"95",15717,92,"Cameron Davis",34,"2019-2023"
"96",46017,92,"Brooke Miller",34,"2017-2024"
"97",50574,92,"Serena Olson",34,"2016-2018"
"98",68489,92,"Sydney Trees",34,"2019-2023"
"99",74975,92,"Delaney Young",34,"2019-2023"
"100",1311,100,"Elyse Ambrose",33,"2019-2023"
