"","player_id","rank","player","k_7","seasons"
"1",57751,1,"Coley Ries","11.7","2016-2017"
"2",30698,2,"Lindsey Hibbs","11.5","2021-2023"
"3",53643,3,"Hannah Perryman","11.0","2016-2016"
"4",52924,4,"Liz Pautz","10.9","2019-2022"
"5",76121,5,"Jessica Yost","10.7","2016-2017"
"6",58348,6,"Kayla Robins","10.5","2016-2017"
"7",27512,7,"Jalissa Gum","10.5","2016-2017"
"8",8860,8,"Katie Burawski","10.4","2020-2022"
"9",40555,9,"Allison Lipovsky"," 9.8","2016-2019"
"10",56118,10,"Lauren Rakes"," 9.7","2020-2024"
"11",64537,11,"Kylee Smith"," 9.6","2017-2021"
"12",34881,12,"Kayleigh Jones"," 9.6","2020-2024"
"13",76520,13,"Cyrena Zemaitis"," 9.4","2018-2021"
"14",16810,14,"Carissa Della Vecchia"," 9.4","2019-2023"
"15",7513,15,"Holly Brehm"," 9.3","2022-2024"
"16",1343,16,"Makenzie Amend"," 9.3","2018-2022"
"17",59933,17,"Joni Russell"," 9.3","2022-2024"
"18",68927,18,"Andee Tiffee"," 9.3","2017-2020"
"19",35517,19,"Anna Kasner"," 9.2","2017-2021"
"20",50603,20,"Callie Nunes"," 9.1","2018-2023"
"21",28599,21,"Erin Harden"," 9.1","2016-2018"
"22",72459,22,"Mackenzie Ward"," 9.1","2018-2022"
"23",1554,23,"Meghan Anderson"," 9.0","2020-2023"
"24",16890,24,"Darby Demarest"," 9.0","2016-2019"
"25",5255,25,"Kayla Betts"," 8.8","2020-2023"
"26",70523,26,"Maxine Valdez"," 8.8","2020-2024"
"27",17890,27,"Lauren Dixon"," 8.8","2021-2024"
"28",24012,28,"Gisselle Garcia"," 8.8","2022-2023"
"29",58304,29,"Emmie Robertson"," 8.8","2016-2017"
"30",50405,30,"Tiaria Norman"," 8.8","2016-2018"
"31",74475,31,"Maddie Williams"," 8.6","2016-2017"
"32",17152,32,"Cameron Derr"," 8.6","2018-2021"
"33",5249,33,"Kristina Bettis"," 8.6","2022-2024"
"34",36457,34,"Hannah Killough"," 8.4","2021-2024"
"35",57564,35,"Samantha Richards"," 8.3","2020-2023"
"36",26956,36,"Jaelin Griffin"," 8.2","2018-2021"
"37",55771,37,"Ellie Quaethem"," 8.2","2021-2024"
"38",53356,38,"Stephanie Pepper"," 8.2","2016-2019"
"39",43080,39,"Brandy Marlett"," 8.1","2016-2018"
"40",36950,40,"Jordyn Kleman"," 8.1","2017-2021"
"41",1524,41,"Kelsi Anderson"," 8.1","2021-2024"
"42",65184,42,"Callie Sowers"," 8.1","2022-2024"
"43",52732,43,"Annie Paterson"," 8.1","2019-2022"
"44",25283,44,"Jaycee Ginter"," 8.1","2021-2024"
"45",38968,45,"Brooke Larsen"," 8.0","2018-2022"
"46",2460,46,"Paige Austin"," 8.0","2018-2022"
"47",54863,47,"Courtney Poole"," 8.0","2016-2016"
"48",32221,48,"Hannah Houge"," 7.9","2018-2021"
"49",6557,49,"Sidney Booth"," 7.8","2020-2024"
"50",53632,50,"Morgan Perry"," 7.8","2017-2021"
"51",68062,51,"Victoria Taylor"," 7.8","2017-2021"
"52",64523,52,"Kenzee Smith"," 7.8","2021-2024"
"53",13864,53,"Hannah Rose Corbin"," 7.8","2019-2023"
"54",30088,54,"Evyn Hendrickson"," 7.7","2018-2021"
"55",35191,55,"Trinity Junker"," 7.7","2020-2023"
"56",7429,56,"Alex Braun"," 7.7","2018-2021"
"57",28270,57,"Grace Hammer"," 7.7","2020-2024"
"58",48740,58,"Ally Muller"," 7.7","2018-2021"
"59",19908,59,"Amber Elliott"," 7.6","2018-2022"
"60",36664,60,"Carly Kingery"," 7.6","2016-2019"
"61",61234,61,"Annie Scaramuzzi"," 7.6","2020-2023"
"62",76129,62,"Aspen Younce"," 7.6","2020-2023"
"63",73037,63,"Allison Webster"," 7.6","2016-2017"
"64",47945,64,"Andrea Morales"," 7.6","2018-2022"
"65",64153,65,"Bekah Slattery"," 7.5","2016-2019"
"66",74155,66,"Abby Wild"," 7.5","2018-2021"
"67",28788,67,"Kylie Harpman"," 7.5","2022-2024"
"68",46775,68,"Claire Miller"," 7.5","2017-2018"
"69",60944,69,"Emily Sappington"," 7.4","2021-2024"
"70",54857,70,"Sydney Ponto"," 7.4","2016-2017"
"71",57093,71,"Ashley Remington"," 7.4","2019-2022"
"72",68308,72,"Mallory Teunissen"," 7.3","2017-2019"
"73",33930,73,"Jessica Jarecki"," 7.3","2017-2018"
"74",11903,74,"Jayden Chestnut"," 7.3","2017-2018"
"75",29175,75,"Grayson Harvey"," 7.3","2016-2018"
"76",16926,76,"Megan Demler"," 7.3","2018-2022"
"77",72704,77,"Hallie Waters"," 7.3","2018-2021"
"78",44402,78,"Makayla McCarthy"," 7.3","2018-2021"
"79",4222,79,"Hannah Beatus"," 7.3","2018-2023"
"80",14545,80,"Kali Crandall"," 7.3","2019-2023"
"81",1682,81,"Ilona Andringa"," 7.3","2017-2018"
"82",8098,82,"Danielle Brown"," 7.3","2016-2018"
"83",9467,83,"Kelsey Byers"," 7.3","2019-2024"
"84",53672,84,"Jessica Perucki"," 7.2","2020-2023"
"85",23808,85,"Taylor Galyean"," 7.2","2019-2023"
"86",23252,86,"Emma Frost"," 7.2","2020-2024"
"87",4403,87,"Morgan Beeler"," 7.2","2020-2023"
"88",74822,88,"Taryn Wilson"," 7.2","2016-2019"
"89",30525,89,"Kimbri Herring"," 7.2","2017-2019"
"90",17083,90,"Emily Depew"," 7.1","2020-2024"
"91",29463,91,"Chelsea Hawks"," 7.1","2016-2017"
"92",30742,92,"Haile Hicks"," 7.1","2021-2024"
"93",3982,93,"Danielle Bauer"," 7.1","2020-2023"
"94",16544,94,"Alix DeDreu"," 7.1","2016-2019"
"95",25586,95,"Tatum Goff"," 7.0","2022-2023"
"96",39405,96,"McKenna Leamon"," 6.9","2020-2023"
"97",20931,97,"McKenna Falwell"," 6.9","2020-2023"
"98",70054,98,"Carly Turner"," 6.9","2019-2023"
"99",72479,99,"Sydney Ward"," 6.9","2022-2024"
"100",15358,100,"Raechel Cutcher"," 6.9","2020-2024"
