"","player_id","rank","player","ops","seasons"
"1",68802,1,"Abby Sulte","1.44","2022-2024"
"2",76431,2,"Zoe Willis","1.42","2021-2024"
"3",26114,3,"Brooke Goad","1.41","2016-2018"
"4",58402,4,"Samantha Reilly","1.41","2017-2019"
"5",49011,5,"Kylee Moore","1.40","2016-2019"
"6",44305,6,"Hannah Marsteller","1.39","2019-2023"
"7",14208,7,"Hannah rose Corbin","1.39","2019-2023"
"8",44656,8,"Brenna Martini","1.38","2016-2018"
"9",36992,9,"Sarah Kennedy","1.37","2016-2017"
"10",59031,10,"Patricia Riches","1.36","2017-2019"
"11",3354,11,"Kaitlyn Bannister","1.36","2016-2017"
"12",48664,12,"Marisa Monasseri","1.36","2016-2018"
"13",45178,13,"Malea Maye","1.35","2016-2017"
"14",50300,14,"Diana Murtha","1.34","2022-2024"
"15",29320,15,"Ashley Hardin","1.34","2016-2018"
"16",13275,16,"Caitlyn Cole","1.34","2023-2024"
"17",16073,17,"Starkeira Daniel","1.33","2016-2019"
"18",18865,18,"Maddie Dow","1.33","2016-2017"
"19",29604,19,"Lauren Harris","1.32","2019-2024"
"20",2250,20,"Myah Arrieta","1.31","2022-2024"
"21",19874,21,"Kamryn Eaton","1.31","2022-2024"
"22",9686,22,"Bailey Byers","1.31","2018-2021"
"23",24187,23,"Andrea Gahan","1.30","2017-2019"
"24",70999,24,"Annmarie Torres","1.30","2017-2020"
"25",58455,25,"Christa Reisinger","1.30","2016-2019"
"26",76097,26,"Faith Willenbrock","1.29","2018-2021"
"27",32094,27,"Brooke Hodgson","1.29","2016-2018"
"28",77294,28,"Sharnitra Woods","1.29","2016-2018"
"29",29843,29,"Stephanie Hartness","1.29","2016-2017"
"30",10221,30,"Kailyn Campbell","1.28","2016-2017"
"31",9717,31,"Kelly Byrd","1.28","2018-2019"
"32",20319,32,"Angelique Elemen","1.27","2016-2019"
"33",1692,33,"Kendall Andrews","1.27","2022-2024"
"34",54714,34,"Ashley Perez","1.27","2018-2022"
"35",20544,35,"Kylie Emanuele","1.27","2021-2024"
"36",74470,36,"Taylor Watford","1.27","2023-2024"
"37",12510,37,"Torri Chute","1.27","2020-2024"
"38",36090,38,"Maggie Kadrlik","1.27","2016-2019"
"39",72378,39,"Suka Van gurp","1.26","2018-2019"
"40",51358,40,"Cailah Niles","1.26","2016-2018"
"41",66038,41,"Jt Smith","1.26","2023-2024"
"42",4990,42,"Emily Benson","1.25","2016-2019"
"43",9603,43,"Lyndsay Butler","1.25","2016-2017"
"44",67415,44,"Olivia Stansbury","1.24","2022-2024"
"45",24681,45,"Nicole Garcia","1.24","2018-2019"
"46",46740,46,"Brianna Mcrae","1.24","2019-2023"
"47",2941,47,"Macauley Bailey","1.24","2023-2024"
"48",67345,48,"Ann marie Stanbridge","1.24","2023-2024"
"49",73303,49,"Kelsey Vining","1.23","2016-2018"
"50",60713,50,"Hannah Rose","1.23","2021-2024"
"51",19845,51,"Sierra Easterwood","1.23","2020-2022"
"52",48923,52,"Sophie Mooney","1.22","2023-2024"
"53",40398,53,"Alyssa Leblanc","1.22","2023-2024"
"54",39472,54,"Millay Lambert","1.22","2022-2023"
"55",36840,55,"Tatianna Kelly","1.22","2017-2022"
"56",12454,56,"Haleigh Christopher","1.21","2017-2019"
"57",40927,57,"Kylee Leonhardt","1.21","2018-2022"
"58",6261,58,"Kayson Boatner","1.21","2019-2023"
"59",22724,59,"Kasey Flores","1.21","2022-2023"
"60",65310,60,"Haley Simonds","1.21","2017-2021"
"61",21660,61,"Elisa Favela","1.21","2019-2021"
"62",61923,62,"Ruby Salzman","1.21","2019-2023"
"63",30318,63,"Tyler Hays","1.20","2016-2021"
"64",1749,64,"Aleese Angelo","1.20","2021-2024"
"65",49180,65,"Taylor Moran","1.20","2017-2018"
"66",44889,66,"Megan Matheis","1.20","2023-2024"
"67",9480,67,"Brenna Busby","1.20","2017-2021"
"68",68606,68,"Kaitlyn Stufft","1.20","2021-2024"
"69",69208,69,"Tylia Sylestine","1.20","2017-2019"
"70",17700,70,"Jenna Devens","1.20","2022-2024"
"71",54007,71,"Delaney Patella","1.19","2023-2024"
"72",25020,72,"Bailey Gaspar","1.19","2016-2018"
"73",54612,73,"Nikki Pennington","1.19","2020-2022"
"74",59862,74,"Taylor Robinson","1.19","2022-2023"
