"","player_id","rank","player","rc","seasons"
"1",48774,1,"Hannah Marsteller",287.3,"2019-2023"
"2",64368,2,"Christa Reisinger",285.69,"2016-2019"
"3",28698,3,"Lydia Goble",250.76,"2019-2023"
"4",13698,4,"Torri Chute",240.62,"2020-2024"
"5",57225,5,"Emily O'connor",233.04,"2020-2024"
"6",15554,6,"Hannah rose Corbin",232.59,"2019-2023"
"7",28687,7,"Brooke Goad",227.07,"2016-2018"
"8",66840,8,"Hannah Rose",224.92,"2021-2024"
"9",68166,9,"Ruby Salzman",224.87,"2019-2023"
"10",79790,10,"Lani Van zyl",224.44,"2016-2019"
"11",34865,11,"Morgan Hill",224.35,"2016-2024"
"12",60240,12,"Ashley Perez",221.54,"2018-2022"
"13",4003,13,"Haley Barnette",219.95,"2016-2020"
"14",52522,14,"Kenzie Middleton",218.21,"2021-2024"
"15",39044,15,"Taylor Johnson",215.25,"2016-2020"
"16",43953,16,"Clara Larson",214.41,"2017-2021"
"17",2463,17,"Myah Arrieta",212.22,"2022-2025"
"18",49161,18,"Brenna Martini",211.64,"2016-2018"
"19",82112,19,"Elexis Watson",209.76,"2018-2022"
"20",18252,20,"Stephanie Day",207.5,"2017-2021"
"21",64306,21,"Samantha Reilly",207.09,"2017-2019"
"22",32235,22,"Ashley Hardin",205.26,"2016-2018"
"23",78195,23,"Annmarie Torres",202.16,"2017-2020"
"24",4022,24,"Courtney Barnhill",202.07,"2017-2021"
"25",22290,25,"Angelique Elemen",200.03,"2016-2019"
"26",82562,26,"Kaitlin Weis",199.79,"2017-2021"
"27",6858,27,"Kayson Boatner",199.76,"2019-2023"
"28",45033,28,"Kylee Leonhardt",199.3,"2018-2022"
"29",53035,29,"Peyton Mills",197.41,"2016-2019"
"30",10383,30,"Brenna Busby",196.83,"2017-2021"
"31",59074,31,"Mary Pardo",195.86,"2019-2022"
"32",23079,32,"Jasmin Estrada",195.75,"2019-2023"
"33",57576,33,"Makray Odom",194.67,"2017-2021"
"34",22532,34,"Kylie Emanuele",194.36,"2021-2024"
"35",22097,35,"Sami Edwards",194.3,"2020-2024"
"36",84206,36,"Zoe Willis",193.17,"2021-2024"
"37",32551,37,"Lauren Harris",191.59,"2019-2025"
"38",33175,38,"Sydni Hawkins",191.35,"2019-2023"
"39",1910,39,"Aleese Angelo",191.25,"2021-2024"
"40",7310,40,"Erin Boone",191.11,"2016-2019"
"41",84718,41,"Jenna Witt",190.62,"2017-2021"
"42",10365,42,"Rosa'lynn Burton",190.44,"2017-2020"
"43",16579,43,"Katie Crogan",190.26,"2018-2022"
"44",8948,44,"Savanna Brooks",189.4,"2022-2025"
"45",35286,45,"Brooke Hodgson",189.22,"2016-2018"
"46",53970,46,"Kylee Moore",188.76,"2016-2019"
"47",33329,47,"Tyler Hays",188.58,"2016-2021"
"48",53157,48,"Jacee Minter",188.54,"2021-2024"
"49",65589,49,"Shelby Robb",188.16,"2021-2024"
"50",62724,50,"Hazel Puempel",186.49,"2017-2021"
"51",75553,51,"Kaitlyn Stufft",186.48,"2021-2024"
"52",62829,52,"Nicole Purtell",185.64,"2019-2023"
"53",26945,53,"Bri Garber",185.49,"2017-2021"
"54",52747,54,"Brooke Miller",184.61,"2017-2024"
"55",56991,55,"Alison Nowak",184.49,"2017-2021"
"56",68827,55,"Mahina Sauer",184.49,"2017-2021"
"57",53593,57,"Marisa Monasseri",184.24,"2016-2018"
"58",77277,58,"Jordyn Thomas",182.82,"2018-2022"
"59",78226,59,"Jill Torres",182.73,"2017-2021"
"60",32510,60,"Emily Harris",181.38,"2017-2022"
"61",84067,61,"Rachel Williams",179.53,"2022-2025"
"62",35161,62,"Abbie Hlas",179.51,"2021-2024"
"63",33446,63,"Jobi Heath",178,"2016-2019"
"64",76043,64,"Emma Swearingen",176.64,"2016-2025"
"65",75776,65,"Abby Sulte",175.94,"2022-2025"
"66",51730,66,"Jess Meidl",175.5,"2016-2018"
"67",36841,67,"Macey Hughes",175.39,"2021-2024"
"68",51888,68,"Madison Melvin",175.01,"2020-2024"
"69",63136,69,"Katelyn Rackard",174.31,"2022-2025"
"70",37400,70,"Gianni Iannantone",174.19,"2018-2022"
"71",12609,71,"Kayla Cato",174.12,"2016-2019"
"72",69583,71,"Victoria Schooanard-saborio",174.12,"2016-2019"
"73",60629,73,"Shannon Petersen",173.99,"2016-2019"
"74",61572,74,"Courtney Plocheck",172.86,"2021-2024"
"75",58604,75,"Mckenzie Paap",172.69,"2016-2019"
"76",77736,76,"Hayley Tierce",172.33,"2016-2019"
"77",49985,77,"Shanna Mcbroom",171.99,"2017-2021"
"78",71916,78,"Haley Simonds",171.41,"2017-2021"
"79",55378,79,"Diana Murtha",171.35,"2022-2024"
"80",35740,80,"Nikoma Holmen",171.27,"2018-2021"
"81",44636,81,"Mccall Lee",170.66,"2021-2024"
