"","player_id","rank","player","sb","seasons"
"1",58274,1,"Christa Reisinger",179,"2016-2019"
"2",36707,2,"Loren Kelly",155,"2018-2022"
"3",9437,3,"Rosa'lynn Burton",154,"2017-2020"
"4",46976,4,"Madison Melvin",145,"2020-2024"
"5",29540,5,"Micaela Harris",135,"2018-2023"
"6",16180,6,"Meredith Daunhauer",131,"2016-2019"
"7",40823,6,"Ashlyn Lerma",131,"2019-2023"
"8",42169,6,"Kayla Louie",131,"2017-2021"
"9",11177,9,"Jessi Case",126,"2019-2023"
"10",21454,9,"Hanna Farmer",126,"2016-2019"
"11",53062,9,"Mckenzie Paap",126,"2016-2019"
"12",36503,12,"Sara Keeny",125,"2016-2019"
"13",52129,13,"Makray Odom",123,"2017-2021"
"14",7091,14,"Brooke Bowlin",122,"2018-2022"
"15",33033,14,"Teala Howard",122,"2019-2022"
"16",65656,14,"Alexis Smith",122,"2016-2024"
"17",14022,17,"Courtlynn Cooney",121,"2021-2024"
"18",64605,17,"Symphoni Shomo",121,"2017-2020"
"19",37768,19,"Taylor Kline",117,"2016-2018"
"20",62932,19,"Hannah Schmoll",117,"2016-2018"
"21",73950,19,"Abbey Ward",117,"2020-2024"
"22",6643,22,"Shelby Booker",114,"2018-2022"
"23",48861,22,"Lexi Moore",114,"2021-2024"
"24",57706,24,"Morgan Ratliff",110,"2016-2019"
"25",48007,25,"Peyton Mills",107,"2016-2019"
"26",55513,25,"Parker Pinholster",107,"2017-2021"
"27",46496,27,"Taylor Mcneal",106,"2020-2023"
"28",13816,28,"Steph Conrade",104,"2020-2024"
"29",25352,28,"Sarah Gersch",104,"2019-2023"
"30",30256,28,"Kaylee Hazewski",104,"2017-2020"
"31",2621,31,"Olivia Aycock",103,"2019-2023"
"32",75136,31,"Rendi Wetherington",103,"2017-2021"
"33",64519,33,"Taylor Shingler",99,"2019-2023"
"34",35004,34,"Illiana Jimenez",98,"2016-2018"
"35",40428,34,"Lakaylin Lee",98,"2016-2019"
"36",70086,34,"Charlene Thompson",98,"2016-2019"
"37",72415,34,"Yazmin Vargas",98,"2021-2024"
"38",77163,34,"Kristin Worley",98,"2017-2020"
"39",7005,39,"Rajene Bowe",97,"2018-2022"
"40",25733,39,"Kelsie Gilliam",97,"2021-2024"
"41",32284,39,"Hanna Holland",97,"2016-2019"
"42",56061,39,"Jackie Popko",97,"2019-2023"
"43",72844,39,"Reilly Vicendese",97,"2021-2024"
"44",63211,44,"Mckenzie Schumacher",95,"2017-2021"
"45",40416,45,"Katherine Lee",94,"2016-2018"
"46",59649,45,"Lenna Robinson",94,"2019-2022"
"47",1688,47,"Kendall Andrews",93,"2022-2024"
"48",9453,47,"Brenna Busby",93,"2017-2021"
"49",11574,47,"Sofia Cecchin",93,"2018-2022"
"50",29664,47,"Carlie Hart",93,"2016-2019"
"51",71246,47,"Ashley Troutman",93,"2020-2023"
"52",35572,52,"Hanna Jones",92,"2019-2023"
"53",14293,53,"Kendall Cornick",91,"2018-2021"
"54",16105,54,"Erika Dargan",90,"2016-2019"
"55",13542,55,"Shannon Colson",89,"2017-2021"
"56",65882,55,"Kia Smith",89,"2016-2018"
"57",14160,57,"Abi Corbett",88,"2016-2018"
"58",46640,57,"Marrit Mead",88,"2021-2024"
"59",48998,57,"Sharon Morales",88,"2021-2024"
"60",5818,60,"Malaya Black",87,"2018-2021"
"61",45432,60,"Riley Mcclellan",87,"2020-2024"
"62",60525,60,"Hannah Rose",87,"2021-2024"
"63",75009,60,"Mikayla Wessel",87,"2018-2022"
"64",20060,64,"Khmari Edwards",85,"2019-2023"
"65",28609,65,"Chelsea Hall",82,"2016-2017"
"66",65153,65,"Morgan Simpson",82,"2021-2024"
"67",66275,65,"Leah Sohm",82,"2018-2022"
"68",72106,65,"Brylynn Vallejos",82,"2019-2022"
"69",3666,69,"Courtney Barnhill",81,"2017-2021"
"70",11426,69,"Michelle Castro",81,"2018-2020"
"71",16391,69,"Jordan Davis",81,"2018-2024"
"72",46555,69,"Kendruena Mcpherson",81,"2016-2018"
"73",46830,69,"Jess Meidl",81,"2016-2018"
"74",76120,69,"Tia Williams",81,"2019-2023"
"75",25334,75,"Grace Germer",80,"2021-2024"
"76",29929,75,"Lily Hatcher",80,"2018-2021"
"77",36427,75,"Maya Keating",80,"2017-2021"
"78",43730,75,"Maggie Manwarren",80,"2017-2018"
"79",63415,75,"Maggie Scott",80,"2017-2022"
"80",20922,80,"Carly Esselman",79,"2017-2021"
"81",33370,80,"Caitlin Hughes",79,"2018-2021"
"82",65262,80,"Olivia Sinquefield",79,"2019-2023"
"83",73077,80,"Kelsey Vining",79,"2016-2018"
"84",19230,84,"Darbi Duke",78,"2016-2018"
"85",29477,84,"Emily Harris",78,"2017-2022"
"86",38250,86,"Kaitlyn Konopka",76,"2016-2019"
"87",41417,86,"Taylor Lipkins",76,"2022-2024"
"88",43023,86,"Allison Madden",76,"2021-2024"
"89",69372,86,"Alley Taylor",76,"2018-2022"
"90",33723,90,"Madison Hurt",75,"2022-2024"
"91",37783,90,"Ashley Klinzing",75,"2021-2023"
"92",77432,90,"Savannah Wysocki",75,"2019-2022"
"93",8394,93,"Megan Brown",74,"2016-2023"
"94",16910,93,"Lauryn Deer",74,"2017-2020"
"95",26996,93,"Kami Grammerstorf",74,"2021-2024"
"96",16371,96,"Hannah Davis",73,"2020-2024"
"97",22043,96,"Danae Fields",73,"2017-2019"
"98",70106,96,"Haley Thompson",73,"2016-2017"
"99",32358,99,"Hannah Hollister",72,"2021-2024"
"100",39206,99,"Sydney Lageyre",72,"2017-2022"
