"","player_id","rank","player","slg","seasons"
"1",68517,1,"Abby Sulte","0.933","2022-2024"
"2",48809,2,"Kylee Moore","0.885","2016-2019"
"3",58161,3,"Samantha Reilly","0.876","2017-2019"
"4",76121,4,"Zoe Willis","0.872","2021-2024"
"5",44127,5,"Hannah Marsteller","0.859","2019-2023"
"6",29207,6,"Ashley Hardin","0.858","2016-2018"
"7",26015,7,"Brooke Goad","0.857","2016-2018"
"8",50096,8,"Diana Murtha","0.856","2022-2024"
"9",44995,9,"Malea Maye","0.853","2016-2017"
"10",3343,10,"Kaitlyn Bannister","0.851","2016-2017"
"11",75788,11,"Faith Willenbrock","0.847","2018-2021"
"12",36846,12,"Sarah Kennedy","0.837","2016-2017"
"13",31970,13,"Brooke Hodgson","0.834","2016-2018"
"14",44477,14,"Brenna Martini","0.832","2016-2018"
"15",9651,15,"Bailey Byers","0.827","2018-2021"
"16",24096,16,"Andrea Gahan","0.824","2017-2019"
"17",16017,17,"Starkeira Daniel","0.821","2016-2019"
"18",20471,18,"Kylie Emanuele","0.809","2021-2024"
"19",20250,19,"Angelique Elemen","0.797","2016-2019"
"20",58788,20,"Patricia Riches","0.796","2017-2019"
"21",1687,21,"Kendall Andrews","0.795","2022-2024"
"22",67134,22,"Olivia Stansbury","0.793","2022-2024"
"23",29490,23,"Lauren Harris","0.792","2019-2024"
"24",14160,24,"Hannah rose Corbin","0.792","2019-2023"
"25",2245,25,"Myah Arrieta","0.791","2022-2024"
"26",18802,26,"Maddie Dow","0.786","2016-2017"
"27",19807,27,"Kamryn Eaton","0.781","2022-2024"
"28",6237,28,"Kayson Boatner","0.777","2019-2023"
"29",76982,29,"Sharnitra Woods","0.776","2016-2018"
"30",48463,30,"Marisa Monasseri","0.772","2016-2018"
"31",70707,31,"Annmarie Torres","0.771","2017-2020"
"32",35948,32,"Maggie Kadrlik","0.771","2016-2019"
"33",19778,33,"Sierra Easterwood","0.769","2020-2022"
"34",61668,34,"Ruby Salzman","0.767","2019-2023"
"35",72081,35,"Suka Van gurp","0.765","2018-2019"
"36",29729,36,"Stephanie Hartness","0.765","2016-2017"
"37",10184,37,"Kailyn Campbell","0.763","2016-2017"
"38",53432,38,"Mary Pardo","0.756","2019-2022"
"39",51153,39,"Cailah Niles","0.756","2016-2018"
"40",54490,40,"Ashley Perez","0.754","2018-2022"
"41",22641,41,"Kasey Flores","0.754","2022-2023"
"42",58214,42,"Christa Reisinger","0.751","2016-2019"
"43",69378,43,"Lydia Taylor","0.750","2022-2024"
"44",54388,44,"Nikki Pennington","0.748","2020-2022"
"45",9682,45,"Kelly Byrd","0.747","2018-2019"
"46",21581,46,"Elisa Favela","0.746","2019-2021"
"47",47494,47,"Kenzie Middleton","0.743","2021-2024"
"48",39784,48,"Clara Larson","0.743","2017-2021"
"49",42471,49,"Piper Lujan","0.742","2019-2022"
"50",30203,50,"Tyler Hays","0.741","2016-2021"
"51",9570,51,"Lyndsay Butler","0.741","2016-2017"
"52",12466,52,"Torri Chute","0.741","2020-2024"
"53",40766,53,"Kylee Leonhardt","0.740","2018-2022"
"54",11016,54,"Kameron Carter","0.740","2016-2017"
"55",74630,55,"Kaitlin Weis","0.739","2017-2021"
"56",4972,56,"Emily Benson","0.736","2016-2019"
"57",65702,57,"Ellie Smith","0.734","2019-2022"
"58",46545,58,"Brianna Mcrae","0.732","2019-2023"
"59",1744,59,"Aleese Angelo","0.732","2021-2024"
"60",12410,60,"Haleigh Christopher","0.729","2017-2019"
"61",59613,61,"Taylor Robinson","0.728","2022-2023"
"62",36694,62,"Tatianna Kelly","0.726","2017-2022"
"63",59325,63,"Shelby Robb","0.725","2021-2024"
"64",11468,64,"Kayla Cato","0.720","2016-2019"
"65",9137,65,"Kacie Burger","0.718","2018-2021"
"66",9448,66,"Brenna Busby","0.715","2017-2021"
"67",70830,67,"Hannah Towery","0.715","2019-2022"
"68",58036,68,"Courtney Reeves","0.714","2017-2018"
"69",6719,69,"Kaiden Boren","0.714","2022-2024"
"70",68321,70,"Kaitlyn Stufft","0.713","2021-2024"
"71",10316,71,"Ashley Cangiano","0.713","2021-2024"
"72",18211,72,"Ally Distler","0.713","2021-2024"
"73",70293,73,"Hayley Tierce","0.712","2016-2019"
"74",65033,74,"Haley Simonds","0.707","2017-2021"
"75",59324,75,"Kiley Robb","0.707","2019-2021"
"76",51250,76,"Emma Noble","0.705","2018-2020"
"77",17475,77,"Emily Deramus","0.704","2018-2024"
"78",69113,78,"Paige Tamayo","0.703","2019-2022"
"79",23833,79,"Ava Fugate","0.702","2021-2024"
"80",73001,80,"Kelsey Vining","0.701","2016-2018"
"81",52081,81,"Mary beth Odom","0.701","2016-2019"
