"","player_id","rank","player","xbh","seasons"
"1",43162,1,"Hannah Marsteller",132,"2019-2023"
"2",60324,2,"Ruby Salzman",125,"2019-2023"
"3",25439,3,"Lydia Goble",124,"2019-2023"
"4",38912,4,"Clara Larson",123,"2017-2021"
"5",34583,5,"Taylor Johnson",113,"2016-2020"
"6",6108,6,"Kayson Boatner",112,"2019-2023"
"7",11210,6,"Kayla Cato",112,"2016-2019"
"8",53296,8,"Ashley Perez",111,"2018-2022"
"9",3570,9,"Haley Barnette",110,"2016-2020"
"10",52259,10,"Mary Pardo",109,"2019-2022"
"11",72613,10,"Elexis Watson",109,"2018-2022"
"12",28550,12,"Ashley Hardin",107,"2016-2018"
"13",73014,13,"Kaitlin Weis",106,"2017-2021"
"14",29630,14,"Jobi Heath",105,"2016-2019"
"15",46455,14,"Kenzie Middleton",105,"2021-2024"
"16",3585,16,"Courtney Barnhill",103,"2017-2021"
"17",25430,16,"Brooke Goad",103,"2016-2018"
"18",53639,16,"Shannon Petersen",103,"2016-2019"
"19",70560,16,"Lani Van zyl",103,"2016-2019"
"20",19791,20,"Angelique Elemen",102,"2016-2019"
"21",39871,20,"Kylee Leonhardt",102,"2018-2022"
"22",68358,20,"Jordyn Thomas",102,"2018-2022"
"23",29526,23,"Tyler Hays",101,"2016-2021"
"24",30895,24,"Morgan Hill",100,"2016-2024"
"25",31265,24,"Brooke Hodgson",100,"2016-2018"
"26",50638,26,"Emily O'connor",98,"2020-2024"
"27",74941,26,"Jenna Witt",98,"2017-2021"
"28",69174,28,"Annmarie Torres",97,"2017-2020"
"29",12181,29,"Torri Chute",96,"2020-2024"
"30",18421,29,"Braxton Downs",96,"2020-2024"
"31",50888,29,"Lauren Oberle",96,"2017-2021"
"32",14750,32,"Katie Crogan",95,"2018-2022"
"33",16224,32,"Stephanie Day",95,"2017-2021"
"34",9240,34,"Brenna Busby",94,"2017-2021"
"35",11608,34,"Roxy Chapa",94,"2016-2019"
"36",20486,34,"Jasmin Estrada",94,"2019-2023"
"37",56895,37,"Samantha Reilly",93,"2017-2019"
"38",56944,37,"Christa Reisinger",93,"2016-2019"
"39",34314,39,"Bailey Johnson",92,"2018-2022"
"40",43508,39,"Brenna Martini",92,"2016-2018"
"41",47744,39,"Kylee Moore",92,"2016-2019"
"42",68768,39,"Hayley Tierce",92,"2016-2019"
"43",29389,43,"Sydni Hawkins",91,"2019-2023"
"44",46652,43,"Brooke Miller",91,"2017-2024"
"45",57610,43,"Taylor Rieger",91,"2018-2022"
"46",47014,46,"Jacee Minter",90,"2021-2024"
"47",55250,46,"Hannah Price",90,"2016-2019"
"48",15792,48,"Olivia Daugherty",89,"2019-2023"
"49",34800,48,"Kaylee Jones",89,"2016-2022"
"50",46913,48,"Peyton Mills",89,"2016-2019"
"51",25555,51,"Ty-kella Goins",88,"2017-2021"
"52",31668,51,"Nikoma Holmen",88,"2018-2021"
"53",69905,51,"Carly Turner",88,"2019-2023"
"54",71935,51,"Jaycie Walker",88,"2017-2021"
"55",13829,55,"Hannah rose Corbin",87,"2019-2023"
"56",15198,55,"Caitllyn Curlee",87,"2018-2022"
"57",36697,55,"Taegan Kirk",87,"2016-2019"
"58",58417,55,"Jessie Rock",87,"2018-2022"
"59",67264,55,"Emma Swearingen",87,"2016-2024"
"60",6513,60,"Erin Boone",86,"2016-2019"
"61",25978,60,"Megan Goodnight",86,"2016-2019"
"62",61593,60,"Victoria Schooanard-saborio",86,"2016-2019"
"63",23544,63,"Andrea Gahan",85,"2017-2019"
"64",28243,63,"Shelby Hammontree",85,"2017-2021"
"65",32437,63,"Sierra Hucklebee",85,"2019-2023"
"66",38232,63,"Talon Laclair",85,"2018-2023"
"67",74149,63,"Faith Willenbrock",85,"2018-2021"
"68",1713,68,"Aleese Angelo",84,"2021-2024"
"69",20008,68,"Kylie Emanuele",84,"2021-2024"
"70",30128,68,"Mckenzie Henry",84,"2019-2023"
"71",33127,68,"Gianni Iannantone",84,"2018-2022"
"72",55513,68,"Hazel Puempel",84,"2017-2021"
"73",16200,73,"Danelle Day",83,"2017-2021"
"74",26913,73,"Rachel Griffin",83,"2018-2022"
"75",28256,73,"Alaina Hampton",83,"2018-2022"
"76",60923,73,"Mahina Sauer",83,"2017-2021"
"77",21550,77,"Abby Fiessinger",82,"2017-2020"
"78",31161,77,"Abbie Hlas",82,"2021-2024"
"79",44215,77,"Shanna Mcbroom",82,"2017-2021"
"80",35166,80,"Maggie Kadrlik",81,"2016-2019"
"81",48895,80,"Maggie Murphy",81,"2016-2020"
"82",58036,80,"Shelby Robb",81,"2021-2024"
"83",74915,80,"Leighton Withers",81,"2019-2023"
"84",662,84,"Kiara Akles",80,"2018-2022"
"85",1784,84,"Kaylyn Anthony",80,"2017-2021"
"86",10488,84,"Abigale Carney",80,"2018-2022"
"87",13576,84,"Ashlyn Cook",80,"2019-2023"
"88",29608,84,"Morgan Heard",80,"2016-2018"
"89",35377,84,"Danielle Karacson",80,"2019-2023"
"90",44422,84,"Hannah Mcclounie",80,"2016-2019"
"91",55603,84,"Nicole Purtell",80,"2019-2023"
"92",63622,84,"Haley Simonds",80,"2017-2021"
"93",74476,84,"Zoe Willis",80,"2021-2024"
"94",8331,94,"Morgan Bruce",79,"2016-2018"
"95",29476,94,"Paxtyn Hayes",79,"2021-2024"
"96",30439,94,"Skylar Herrera",79,"2020-2024"
"97",50435,94,"Alison Nowak",79,"2017-2021"
"98",60883,94,"Rhiannon Sassman",79,"2016-2019"
"99",69200,94,"Jill Torres",79,"2017-2021"
"100",72064,94,"Allyson Wallauer",79,"2019-2023"
