"","player_id","rank","player","era","seasons"
"1",75617,1,"Ally Wiegand","0.752","2018-2020"
"2",33470,2,"Hanna Hull","0.809","2017-2021"
"3",68294,3,"Ashlyn Strother","0.886","2020-2024"
"4",69790,4,"Lindsey Thayer","0.897","2016-2018"
"5",65951,5,"McKenna Smith","1.005","2022-2023"
"6",68164,6,"Morgan Stratton","1.015","2016-2017"
"7",17934,7,"Sophia DiCocco","1.119","2021-2024"
"8",64987,8,"Kayla Simacek","1.128","2020-2024"
"9",46090,9,"Alexa McHugh","1.144","2020-2023"
"10",45521,10,"Kamryn McCool","1.159","2019-2022"
"11",22835,11,"Gina Followell","1.162","2019-2023"
"12",40560,12,"Kennedy Lehn","1.171","2022-2023"
"13",10958,13,"Kennedy Carruth","1.201","2021-2024"
"14",50351,14,"Alanna Namit","1.204","2018-2021"
"15",28162,15,"Anna Gurr","1.243","2016-2018"
"16",51583,16,"Josie Novak","1.280","2016-2018"
"17",60207,17,"Jazmyn Rohrer","1.286","2016-2018"
"18",49438,18,"Renae Morton","1.296","2017-2018"
"19",33007,19,"Kassie Howard","1.298","2016-2018"
"20",20379,20,"Gracie Ellis","1.299","2022-2024"
"21",60856,21,"Jess Rozick","1.332","2016-2019"
"22",76394,22,"Sydney Wilson","1.354","2022-2024"
"23",26920,23,"Julie Graf","1.371","2017-2021"
"24",6447,24,"Morgan Bolduk","1.386","2018-2022"
"25",41180,25,"Kirsten Lightel","1.445","2016-2018"
"26",63493,26,"Emily Seale","1.452","2021-2023"
"27",78315,27,"Olivia Zoeller","1.454","2019-2022"
"28",16896,28,"Jesse DeDomenico","1.484","2017-2020"
"29",48193,29,"Lexi Miskey","1.511","2022-2024"
"30",22106,30,"Brittany File","1.513","2016-2017"
"31",35703,31,"Sydney Jones","1.538","2016-2018"
"32",78009,32,"Chelsea Zang","1.538","2016-2018"
"33",10612,33,"Amanda Carisone","1.551","2016-2018"
"34",51577,34,"Elly Novak","1.553","2020-2023"
"35",76470,35,"Lindsey Windsor","1.556","2020-2023"
