"","player_id","rank","player","h","seasons"
"1",73350,1,"Elaine Walker",277,"2016-2019"
"2",75090,2,"Katie White",272,"2016-2024"
"3",41430,3,"Melissa Livermore",266,"2016-2019"
"4",1013,4,"Emily Allen",256,"2016-2020"
"5",1502,5,"Carly Anderson",246,"2016-2019"
"6",56661,6,"Jill Pulek",244,"2016-2023"
"7",48658,7,"Emily Moore",242,"2017-2023"
"8",75068,8,"Emily White",241,"2016-2022"
"9",64217,9,"Vada blue Sherrill",240,"2016-2019"
"10",5586,10,"Jackie Bilotti",235,"2016-2019"
"11",17236,11,"Kate Deming",230,"2016-2019"
"12",26584,11,"Allie Gordon",230,"2019-2024"
"13",32950,13,"Olivia Howe",229,"2019-2024"
"14",60890,14,"Jillian Runyon",227,"2016-2019"
"15",8449,15,"Vanessa Brown",221,"2016-2019"
"16",55032,16,"Katie Phillips",217,"2019-2023"
"17",63933,16,"Alyson Shaw",217,"2016-2019"
"18",65961,16,"Emily Snow",217,"2016-2019"
"19",11095,19,"Makayla Carver",216,"2016-2019"
"20",47707,19,"Madi Miller",216,"2016-2024"
"21",59001,21,"Hannah Ritter",213,"2016-2024"
"22",8708,22,"Desiree Buboi",211,"2016-2019"
"23",27617,23,"Jennifer Groat",209,"2016-2019"
"24",21525,24,"Allie Fauth",208,"2018-2023"
"25",66582,24,"Kat Spilman",208,"2016-2019"
"26",61051,26,"Isabella Russo",206,"2016-2024"
"27",8355,27,"Madison Brown",205,"2017-2024"
"28",16544,28,"Jordan Day",204,"2018-2022"
"29",33294,28,"Krissy Hughes",204,"2016-2019"
"30",51597,28,"Allie O'brien",204,"2016-2019"
"31",75255,31,"Kacey Whitney",203,"2016-2019"
"32",9371,32,"Ashley Burrows",202,"2016-2018"
"33",49872,32,"Mackenzie Murphy",202,"2016-2019"
"34",58518,32,"Nicole Rice",202,"2016-2019"
"35",16917,35,"Maddie Degroot",200,"2016-2019"
"36",29603,35,"Aarin Hartenstein",200,"2016-2019"
"37",65792,35,"Samantha Smith",200,"2016-2023"
"38",3183,38,"Melissa Balkema",199,"2016-2019"
"39",18836,38,"Nicole Doyle",199,"2016-2019"
"40",37128,38,"Jessica Kim",199,"2016-2022"
"41",56432,38,"Ashley Prince",199,"2016-2019"
"42",12857,42,"Lauren Clements",198,"2016-2019"
"43",32983,42,"Cassetty Howerin",198,"2016-2018"
"44",37243,42,"Diana King",198,"2016-2019"
"45",49661,42,"Brittany Mumford",198,"2016-2019"
"46",54613,46,"Alyssa Persich",197,"2016-2019"
"47",66239,46,"Julia Sortisio",197,"2016-2019"
"48",13441,48,"Leanne Collins",196,"2016-2018"
"49",72475,48,"Roxanne Vento",196,"2016-2019"
"50",77824,48,"Maddie Zazas",196,"2016-2019"
"51",31814,51,"Hannah Hoban",195,"2016-2019"
"52",72201,51,"Emma Varrato",195,"2016-2019"
"53",77886,51,"Olivia Zengel",195,"2016-2019"
"54",69245,54,"Meredith Taylor",194,"2016-2022"
"55",16975,55,"Dana Del genio",193,"2016-2019"
"56",49918,56,"Alexus Murray",192,"2016-2019"
"57",50869,56,"Aj Nichols",192,"2016-2019"
"58",6433,58,"Alexis Boledovic",191,"2016-2019"
"59",35265,58,"Sarah Johnson",191,"2019-2023"
"60",69883,58,"Hannah Thompson",191,"2016-2022"
"61",66503,61,"Abby Spencer",190,"2016-2019"
"62",12241,62,"Mackenzie Chitwood",189,"2016-2019"
"63",17541,62,"Sydney Despres",189,"2016-2018"
"64",55331,62,"Shay Pinhey",189,"2016-2019"
"65",68002,62,"Cheyenne Strickland",189,"2016-2019"
"66",2036,66,"Taylor Arends",188,"2016-2019"
"67",19396,66,"Brenna Duperry",188,"2016-2019"
"68",5092,68,"Sam Berghoff",187,"2017-2020"
"69",24972,68,"Meghan Gavin",187,"2016-2019"
"70",26987,68,"Courtney Grasz",187,"2016-2018"
"71",68024,68,"Anna Strien",187,"2016-2018"
"72",31633,72,"Anna Hinderaker",186,"2016-2019"
"73",58495,72,"Caroline Rice",186,"2016-2019"
"74",34081,74,"Kimi Ito",185,"2016-2019"
"75",35823,74,"Kelly Jurden",185,"2018-2022"
"76",11439,76,"Caitlin Catino",184,"2016-2019"
"77",45502,76,"Lainey Mccue",184,"2016-2019"
"78",62609,76,"Maggie Schley",184,"2016-2019"
"79",49794,79,"Taylor Murdock",183,"2019-2024"
"80",54252,80,"Makenzie Pennell",182,"2017-2021"
"81",2718,81,"Cassie Baca",181,"2016-2019"
"82",22490,81,"Cheyenne Fletcher",181,"2016-2018"
"83",50221,81,"Danni Napoli",181,"2016-2019"
"84",65763,81,"Olivia Smith",181,"2016-2022"
"85",70034,81,"Kelly Thornton",181,"2016-2023"
"86",77526,81,"Jamie Young",181,"2016-2018"
"87",77970,81,"Rachel Ziemba",181,"2016-2019"
"88",5465,88,"Hannah Biddlecom",180,"2019-2023"
"89",29906,88,"Carson Hauser",180,"2016-2019"
"90",40921,88,"Linzie Lewis",180,"2016-2018"
"91",51610,88,"Kailee O'brien",180,"2016-2019"
"92",58029,88,"Jackie Reilly",180,"2016-2019"
"93",76789,88,"Cassie Woods",180,"2018-2023"
"94",14966,94,"Erin Cressman",179,"2016-2019"
"95",15255,94,"Haley Crumpton",179,"2016-2019"
"96",23127,94,"Ally Fox",179,"2017-2019"
"97",572,97,"Kaitlyn Aherron",178,"2017-2020"
"98",2861,97,"Giselle Bahena",178,"2018-2023"
"99",10774,97,"Julia Carpenter",178,"2016-2020"
"100",11857,97,"Sophia Chapelone",178,"2016-2019"
