"","player_id","rank","player","so","seasons"
"1",32779,1,"Hanna Hull",1341,"2017-2021"
"2",26354,2,"Julie Graf",1220,"2017-2021"
"3",68347,3,"Lindsey Thayer",1180,"2016-2018"
"4",63645,4,"Kayla Simacek",948,"2020-2024"
"5",55056,5,"Megan Potter",841,"2017-2022"
"6",22352,6,"Gina Followell",813,"2019-2023"
"7",61322,7,"Elisabeth Schaffer",720,"2017-2020"
"8",51755,8,"Amanda Osterhus",715,"2017-2021"
"9",24517,9,"Megan Gavin",699,"2018-2022"
"10",24808,10,"Anna Gernant",686,"2016-2019"
"11",30172,11,"Cami Henry",681,"2019-2022"
"12",35900,12,"Tayah Kelley",666,"2020-2024"
"13",10726,13,"Kennedy Carruth",650,"2021-2024"
"14",14378,13,"Cheyanne Cox",650,"2018-2022"
"15",64439,15,"Hannah Smith",649,"2016-2024"
"16",9869,16,"Nikki Camarati",643,"2019-2022"
"17",34859,17,"Jen Jones",634,"2017-2022"
"18",74141,18,"Jessica Wilcox",629,"2017-2021"
"19",7420,19,"Samantha Bratland",623,"2016-2019"
"20",1574,20,"Sam Anderson",613,"2016-2019"
"21",59601,21,"Jess Rozick",607,"2016-2019"
"22",34973,22,"Sydney Jones",600,"2016-2018"
"23",73969,23,"Candace Whittemore",594,"2016-2019"
"24",32325,24,"Kassie Howard",586,"2016-2018"
"25",58965,25,"Jazmyn Rohrer",566,"2016-2018"
"26",50921,26,"Moira O'Reilly",561,"2021-2024"
"27",69176,27,"Hannah Tomasko",553,"2018-2022"
"28",74055,28,"Ally Wiegand",548,"2018-2020"
"29",2090,29,"Aly Armstrong",538,"2019-2023"
"30",34455,30,"Gabby Johnson",532,"2016-2019"
"31",63192,31,"Charli Shinstine",531,"2020-2023"
"32",58566,32,"Liz Rodarte",525,"2016-2019"
"33",41030,33,"Lindsey Longuet",521,"2017-2022"
"34",27349,34,"Stefanie Guercio",520,"2018-2021"
"35",55316,35,"Juliana Presto",519,"2021-2023"
"36",5267,36,"Lily Beurman",517,"2018-2022"
"37",13771,36,"Kendra Cooper",517,"2019-2023"
"38",13484,38,"Cindy Connoly",512,"2016-2018"
"39",50525,39,"Josie Novak",493,"2016-2018"
"40",51334,39,"Alyssa Olson",493,"2016-2019"
"41",21641,41,"Brittany File",492,"2016-2017"
"42",54409,42,"Ashley Pion",488,"2020-2023"
"43",64593,42,"McKenna Smith",488,"2022-2023"
"44",14974,44,"Haley Crumpton",484,"2016-2019"
"45",19952,45,"Gracie Ellis",481,"2022-2024"
"46",42406,45,"Abby Mahsem",481,"2016-2019"
"47",44581,47,"Kamryn McCool",476,"2019-2022"
"48",16248,48,"Jordan Day",471,"2018-2022"
"49",66450,49,"Brooke Stock",470,"2017-2021"
"50",52015,50,"Sara Packard",469,"2016-2018"
"51",56891,50,"Lexi Reetz",469,"2016-2019"
"52",70263,52,"Lorena Ukanwa",467,"2016-2019"
"53",62452,53,"Kayla Senne",464,"2022-2024"
"54",6958,54,"Kameron Bowling",461,"2018-2021"
"55",28713,55,"Haley Harmon",457,"2016-2019"
"56",65993,55,"Jamie Stefani",457,"2016-2019"
"57",50519,57,"Elly Novak",456,"2020-2023"
"58",54847,58,"Lorrin Pondo",455,"2018-2021"
"59",9870,59,"Julia Camardo",454,"2016-2019"
"60",46413,60,"Kailey Meyer",453,"2018-2022"
"61",46641,60,"Madison Milaszewski",453,"2016-2019"
"62",3371,62,"Taylor Barbour",451,"2018-2021"
"63",9512,62,"Avery Byrnes",451,"2020-2024"
"64",53205,62,"Kirsten Pelletier",451,"2017-2021"
"65",46522,65,"Alexis Michon",450,"2021-2024"
"66",54418,66,"Anna Pipenhagen",449,"2016-2018"
"67",76708,67,"Olivia Zoeller",446,"2019-2022"
"68",39716,68,"Kennedy Lehn",443,"2022-2023"
"69",40158,69,"Ginger Lewis",441,"2017-2020"
"70",16542,70,"Jesse DeDomenico",436,"2017-2020"
"71",27524,71,"Kelsi Gunarathne",432,"2016-2019"
"72",13849,72,"Gianna Corban",429,"2019-2022"
"73",56537,73,"Paige Rauhut",428,"2017-2021"
"74",3088,74,"Emma Baldwin",425,"2016-2018"
"75",21216,75,"Alycia Feeney",424,"2016-2019"
"76",31173,75,"Liz Hippen",424,"2016-2018"
"77",35490,75,"Jada Karnes",424,"2020-2023"
"78",66879,78,"Ashlyn Strother",422,"2020-2023"
"79",8203,79,"Madison Brown",418,"2019-2024"
"80",14008,80,"Jennifer Corona",413,"2016-2018"
"81",40897,81,"Alex Loizon",409,"2019-2023"
"82",49977,82,"AJ Nichols",405,"2016-2019"
"83",73185,82,"Cassie Weiss",405,"2016-2018"
"84",11090,84,"Maddie Castigliego",403,"2019-2023"
"85",22035,84,"Beth Fleming",403,"2018-2022"
"86",57548,84,"Jill Richards",403,"2018-2023"
"87",70278,87,"Haley Ullrich",400,"2019-2022"
"88",21490,88,"Alexis Ferris",399,"2017-2019"
"89",49396,89,"Ravenne Nasser",397,"2016-2019"
"90",75013,90,"Josie Wise",396,"2021-2024"
"91",43961,91,"Bella Matthias",395,"2017-2019"
"92",22264,92,"Krista Flugstad",393,"2016-2018"
"93",61189,92,"Shelby Saylors",393,"2016-2019"
"94",7407,94,"Beth Braswell",391,"2018-2021"
"95",10228,95,"Marissa Cappello",390,"2016-2019"
"96",11615,95,"Lindsey Chaney",390,"2016-2019"
"97",15964,97,"Ashley Davis",389,"2019-2023"
"98",40325,98,"Kirsten Lightel",388,"2016-2018"
"99",71029,99,"Jodie Vaughn",385,"2019-2022"
"100",72322,100,"Madison Walter",377,"2019-2022"
