"","player_id","rank","player","era","seasons"
"1",7702,1,"Delanie Gourley","1.02","2015-2017"
"2",7611,2,"Megan Good","1.02","2015-2019"
"3",4102,3,"Georgina Corrick","1.04","2018-2022"
"4",8393,4,"Kylee Hanson","1.16","2015-2018"
"5",1059,5,"Kelly Barnhill","1.18","2016-2019"
"6",7044,6,"Rachel Garcia","1.37","2017-2021"
"7",6159,7,"Megan Faraimo","1.38","2019-2023"
"8",4056,8,"Courtney Coppersmith","1.38","2019-2023"
"9",15053,9,"Aleshia Ocasio","1.41","2015-2018"
"10",15509,10,"Paige Parker","1.41","2015-2018"
"11",3350,11,"Haley Chambers-book","1.44","2015-2017"
"12",1790,12,"Allison Boaz","1.44","2020-2023"
"13",5345,13,"Savannah jo Dorsey","1.46","2015-2017"
"14",17837,14,"Kathryn Sandercock","1.46","2019-2023"
"15",7975,15,"Sara Groenewegen","1.47","2015-2017"
"16",1260,16,"Kayla Beaver","1.52","2020-2023"
"17",7354,17,"Whitney Gillespie","1.54","2015-2017"
"18",13013,18,"Kelly Maxwell","1.55","2020-2023"
"19",5801,19,"Miranda Elish","1.55","2017-2022"
"20",7118,20,"Megan Garst","1.55","2019-2021"
"21",16064,21,"Gabbie Plain","1.55","2018-2022"
"22",11034,22,"Tori Kniesche","1.56","2021-2023"
"23",2761,23,"Valerie Cagle","1.56","2020-2023"
"24",21210,24,"Allie Walljasper","1.56","2015-2018"
"25",9811,25,"Sierra Hyland","1.58","2015-2017"
"26",16562,26,"Riley Randolph","1.58","2016-2019"
"27",5458,27,"Ali Dubois","1.59","2018-2023"
"28",12792,28,"Makayla Martin","1.60","2016-2019"
"29",19528,29,"Alex Storako","1.61","2019-2023"
"30",10895,30,"Meghan King","1.61","2016-2019"
"31",5851,31,"Summer Ellyson","1.62","2017-2021"
"32",17713,32,"Shannon Saile","1.63","2017-2021"
"33",6627,33,"Montana Fouts","1.64","2019-2023"
"34",1253,34,"Meghan Beaubien","1.64","2018-2022"
"35",16435,35,"Morgan Rackel","1.65","2018-2019"
