"","player_id","rank","player","fip","seasons"
"1",20596,1,"Shelby Turnier","0.555","2015-2016"
"2",14732,2,"Nicole Newman","0.614","2015-2019"
"3",7975,3,"Sara Groenewegen","0.649","2015-2017"
"4",7702,4,"Delanie Gourley","0.702","2015-2017"
"5",18321,5,"Erin Seiler","0.716","2015-2016"
"6",6211,6,"Lilly Fecho","1.055","2015-2016"
"7",4056,7,"Courtney Coppersmith","1.057","2019-2023"
"8",2647,8,"Jessica Burroughs","1.063","2015-2017"
"9",8393,9,"Kylee Hanson","1.082","2015-2018"
"10",20615,10,"Maggie Tyler","1.085","2015-2016"
"11",6518,11,"Morgan Florey","1.090","2016-2019"
"12",14955,12,"Erica Nunn","1.107","2015-2016"
"13",8666,13,"Cheridan Hawkins","1.131","2015-2016"
"14",19436,14,"Alex Stewart","1.157","2015-2017"
"15",19468,15,"Danielle Stiene","1.167","2016-2018"
"16",6206,16,"Amanda Fazio","1.179","2015-2016"
"17",1059,17,"Kelly Barnhill","1.193","2016-2019"
"18",6627,18,"Montana Fouts","1.212","2019-2023"
"19",1513,19,"Megan Betsa","1.213","2015-2017"
"20",4102,20,"Georgina Corrick","1.223","2018-2022"
"21",6737,21,"Kacy Freeze","1.229","2015-2016"
"22",5371,22,"Baylee Douglass","1.229","2015-2018"
"23",11018,23,"Rachel Knapp","1.237","2015-2017"
"24",12207,24,"Brianna Lore","1.287","2015-2016"
"25",10986,25,"Megan Kleist","1.290","2016-2020"
"26",1506,26,"Lexi Betancourt","1.291","2015-2016"
"27",11319,27,"Allyson Kus","1.291","2015-2016"
"28",17755,28,"Jane Sallen","1.327","2015-2016"
"29",16435,29,"Morgan Rackel","1.331","2018-2019"
"30",19339,30,"Heather Stearns","1.342","2015-2016"
"31",10895,31,"Meghan King","1.348","2016-2019"
"32",12107,32,"Amber Logemann","1.348","2015-2016"
"33",11043,33,"Susan Knight","1.353","2015-2016"
"34",3905,34,"Jillian Compton","1.377","2015-2016"
"35",1817,35,"Brooke Boetjer","1.377","2015-2016"
"36",13923,36,"Courtney Mirabella","1.378","2015-2018"
"37",21842,37,"Chelsea Wilkinson","1.382","2015-2016"
"38",17614,38,"Randi Rupp","1.383","2015-2018"
"39",3448,39,"Kelci Cheney","1.396","2015-2016"
"40",3171,40,"Manda Cash","1.396","2015-2018"
"41",8395,41,"Mollie Hanson","1.401","2015-2016"
"42",16562,42,"Riley Randolph","1.414","2016-2019"
"43",18636,43,"Caitlin Sill","1.417","2015-2016"
"44",8686,44,"Hannah Haydel","1.421","2015-2016"
"45",15053,45,"Aleshia Ocasio","1.421","2015-2018"
"46",12051,46,"Sydney Littlejohn","1.432","2015-2017"
"47",22431,47,"Kelly Young","1.433","2015-2016"
