"","player_id","rank","player","h","seasons"
"1",13380,1,"Sydney Mckinney",374,"2019-2023"
"2",10072,2,"Janae Jefferson",353,"2018-2022"
"3",11173,3,"Kayla Kowalik",345,"2019-2023"
"4",21934,4,"Sami Williams",343,"2017-2021"
"5",360,5,"Jocelyn Alo",338,"2018-2022"
"6",10412,6,"Madison Jones",332,"2015-2022"
"7",1621,7,"Amber Bishop",330,"2017-2021"
"8",5864,7,"Cortni Emanuel",330,"2015-2018"
"9",15754,9,"Briana Perez",327,"2018-2022"
"10",18959,10,"Morgan Smith",320,"2015-2023"
"11",1164,11,"Sis Bates",319,"2017-2021"
"12",17397,12,"Sydney Romero",317,"2016-2019"
"13",7562,13,"Alyssa Gonzalez",313,"2017-2023"
"14",6573,14,"Taty Forbes",310,"2016-2021"
"15",18979,15,"Sierra Smith",309,"2016-2020"
"16",10999,16,"Baylee Klingler",306,"2019-2023"
"17",1284,17,"Rachel Becker",301,"2019-2023"
"18",15767,17,"Kylee Perez",301,"2015-2018"
"19",12208,19,"Amanda Lorenz",300,"2016-2019"
"20",13057,20,"Shelby Maze",296,"2015-2018"
"21",21416,20,"Lexi Watts",296,"2016-2019"
"22",21625,20,"Ali Wester",296,"2016-2019"
"23",6999,23,"Alyssa Garcia",295,"2017-2023"
"24",13855,24,"Shelby Miller",290,"2015-2020"
"25",21319,25,"Jessie Warren",288,"2015-2018"
"26",518,26,"Aliyah Andrews",286,"2017-2021"
"27",21494,26,"Kayla Wedl",286,"2017-2021"
"28",21995,26,"Brooke Wilmes",286,"2018-2022"
"29",2556,29,"Allee Bunker",285,"2019-2023"
"30",5412,29,"Ivie Drake",285,"2015-2018"
"31",2445,31,"Ciara Bryan",284,"2017-2021"
"32",15552,32,"Makenna Partain",283,"2017-2021"
"33",7289,33,"Danielle Gibson",282,"2018-2022"
"34",12438,33,"Alexis Mack",282,"2016-2021"
"35",8460,35,"Jessie Harper",280,"2017-2021"
"36",15730,35,"Navia Penrod",280,"2016-2019"
"37",18512,35,"Sydney Sherrill",280,"2018-2022"
"38",1816,38,"Mackenzie Boesel",279,"2017-2021"
"39",9932,38,"Jazmyn Jackson",279,"2015-2018"
"40",14680,38,"Morgan Nelson",279,"2016-2023"
"41",4764,41,"Taylor Davis",278,"2018-2023"
"42",13123,41,"Justyce Mcclain",278,"2016-2019"
"43",18261,43,"Jessica Scroggins",277,"2015-2018"
"44",3917,44,"Jenna Cone",276,"2017-2021"
"45",8373,44,"Alicia Hansen",276,"2015-2019"
"46",10137,44,"Rylee Jensen",276,"2017-2021"
"47",10316,44,"Taylor Johnson",276,"2015-2023"
"48",491,48,"Rachel Anderson",275,"2017-2021"
"49",5118,48,"Alyssa Dicarlo",275,"2016-2019"
"50",7870,48,"Meghan Gregg",275,"2015-2018"
"51",20756,48,"Taylor Van zee",275,"2015-2018"
"52",4204,52,"Elantra Cox",273,"2015-2018"
"53",5574,52,"Taylor Dupree",273,"2015-2018"
"54",1623,54,"Autumn Bishop",271,"2017-2021"
"55",4664,54,"Mia Davidson",271,"2018-2022"
"56",2587,56,"Summer Burgess",269,"2017-2021"
"57",11671,56,"Aubrey Leach",269,"2016-2019"
"58",18546,56,"Vanessa Shippy",269,"2015-2018"
"59",5679,59,"Charla Echols",268,"2019-2023"
"60",13351,59,"Sydney Mckay",268,"2016-2019"
"61",16429,59,"Sabrina Rabin",268,"2015-2018"
"62",17619,59,"Linda Rush",268,"2017-2021"
"63",11978,63,"Kendyl Lindaman",267,"2017-2021"
